ID	类型	重量	排序权重	物件ID	可丢弃	使用等级	全局产出上限	数值用类型	材料类型	冷却时间	冷却组	堆叠上限	最大使用数量	获得即使用	禁止提示第一次获得	目标	[使用]1操作	[使用]1参数1	[使用]1参数2	[使用]1参数3	[使用]1参数4	[使用]1参数5	[使用]2操作	[使用]2参数1	[使用]2参数2	阶数	自动进包	是否分开掉落	饱食度参数	摧毁规则	摧毁返还道具	摧毁返还数量	组ID
1127	2		20					命之座	20			1000														4							
1129	2		30					命之座	20			1000														5							
1130	2		30					命之座	20			1000														5							
1131	2		20					命之座	20			1000														4							
1132	2		20					命之座	20			1000														4							
1133	2		30					命之座	20			1000														5							
1134	2		20					命之座	20			1000														4							
1135	2		30					命之座	20			1000														5							
1136	2		20					命之座	20			1000														4							
1137	2		30					命之座	20			1000														5							
1138	2		30					命之座	20			1000														5							
1139	2		30					命之座	20			1000														4							
1141	2		30					命之座	20			1000														5							
1142	2		30					命之座	20			1000														5							
1143	2		20					命之座	20			1000														4							
1144	2		20					命之座	20			1000														4							
1145	2		20					命之座	20			1000														4							
1146	2		30					命之座	20			1000														5							
1201	2		30					战令	5			1000	1				30									5							
1202	2		30					月卡	5			1000	1				31									5							
2001	2			70610009				能量球	8			1000	99	1		2	11	1	9	3													
2002	2			70610010				能量球	8			1000	99	1		2	11	2	9	3													
2003	2			70610011				能量球	8			1000	99	1		2	11	3	9	3													
2004	2			70610012				能量球	8			1000	99	1		2	11	4	9	3													
2005	2			70610013				能量球	8			1000	99	1		2	11	7	9	3													
2006	2			70610014				能量球	8			1000	99	1		2	11	5	9	3													
2007	2			70610015				能量球	8			1000	99	1		2	11	8	9	3													
2008	2			70610016				能量球	8			1000	99	1		2	12	6															
2017	2			70610001				能量球	8			1000	99	1		2	11	1	3	1													
2018	2			70610002				能量球	8			1000	99	1		2	11	2	3	1													
2019	2			70610003				能量球	8			1000	99	1		2	11	3	3	1													
2020	2			70610004				能量球	8			1000	99	1		2	11	4	3	1													
2021	2			70610005				能量球	8			1000	99	1		2	11	7	3	1													
2022	2			70610006				能量球	8			1000	99	1		2	11	5	3	1													
2023	2			70610007				能量球	8			1000	99	1		2	11	8	3	1													
2024	2			70610008				能量球	8			1000	99	1		2	12	2															
2025	2			70610008					8			1000	99	1		2	12	20															
2026	2			70610008					8			1000	99	1			13	1	20														
2027	2			70610008					8			1000	99	1			13	1	15														
2028	2			70610017				能量球	8			1000	99	1		2	12	100															
2029	2			70610017				能量球	8			1000	99	1		2	12	100															
3001	2					5			12			1000	99																				
3002	2					10			12			1000	99																				
3003	2								12			1000	99																				
3004	2							角色	7			1000	99	1			3	10000002	15	0						5							
3005	2							角色	7			1000	99	1			3	10000023	15	0						4							
3006	2							角色	7			1000	99	1			3	10000003	15	0						5							
3007	2							角色	7			1000	99	1			3	10000016	15	0						5							
3008	2							角色	7			1000	99	1			3	10000022	15	0						5							
3018	2							角色	7			1000	99	1			3	10000014	15	0						4							
3019	2							角色	7			1000	99	1			3	10000020	15	0						4							
3009	2							角色	12			1000	99	1												5							
3010	2							角色	12			1000	99	1												4							
3011	2							角色	12			1000	99	1												5							
3012	2							角色	12			1000	99	1												5							
3013	2							角色	12			1000	99	1												5							
3014	2							角色	12			1000	99	1												4							
3015	2							角色	12			1000	99	1												4							
3016	2							角色	12			1000	99	1												4							
3017	2							角色	12			1000	99	1												4							
3020	2							角色	12			1000	99	1												4							
3021	2							角色	7			1000	99	1			3	10000015	5	0						4							
3022	2							角色	7			1000	99	1			3	10000006	5	0						4							
100001	2	1	201	70540003				采集物	15			9999	99			4	10	300	Eff_UI_AvatarIcon_Recovery_Once									1	5,15000	1			
100002	2	1	201	70540021				采集物	15			9999	99			4	10	300	Eff_UI_AvatarIcon_Recovery_Once									1	5,15000	1			
100011	2	1	305	70520004				采集物	4			9999																1		1			
100012	2	1	305	70520005				采集物	4			9999																1		1			
100013	2	1	305	70520014				采集物	4			9999																1		1			
100014	2	1	305	70520015				采集物	4			9999																1		1			
100015	2	1	305	70520008				采集物	4			9999																1		1			
100016	2	1	305	70520009				采集物	4			9999																1		1			
100017	2	1	305	70590010				采集物	4			9999																1		1			
100018	2	1	305	70520011				采集物	4			9999																1		1			
100019	2	1	305	70520012				采集物	4			9999																1		1			
100020	2	1	305	70540005				采集物	4			9999																1		1			
100021	2	1	307	70540013				采集物	4			9999																1		1			
100022	2	1	307	70540011				采集物	4			9999																1		1			
100023	2	1	307	70540018				采集物	4			9999																1		1			
100024	2	1	307	70540019				采集物	4			9999																1		1			
100025	2	1	307	70540020				采集物	4			9999																1		1			
100026	2	1	307	70540014				采集物	4			9999																1		1			
100027	2	1	307	70540008				采集物	4			9999																1		1			
100028	2	1	307	70540017				采集物	4			9999																1		0			
100029	2	1	307	70540015				采集物	4			9999																1		1			
100030	2	1	307	70540012				采集物	4			9999																1		1			
100031	2	1	307					采集物	4			9999																1		0			
100032	2	1	304					采集物	4			9999																1		0			
100033	2	1	307					采集物	4			9999																1		0			
100034	2	1	307					采集物	4			9999																1		0			
100051	2	1	305	70540001				采集物	4			9999																1		1			
100052	2	1	304	70540002				采集物	4			9999																1		1			
100053	2	1	304	70540006				采集物	4			9999																1		1			
100054	2	1	304	70540007				采集物	4			9999																1		1			
100055	2	1	307	70510004				采集物	4			9999																1		1			
100056	2	1	305	70590013				采集物	4			9999																1		1			
100057	2	1	307	70510009				采集物	4			9999																1		0			
100058	2	1	307	70510012				采集物	4			9999																1		0			
100061	2	1	305	70520016				采集物	4			9999																1		1			
100062	2	1	305	70540004				采集物	4			9999																1		1			
100063	2	1	305	70520013				采集物	4			9999																1		1			
100064	2	1	305	70520017				采集物	4			9999																1		1			
100072	2	1	304	70590006				采集物	4			9999																1		0			
100073	2	1	305	70540003				采集物	4			9999																1		0			
100074	2	1	305	70540003				食材加工物	4			9999																1		0			
100075	2	1	305					采集物	4			9999																1		0			
100076	2	1	305					采集物	4			9999																1		0			
100077	2	1	305					采集物	4			9999																1		0			
100078	2	1	305					采集物	4			9999																1		0			
100079	2	1	305	70590022				采集物	4			9999																1		1			
100080	2	1	305	70590023				采集物	4			9999																1		1			
100081	2	1	304					采集物	4			9999																1		0			
100082	2	1	304					采集物	4			9999																1		0			
100083	2	1	304					采集物	4			9999																1		0			
100084	2	1	305	70560005				采集物	4			9999																1		1			
100085	2	1	304					采集物	4			9999																1		0			
100086	2	1	305	70560001				采集物	4			9999																1		1			
100087	2	1	305	70590009				采集物	4			9999																1		1			
100088	2	1	305					采集物	4			9999																1		0			
100089	2	1	305					采集物	4			9999																1		0			
100090	2	1	304					采集物	4			9999																1		0			
100091	2	1	305					采集物	4			9999																1		0			
100092	2	1	305					采集物	4			9999																1		0			
100093	2	1	305					采集物	4			9999																1		0			
100094	2	1	305	70560006				采集物	4			9999																1		1			
101001	2	1	300	70560002				采集物	4			9999																1		1			
101002	2	1	301	70560003				采集物	4			9999																1		1			
101003	2	1	302	70560004				采集物	4			9999																1		1			
101004	2	1	302	70540030				采集物	4			9999																1		1			
101005	2		302	70590026				采集物	5			9999		1		2	15	500101	25									1		1			
101006	2	1	302	70590028				采集物	4			9999																1		1			
101007	2		302	70590032				采集物	5			9999		1		2	15	500102	25									1		1			
101101	2	1	303	70600054				武器图纸	4			1000														4				0			
101102	2	1	303	70600054				武器图纸	4			1000														4				0			
101103	2	1	303	70600054				武器图纸	4			1000														4				0			
101104	2	1	303	70600054				武器图纸	4			1000														4				0			
101105	2	1	303	70600054				武器图纸	4			1000														4				0			
101106	2							虚拟武器																		4				0			
101107	2							虚拟武器																		4				0			
101108	2							虚拟武器																		4				0			
101109	2							虚拟武器																		4				0			
101110	2							虚拟武器																		4				0			
100003	2	1	10	70300001				任务道具	2			1000	1				1	2002												0			
100004	2	1	10	70300001				任务道具	2			1000																		0			
100006	2	1	10	70300001				任务道具	2			1000																		0			
100007	2	1	10	70300001				任务道具	2			1000																		0			
100008	2	1	10	70300001				任务道具	2			1000																		0			
100009	2	1	10	70300001				任务道具	2			1000																		0			
100010	2	1	10	70300001				任务道具	2			1000																		0			
100101	2	1	10	70300009				任务道具	2			1000																		0			
100102	2	1	10	70300010				任务道具	2			1000																		0			
100103	2	1	10	70300008				任务道具	2			1000																		0			
100104	2	1	10	70300008				任务道具	2			1000																		0			
100105	2	1	10	70300011				任务道具	2			1000																		0			
100106	2	1	10	70300010				任务道具	2			1000																		0			
100107	2	1	10	70300007				任务道具	2			1000	1	1		2	10	-100												0			
100108	2	1	10	70300012				任务道具	2			1000																		0			
100109	2	1	10	70300012				任务道具	2			1000	1	1		2	10	100												0			
100110	2	1	10	70300006				任务道具	2			1																		0			
100111	2	1	10	70300006				任务道具	2			1																		0			
100112	2	1	10	70300006				任务道具	2			1																		0			
100113	2	1	10	70300001				任务道具	2			1000	1	1		2	10	0												0			
100114	2	1	10	70300012				任务道具	2			1000																		0			
100115	2	1	10	70300001				任务道具	2			1000																		0			
100120	2	1	10	70300020				任务道具	2			1000																		0			
100121	2	1	10	70300020				任务道具	9			1000														1				0			
100122	2	1	10	70300020				任务道具	9			1000														3				0			
100123	2	1	10	70300020				任务道具	9			1000														4				0			
100124	2	1	10	70300020				任务道具	9			1000														5				0			
100125	2	1	10	70220010				任务道具	2			1000																		0			
100126	2	1	10	70220011				任务道具	2			1000																		0			
100131	2	1	10	70300009				任务道具	2			1000																		0			
100132	2	1	10	70300009				任务道具	2			1000																		0			
100133	2	1	10	70300009				任务道具	2			1000																		0			
100134	2	1	10	70300009				任务道具	2			1000																		0			
100135	2	1	10	70300038				任务道具	2			1000			1															0			
100136	2	1	10	70900003				任务道具	2			1000	1	1		2	10	0												0			
100137	2	1	10	70900003				任务道具	2			1000	1	1		2	10	0												0			
100138	2	1	10	70900003				任务道具	2			1000	1	1		2	10	0												0			
100139	2	1	10	70900003				任务道具	2			1000	1	1		2	10	0												0			
100140	2	1	10	70900003				任务道具	2			1000	1	1		2	10	0												0			
100141	2	1	10	70900003				任务道具	2			1000	1	1		2	10	0												0			
100142	2	1	10	70900003				任务道具	2			1000	1	1		2	10	0												0			
100143	2	1	10	70900003				任务道具	2			1000	1	1		2	10	0												0			
100144	2	1	10	70900003				任务道具	2			1000	1	1		2	10	0												0			
100145	2	1	10	70800001				任务道具	2			1000	1			2	10	0												0			
100146	2	1	10	70800001				任务道具	2			1000	1			2	10	0												0			
100147	2	1	10	70800001				任务道具	2			1000	1			2	10	0												0			
100148	2	1	10	36				任务道具	2			1000	1	1		2	10	0												0			
100149	2	1	10	70800001				任务道具	2			1000	1	1		2	10	0												0			
100151	2	1	10	70600064				任务道具	2			1000																		0			
100152	2	1	10	70800001				任务道具	2			1000	1			2		0												0			
100153	2	1	10	70800001				任务道具	2			1000	1			2		0												0			
100154	2	1	10	70800001				任务道具	2			1000	1			2		0												0			
100158	2	1	10	70300049				任务道具	2			1000															1			0			
100159	2	1	10	70300049				任务道具	2			1000															1			0			
100160	2	1	10	70300049				任务道具	2			1000															1			0			
100161	2	1	10	70300038				任务道具	2			1000																		0			
100162	2	1	10	70300038				任务道具	2			1000																		0			
100163	2	1	10	70300038				任务道具	2			1000																		0			
100164	2	1	10	70300042				任务道具	2			1000																		0			
100165	2	1	10	70300038				任务道具	2			1000																		0			
100171	2	1	10	70300043				任务道具	2			1																		0			
100172	2	1	10	70300044				任务道具	2			1															1			0			
100173	2	1	10	70300045				任务道具	2			1															1			0			
100174	2	1	10	70300050				任务道具	2			1000		1	1	2	10	0												0			
100175	2	1	10	70300002				任务道具	2			1000															1			0			
100176	2	1	10	70300001				任务道具	2			1000															1			0			
100177	2	1	10	70300052				任务道具	2			1000		1	1	2	10	0												0			
100178	2	1	10	70310011				任务道具	2			5		1			34	50001001								4				0			3
100179	2	1	10	70310012				任务道具	2			5		1			34	50001002								4				0			3
100180	2	1	10	70310013				任务道具	2			5		1			34	50001003								4				0			3
100181	2	1	10	70310014				任务道具	2			5																		0			
100182	2	1	10	70310015				任务道具	2			5		1			34	50002001								3				0			24
100183	2	1	10	70310016				任务道具	2			5		1			34	50002002								3				0			24
100184	2	1	10	71700001				任务道具	2			1																		0			
100185	2	1	10	71700008				任务道具	2			1																		0			
100186	2	1	10	70300050				任务道具	2			1000		1	1	2	10	0												0			
100187	2	1	10	70300050				任务道具	2			1000		1	1	2	10	0												0			
100188	2	1	10	71700009				任务道具	2			5		1			34	50003001								4				0			1
100189	2	1	10	71700010				任务道具	2			5		1			34	50003002								4				0			1
100190	2	1	10	71700011				任务道具	2			5		1			34	50003003								4				0			1
100191	2	1	10	71700012				任务道具	2			5		1			34	50003005								4				0			1
100192	2	1	10	71700013				任务道具	2			5		1			34	50003006								4				0			1
100193	2	1	10	71700014				任务道具	2			5		1			34	50003007								4				0			1
100194	2	1	10	71700015				任务道具	2			5		1			34	50003010								4				0			1
100195	2	1	10	71700016				任务道具	2			5		1			34	50003011								4				0			1
100196	2	1	10	71700017				任务道具	2			5		1			34	50004001								3				0			2
100197	2	1	10	71700018				任务道具	2			5		1			34	50004002								3				0			2
100198	2	1	10	71700019				任务道具	2			5		1			34	50001005								4				0			3
100199	2	1	10	71700020				任务道具	2			5		1			34	50001009								4				0			3
100200	2	1	10	71700021				任务道具	2			5		1			34	50001010								4				0			3
100201	2	1	10	71700022				任务道具	2			5		1			34	50028001								3				0			1027
100202	2	1	10	71700023				任务道具	2			5		1			34	50005001								4				0			4
100203	2	1	10	71700024				任务道具	2			5		1			34	50005002								4				0			4
100204	2	1	10	71700025				任务道具	2			5		1			34	50005003								4				0			4
100205	2	1	10	71700026				任务道具	2			5		1			34	50005004								4				0			4
100206	2	1	10	71700027				任务道具	2			5		1			34	50005005								4				0			4
100207	2	1	10	71700028				任务道具	2			5		1			34	50005007								4				0			4
100208	2	1	10	71700029				任务道具	2			5		1			34	50006001								2				0			5
100236	2	1	10	71700045				任务道具	2			1																		0			
100210	2	1	10	70300065				任务道具	2			1000																		0			
100211	2	1	10	70300065				任务道具	2			1000																		0			
100212	2	1	10	70300065				任务道具	2			1000																		0			
100213	2	1	10	71700030				任务道具	2			5		1			34	50028002								3				0			1027
100214	2	1	10	70300066				任务道具	2			1																		0			
100215	2	1	10	71700031				任务道具	2			5		1			34	50022001								4	1			0			21
100216	2	1	10	71700032				任务道具	2			5		1			34	50022002								4				0			21
100217	2	1	10	71700033				任务道具	2			5		1			34	50022003								4				0			21
100218	2	1	10	71700034				任务道具	2			5		1			34	50022004								4				0			21
100219	2	1	10	71700035				任务道具	2			5		1			34	50022005								4				0			21
100220	2	1	10	71700036				任务道具	2			5		1			34	50022006								4				0			21
100221	2	1	10	71700037				任务道具	2			5		1			34	50022007								4				0			21
100222	2	1	10	71700038				任务道具	2			5																		0			
100223	2	1	10	71700039				任务道具	2			5		1			34	50029001												0			1028
100224	2	1	10	71700040				任务道具	2			1																		0			
100225	2	1	10	70300080				任务道具	5			100	1				24	70300080												0			
100226	2	1	10	71700042				任务道具	2			5		1			34	50007001								3				0			1006
100227	2	1	10	71700043				任务道具	2			5		1			34	50007002								3				0			1006
100228	2	1	10	71700044				任务道具	2			5		1			34	50007003								3				0			1006
100229	2	1	10	71700048				任务道具	2			1		1			34	50008005								3				0			1007
100230	2	1	10	71700049				任务道具	2			5		1			34	50008001								3				0			1007
100239	2	1	10	71700050				任务道具	2			5		1			34	50008002								3				0			1007
100240	2	1	10	71700051				任务道具	2			5		1			34	50008003								3				0			1007
100241	2	1	10	71700052				任务道具	2			5		1			34	50008004								3				0			1007
100231	2	1	10	71700047				任务道具	2			1																		0			
100232	2	1	10	71700048				任务道具	2			1																		0			
100245	2	1	10	71700048				任务道具	2			1																		0			
100233	2	1	5	70710011				任务道具	2			999																1		0			
100234	2	1	5	70710012				任务道具	2			999																1		0			
100235	2	1	5	70710013				任务道具	2			999																1		0			
100237	2	1	10	70300009				任务道具	2			1															1			0			
100238	2	1	10	70300009				任务道具	2			1															1			0			
100242	2	1	10	71700073				任务道具	2			1															1			0			
100243	2	1	10					任务道具	2			1																		0			
100244	2	0	6					任务道具	2			2000	1													2				0			
100301	2	1	10	70300002				任务道具	2			1															1			0			
100302	2	1	10	70300001				任务道具	2			1															1			0			
100303	2	1	10	70300009				任务道具	2			1000																		0			
100304	2	1	10	70300009				任务道具	2			1000																		0			
100305	2	0	6					任务道具	2			2000	1			2	15	220303	900				0			3				0			
100306	2	1	10	70210102				任务道具	2			1000															1			0			
100307	2	1	10	70210102				任务道具	2			1000																		0			
100308	2	1	10	70210102				任务道具	2			1000																		0			
100309	2	1	10	70300009				任务道具	2			1000																		0			
100310	2	1	10	70300009				任务道具	2			1000																		0			
100311	2	1	10	70300009				任务道具	2			1000																		0			
100312	2	0	6					任务道具	2			2000	1			2	15	110203	300				0			2				0			
100313	2	0	6					任务道具	2			2000	1			2	15	120303	300				0			3				0			
100314	2	1	10					任务道具	2			1000																		0			
100315	2	1	5					任务道具	2			1000																1		0			
100316	2	1	10	70710015				任务道具	2			1																		0			
100317	2	1	10	70710015				任务道具	2			1																		0			
100318	2	1	10	70710015				任务道具	2			1																		0			
100319	2	1	10	70710015				任务道具	2			1																		0			
100320	2	1	10	70710015				任务道具	2			1																		0			
100321	2	1	10	70710015				任务道具	2			1																		0			
100322	2	1	10	70710015				任务道具	2			1																		0			
100323	2	1	10	70710015				任务道具	2			1																		0			
100324	2	1	10	70710015				任务道具	2			1																		0			
100325	2	1	10	70710015				任务道具	2			1																		0			
100326	2	1	10	70710015				任务道具	2			1																		0			
100327	2	1	10	70710015				任务道具	2			1																		0			
100328	2	1	10	70710015				任务道具	2			1																		0			
100329	2	1	10	70710015				任务道具	2			1																		0			
100330	2	1	10	70710015				任务道具	2			1																		0			
100331	2	1	10	70710015				任务道具	2			1																		0			
100332	2	1	10	70710015				任务道具	2			1																		0			
100333	2	1	10	70710015				任务道具	2			1																		0			
100334	2	1	10	70710015				任务道具	2			1																		0			
100335	2	1	10	70710015				任务道具	2			1																		0			
100336	2	1	10	70710015				任务道具	2			1																		0			
100337	2	1	10	70710015				任务道具	2			1																		0			
100338	2	1	10	70710015				任务道具	2			1																		0			
100339	2	1	10	70710015				任务道具	2			1																		0			
100340	2	1	10	70710015				任务道具	2			1																		0			
100341	2	1	10	70710015				任务道具	2			1																		0			
100342	2	1	10	70710015				任务道具	2			1																		0			
100343	2	1	10	70710015				任务道具	2			1																		0			
100344	2	1	10	70710015				任务道具	2			1																		0			
100345	2	1	10	70710015				任务道具	2			1																		0			
100346	2	1	10	70710015				任务道具	2			1																		0			
100347	2	1	10	70710015				任务道具	2			1																		0			
100348	2	1	10					任务道具	2			1																		0			
100349	2	1	10	70710020				任务道具	2			100																		0			
100351	2	1	10					任务道具	2			1																		0			
100352	2	1	10	70600021				任务道具	2			1																		0			
100353	2	1	10	70600052				任务道具	2			1000															1			0			
100354	2	1	10	70600021				任务道具	2			1																		0			
100355	2	1	5					任务道具	2			1																1		0			
100350	2	1	10	71700046				任务道具	2			1																		0			
100356	2	1	10	70600021				任务道具	2			1																		0			
100357	2	1	10					任务道具	2			1																		0			
100358	2	1	10					任务道具	2			1																		0			
100359	2	1	10					任务道具	2			1																		0			
100360	2	1	10					任务道具	2			1																		0			
100361	2	1	10					任务道具	2			5		1			34	50029002												0			1028
100362	2	1	10					任务道具	2			1																		0			
100363	2	1	10					任务道具	2			1																		0			
100364	2	1	10					任务道具	2			5		1			34	50012006								4				0			1011
100365	2	1	10	70210102				任务道具	2			1000																		0			
100366	2	1	10					任务道具	2			5														2				0			1020
100367	2	1	10					任务道具	2			5														2				0			1020
100368	2	1	10					任务道具	2			5														2				0			1020
100369	2	1	10					任务道具	2			5														2				0			1020
100370	2	1	10					任务道具	2			5																		0			
100371	2	1	10					任务道具	2			5																		0			
100372	2	1	10					任务道具	2			5																		0			
100373	2	1	10					任务道具	2			5																		0			
100374	2	1	10					任务道具	2			5																		0			
100375	2	1	10					任务道具	2			1																		0			
100376	2	1	10					任务道具	2			1																		0			
100377	2	1	10					任务道具	2			1																		0			
100378	2	1	10					任务道具	2			1																		0			
100379	2	1	10					任务道具	2			1																		0			
100380	2	1	10					任务道具	2			1																		0			
100381	2	1	10					任务道具	2			1																		0			
100382	2	1	10					任务道具	2			1																		0			
100383	2	1	10					任务道具	2			1																		0			
100384	2	1	10					任务道具	2			1																		0			
100385	2	1	10					任务道具	2			1																		0			
100386	2	1	10					任务道具	2			1																		0			
100387	2	1	10					任务道具	2			1																		0			
100388	2	1	10	71700054				任务道具	2			5		1			34	50007004								3				0			1006
100389	2	1	10	71700055				任务道具	2			5		1			34	50007005								3				0			1006
100390	2	1	10	71700056				任务道具	2			5		1			34	50007006								3				0			1006
100391	2	1	10	71700057				任务道具	2			5		1			34	50007007								3				0			1006
100392	2	1	10					任务道具	2			1																		0			
100393	2	1	10					任务道具	2			1																		0			
100394	2	1	10					任务道具	2			1																		0			
100395	2	1	10					任务道具	2			1																		0			
100396	2	1	10					任务道具	2			1																		0			
100397	2	1	10					任务道具	2			1																		0			
100398	2	1	10	70600021				任务道具	2			1																		0			
100399	2	1	10	71700058				任务道具	2			5		1			34	50009001								3				0			1008
100400	2	1	10	71700059				任务道具	2			5		1			34	50009002								3				0			1008
100401	2	1	10	71700060				任务道具	2			5																		0			
100402	2	1	10	71700061				任务道具	2			5		1			34	50027001								3				0			1026
100403	2	1	10	71700062				任务道具	2			5		1			34	50025001								3				0			1024
100404	2	1	10	71700063				任务道具	2			5																		0			
100405	2	1	10	71700064				任务道具	2			5																		0			
100406	2	1	10	71700065				任务道具	2			5		1			34	50010001								3				0			1009
100407	2	1	10	71700066				任务道具	2			5		1			34	50010002								3				0			1009
100408	2	1	10	71700067				任务道具	2			5		1			34	50010004								3				0			1009
100409	2	1	10	71700068				任务道具	2			5																		0			
100410	2	1	10	71700069				任务道具	2			5																		0			
100411	2	1	10	71700070				任务道具	2			5		1			34	50011001								3				0			1010
100412	2	1	10	71700071				任务道具	2			5		1			34	50011002								3				0			1010
100413	2	1	10	71700072				任务道具	2			1																		0			
100414	2	1	10					任务道具	2			1																		0			
100415	2	1	10					任务道具	2			1																		0			
100416	2	1	10					任务道具	2			1																		0			
100417	2	1	10					任务道具	2			1																		0			
100418	2	1	10					任务道具	2			1																		0			
100419	2	1	10					任务道具	2			1																		0			
100420	2	1	10					任务道具	2			1																		0			
100421	2	1	10					任务道具	2			1																		0			
100422	2	1	10					任务道具	2			1																		0			
100423	2	1	10					任务道具	2			1																		0			
100424	2	1	10					任务道具	2			1																		0			
100425	2	1	10					任务道具	2			1																		0			
100426	2	1	10	71700074				任务道具	2			1																		0			
100427	2	1	10	70710057				任务道具	2			1																		0			
100428	2	1	10	71700074				任务道具	2			1																		0			
100429	2	1	10	70210102				任务道具	2			1															1			0			
100430	2	1	10	71700074				任务道具	2			5																		0			
100431	2	1	10	71700077				任务道具	2			1																		0			
100432	2	1	10	71700078				任务道具	2			5		1			34	50012001								4				0			1011
100433	2	1	10	71700079				任务道具	2			5		1			34	50012002								4				0			1011
100434	2	1	10	71700080				任务道具	2			5		1			34	50012003								4				0			1011
100435	2	1	10	71700081				任务道具	2			5		1			34	50012004								4				0			1011
100436	2	1	10	71700082				任务道具	2			5		1			34	50012005								4				0			1011
100437	2	1	10	71700084				任务道具	2			5		1			34	50013001								4				0			1012
100438	2	1	10	71700085				任务道具	2			5		1			34	50013002								4				0			1012
100439	2	1	10	71700086				任务道具	2			5		1			34	50013003								4				0			1012
100440	2	1	10	71700087				任务道具	2			5		1			34	50013004								4				0			1012
100441	2	1	10	71700088				任务道具	2			5		1			34	50007008								3				0			1006
