等级	冲击伤害系数	元素反应伤害成长	玩家反应伤害成长	玩家反应护盾成长
81	66.6	968.634183	968.634183	1292.764642
82	68.2	991.029365	991.029365	1307.995263
83	69.8	1013.527108	1013.527108	1317.293396
84	71.5	1036.132954	1036.132954	1326.518328
85	73.2	1066.623598	1066.623598	1335.670895
86	74.9	1089.964198	1089.964198	1348.519284
87	76.6	1114.964489	1114.964489	1365.503165
88	78.4	1141.662656	1141.662656	1384.392682
89	80.2	1171.941798	1171.941798	1403.194906
90	82	1202.813736	1202.813736	1423.892583
91	83.8	1233.939915	1233.939915	1450.051664
92	85.6	1264.69967	1264.69967	1478.268695
93	87.4	1305.689483	1305.689483	1506.556377
94	89.3	1346.084383	1346.084383	1543.226237
95	91.2	1411.738173	1411.738173	1570.437698
96	93.1	1468.874501	1468.874501	1580.363126
97	95	1524.041318	1524.041318	1589.211523
98	97	1576.966305	1576.966305	1672.863538
99	99	1627.613082	1627.613082	1682.129385
100	101	1674.809242	1674.809242	1691.395354
101	103	1719.824463	1719.824463	1696.543079
102	105	1764.716533	1764.716533	1701.690804
103	107	1809.401079	1809.401079	1706.838529
104	109.1	1843.19297	1843.19297	1711.986254
105	111.2	1884.980024	1884.980024	1717.133978
106	113.3	1900.652682	1900.652682	1722.281703
107	115.4	1916.375807	1916.375807	1727.429428
108	117.6	1932.149524	1932.149524	1732.577153
109	119.8	1947.973947	1947.973947	1737.724878
110	122	1963.849194	1963.849194	1742.872603
111	124.2	1979.775385	1979.775385	1748.020328
112	126.4	1995.752646	1995.752646	1753.168053
113	128.6	2011.781094	2011.781094	1758.315778
114	130.9	2027.860851	2027.860851	1763.463503
115	133.2	2055.471827	2055.471827	1768.611228
116	135.5	2074.894563	2074.894563	1773.758953
117	137.8	2094.380896	2094.380896	1778.906678
118	140.2	2113.930973	2113.930973	1784.054402
119	142.6	2133.544944	2133.544944	1789.202127
120	145	2153.22296	2153.22296	1794.349852
121	147.4	2172.965177	2172.965177	1799.497577
122	149.8	2192.771741	2192.771741	1804.645302
123	152.2	2212.642803	2212.642803	1809.793027
124	154.7	2232.578518	2232.578518	1814.940752
125	157.2	2252.579033	2252.579033	1820.088477
126	159.7	2261.164708	2261.164708	1825.236202
127	162.2	2269.771434	2269.771434	1830.383927
128	164.8	2278.399255	2278.399255	1835.531652
129	167.4	2287.048214	2287.048214	1840.679377
130	170	2295.718356	2295.718356	1845.827102
131	172.6	2304.409727	2304.409727	1850.974826
132	175.2	2313.122368	2313.122368	1856.122551
133	177.8	2321.856331	2321.856331	1861.270276
134	180.5	2330.611655	2330.611655	1866.418001
135	183.2	2339.388382	2339.388382	1871.565726
136	185.9	2348.186559	2348.186559	1876.713451
137	188.6	2357.006235	2357.006235	1881.861176
138	191.4	2365.847447	2365.847447	1887.008901
139	194.2	2374.710241	2374.710241	1892.156626
140	197	2383.594668	2383.594668	1897.304351
141	199.8	2392.500763	2392.500763	1902.452076
142	202.6	2401.428579	2401.428579	1907.599801
143	205.4	2410.378155	2410.378155	1912.747526
144	208.3	2419.349533	2419.349533	1917.89525
145	211.2	2428.342759	2428.342759	1923.042975
146	214.1	2437.357883	2437.357883	1928.1907
147	217	2446.394947	2446.394947	1933.338425
148	220	2455.453992	2455.453992	1938.48615
149	223	2464.535064	2464.535064	1943.633875
150	226	2473.638208	2473.638208	1948.7816
151	229	2482.763466	2482.763466	1953.929325
152	232	2491.910884	2491.910884	1959.07705
153	235	2501.080507	2501.080507	1964.224775
154	238.1	2510.272377	2510.272377	1969.3725
155	241.2	2519.486545	2519.486545	1974.520225
156	244.3	2528.723051	2528.723051	1979.66795
157	247.4	2537.981936	2537.981936	1984.815674
158	250.6	2547.263248	2547.263248	1989.963399
159	253.8	2556.567031	2556.567031	1995.111124
160	257	2565.893331	2565.893331	2000.258849
161	260.2	2575.24219	2575.24219	2005.406574
162	263.4	2584.613653	2584.613653	2010.554299
163	266.6	2594.007767	2594.007767	2015.702024
164	269.9	2603.424572	2603.424572	2020.849749
165	273.2	2612.864115	2612.864115	2025.997474
166	276.5	2622.326437	2622.326437	2031.145199
167	279.8	2631.811588	2631.811588	2036.292924
168	283.2	2641.319605	2641.319605	2041.440649
169	286.6	2650.850538	2650.850538	2046.588374
170	290	2660.404429	2660.404429	2051.736098
171	293.4	2669.981324	2669.981324	2056.883823
172	296.8	2679.581268	2679.581268	2062.031548
173	300.2	2689.204303	2689.204303	2067.179273
174	303.7	2698.850478	2698.850478	2072.326998
175	307.2	2708.519832	2708.519832	2077.474723
176	310.7	2718.212414	2718.212414	2082.622448
177	314.2	2727.928266	2727.928266	2087.770173
178	317.8	2737.667429	2737.667429	2092.917898
179	321.4	2747.429957	2747.429957	2098.065623
180	325	2757.215888	2757.215888	2103.213348
181	328.6	2767.025263	2767.025263	2108.361073
182	332.2	2776.858133	2776.858133	2113.508798
183	335.8	2786.714538	2786.714538	2118.656522
184	339.5	2796.594525	2796.594525	2123.804247
185	343.2	2806.498135	2806.498135	2128.951972
186	346.9	2816.425418	2816.425418	2134.099697
187	350.6	2826.376411	2826.376411	2139.247422
188	354.4	2836.351165	2836.351165	2144.395147
189	358.2	2846.34972	2846.34972	2149.542872
190	362	2856.372124	2856.372124	2154.690597
191	365.8	2866.418416	2866.418416	2159.838322
192	369.6	2876.488648	2876.488648	2164.986047
193	373.4	2886.58286	2886.58286	2170.133772
194	377.3	2896.701095	2896.701095	2175.281497
195	381.2	2906.843403	2906.843403	2180.429222
196	385.1	2916.88902	2916.88902	2185.576946
197	389	2927.079372	2927.079372	2190.724671
198	393	2937.293961	2937.293961	2195.872396
199	397	2947.532738	2947.532738	2201.020121
200	401	2957.795853	2957.795853	2206.167846
