ID	默认阵营	基础生命值	基础攻击力	基础防御力	暴击率	暴击抗性	暴击伤害	火元素抗性	草元素抗性	水元素抗性	电元素抗性	风元素抗性	冰元素抗性	岩元素抗性	火元素伤害加成	草元素伤害加成	水元素伤害加成	电元素伤害加成	风元素伤害加成	冰元素伤害加成	岩元素伤害加成	[属性成长]1类型	[属性成长]1曲线	[属性成长]2类型	[属性成长]2曲线	[属性成长]3类型	[属性成长]3曲线	元素精通	物理抗性	物理伤害加成	类型	描述	安全等级	服务器脚本	战斗Config	精英词缀	AI	是否AI校验	装备1	装备2	会游泳	[掉落]1ID	[掉落]1血量百分比	[掉落]2ID	[掉落]2血量百分比	[掉落]3ID	[掉落]3血量百分比	击杀掉落ID	全地图奖励	视距等级	是否离线重置	不在指定天气下出生	特性组ID	联机动态属性ID	外观	生物大类ID	安全检测	战斗音乐
29010101	4001	150	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	2	风魔龙S01	2		ConfigMonster_Dvalin_S01		dragon01					0	0	0	0	0	0	0	1	3			29010101	1		90101	1	9
29010102	4001	67.92	56.52	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	2	风魔龙S04	2		ConfigMonster_Dvalin_S04	9006	dragon01					0	0	0	0	0	0	0	1	3			29010102	1		90101	1	9
29010103	4001	200	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	2	风魔龙S00	2		ConfigMonster_Dvalin_S00		dragon01					0	0	0	0	0	0	0	1	3			29010103	1		90101	1	9
29010104	4001	122.256	75.36	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	2	风魔龙S04-循环本用	2		ConfigMonster_Dvalin_S04		dragon01					0	0	0	0	0	0	0	1	3			29010102	1		90101	1	9
29020101	4001	244.512	75.36	500	0	0	0	0.1	0.1	0.1	0.1	0.3	0.5	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	2	雷泽线	2		ConfigMonster_Wolf_LupiBoreas	9001	dragon01					0	0	0	0	0	0	0	1	1			29020101	1		90201	1	9
29020102	4001	244.512	75.36	500	0	0	0	0.1	0.1	0.1	0.1	0.3	0.5	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	2	世界挑战	2		ConfigMonster_Wolf_LupiBoreas		dragon01												1	1			29020102	1		90201	1	9
29030101	4001	81.504	37.68	500	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	2	璃月主线	2		ConfigMonster_Tartaglia	9007	dragon01												1				29020101	1			1	9
29030102	4001	81.504	37.68	500	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	2	璃月主线	2		ConfigMonster_Tartaglia_EvilEye	9007	dragon01												1				29020102	1			1	9
29030103	4001	135.84	50.24	500	0	0	0	0	0	0.7	0.7	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	2	璃月主线	2		ConfigMonster_Tartaglia_Harbinger	9007	dragon01		50004053										1				29020102	1		90301	1	9
29030104	4001	81.504	62.8	500	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	2	循环	2		ConfigMonster_Tartaglia		dragon01												1				29020101	1			1	9
29030105	4001	81.504	62.8	500	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	2	循环	2		ConfigMonster_Tartaglia_EvilEye		dragon01												1				29020102	1			1	9
29030106	4001	135.84	87.92	500	0	0	0	0	0	0.7	0.7	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	2	循环	2		ConfigMonster_Tartaglia_Harbinger		dragon01		50004053										1				29020102	1		90301	1	9
20020101	4001	67.92	62.8	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1		1		ConfigMonster_Elemental_Wind_01	3015	scout01					22010035	66	22010035	33	0	0	22010035			1		20020101	1		00201		3
20040101	4001	95.088	75.36	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	2		2		ConfigMonster_Effigy_Electric_01	3012,2002	scout01					22010034	75	22010034	50	22010034	25	22010034			1		20040101	1		00401	1	7
20040102	4001	149.424	75.36	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	2		2		ConfigMonster_Effigy_Electric_02	3012,2002,5006	scout01					22010034	75	22010034	50	22010034	25	22010034			0		20040101	1		00401	1	7
20040201	4001	95.088	75.36	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	2		2		ConfigMonster_Effigy_Wind_01	3015	scout01					22010035	75	22010035	50	22010035	25	22010035			1		20020101	1		00402	1	7
20040202	4001	149.424	75.36	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	2		2		ConfigMonster_Effigy_Wind_02	3015,5006	scout01					22010035	75	22010035	50	22010035	25	22010035			0		20020101	1		00402	1	7
20040301	4001	95.088	75.36	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	2		2		ConfigMonster_Effigy_Rock_01	3021	scout01					22010037	75	22010037	50	22010037	25	22010037		1	1		20040101	1		00403	1	7
20040302	4001	149.424	75.36	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	2		2		ConfigMonster_Effigy_Rock_02	3021,5006	scout01					22010037	75	22010037	50	22010037	25	22010037			0		20040101	1		00403	1	7
20010501	4001	10.8672	7.536	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1		0		ConfigMonster_Slime_Electric_02	2002	assist01					22010014	60	0	0	0	0	22010014					20010501	1		00105		1
20010601	4001	27.168	17.584	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1		0		ConfigMonster_Slime_Electric_03	2002	assist01					22010014	66	22010014	33	0	0	22010034					20010601	1		00106		1
20010604	4001	27.168	17.584	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1	强攻强化	0		ConfigMonster_Slime_Electric_03	2002,5001	assist01					22010014	66	22010014	33	0	0	22010034					20010601	1		00106		1
20010701	4001	27.168	17.584	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1	正电	0		ConfigMonster_Slime_Electric_03_Positive	2002	assist01					22010014	66	22010014	33	0	0	22010034					20010701	1		00107		1
20010702	4001	27.168	17.584	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1	正电-强攻强化	0		ConfigMonster_Slime_Electric_03_Positive	2002,5001	assist01					22010014	66	22010014	33	0	0	22010034					20010701	1		00107		1
20010801	4001	10.8672	7.536	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1		0		ConfigMonster_Slime_Ice_02	2003	assist01					22010016	60	0	0	0	0	22010016					20010801	1		00108		1
20010802	4001	10.8672	7.536	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1	用于雪山急冻树战斗	0	SubFieldDrop_Mimik_Ice	ConfigMonster_Slime_Ice_02	2003	assist01					22010016	60	0	0	0	0	22010016					20010801	1		00108		1
20010901	4001	27.168	17.584	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1		0		ConfigMonster_Slime_Ice_03	2003	assist01					22010016	66	22010016	33	0	0	22010036					20010901	1		00109		1
20010902	4001	27.168	17.584	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1	用于雪山急冻树战斗	0	SubFieldDrop_Mimik_Ice	ConfigMonster_Slime_Ice_03	2003	assist01					22010016	66	22010016	33	0	0	22010036					20010901	1		00109		1
20010904	4001	27.168	17.584	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1	强攻强化	0		ConfigMonster_Slime_Ice_03	2003,5001	assist01					22010016	66	22010016	33	0	0	22010036					20010901	1		00109		1
20011001	4001	10.8672	7.536	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1		0		ConfigMonster_Slime_Water_02		assist01					22010012	60	0	0	0	0	22010012					20011001	1		00110		1
20011101	4001	27.168	17.584	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1		0		ConfigMonster_Slime_Water_03		assist01					22010012	66	22010012	33	0	0	22010032					20011101	1		00111		1
20011103	4001	27.168	17.584	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1	跳跃强化	0		ConfigMonster_Slime_Water_03	5001	assist01					22010012	66	22010012	33	0	0	22010032					20011101	1		00111		1
20050101	4001	135.84	75.36	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	2	纯水精灵	2		ConfigMonster_Oceanid_01	3003	assist01					0	0	0	0	0	0	22010032					20050101	1		00501	1	7
20050102	4001	190.176	50.24	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	2	纯水精灵	2		ConfigMonster_Oceanid_02	3003	assist01					22010032	75	22010032	50	22010032	25	22010022					20050101	1		00501	1	7
20050201	4001	21.7344	25.12	500	0	0	0	-0.4	0.15	0.15	0.15	0.15	0.15	0.15	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.15	0	1	水幻形动物	0		ConfigMonster_Oceanid_Boar	3003	assist01					0	0	0	0	0	0	22010012					20010501	1		00502		1
20050202	4001	46.1856	37.68	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1	水幻形动物	0		ConfigMonster_Oceanid_Boar_02	3003	assist01					22010012	60	0	0	0	0	22010012					20010501	1		00502		1
20050301	4001	10.8672	62.8	500	0	0	0	0.15	0.15	0.15	-0.4	0.15	0.15	0.15	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.15	0	1	水幻形动物	0		ConfigMonster_Oceanid_Crane	3003	assist01					0	0	0	0	0	0	22010012					20010601	1		00503		1
20050401	4001	21.7344	50.24	500	0	0	0	0.15	0.15	0.15	0.15	0.15	-0.4	0.15	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.15	0	1	水幻形动物	0		ConfigMonster_Oceanid_Crab	3003	assist01					0	0	0	0	0	0	22010012					20010501	1		00504		1
20050402	4001	8.1504	25.12	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1	水幻形动物	0		ConfigMonster_Oceanid_Crab_02	3003	assist01					0	0	0	0	0	0	22010012					20010501	1		00504		1
20050501	4001	40.752	62.8	500	0	0	0	0.15	0.15	0.15	0.15	0.15	0.15	-0.4	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.15	0	1	水幻形动物	0		ConfigMonster_Oceanid_Tit	3003	assist01					22010012	66	22010012	33	0	0	22010032					20010601	1		00505		1
20050601	4001	21.7344	25.12	500	0	0	0	0.15	0.15	0.15	0.15	0.15	-0.4	0.15	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.15	0	1	水幻形动物	0		ConfigMonster_Oceanid_Wigeon	3003	assist01					0	0	0	0	0	0	22010012					20010601	1		00506		1
20050701	4001	19.0176	37.68	500	0	0	0	-0.4	0.15	0.15	0.15	0.15	0.15	0.15	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.15	0	1	水幻形动物	0		ConfigMonster_Oceanid_Squirrel	3003	assist01					0	0	0	0	0	0	22010012					20010501	1		00507		1
20050702	4001	46.1856	37.68	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1	水幻形动物	0		ConfigMonster_Oceanid_Squirrel_02	3003	assist01					22010012	60	0	0	0	0	22010012					20010501	1		00507		1
20050801	4001	40.752	62.8	500	0	0	0	0.15	0.15	0.15	0.15	0.15	0.15	-0.4	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.15	0	1	水幻形动物	0		ConfigMonster_Oceanid_Frog	3003	assist01					22010012	60	0	0	0	0	22010012					20010601	1		00508		1
20050901	4001	10.8672	50.24	500	0	0	0	0.15	0.15	0.15	-0.4	0.15	0.15	0.15	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.15	0	1	水幻形动物	0		ConfigMonster_Oceanid_Falcon	3003	assist01					0	0	0	0	0	0	22010012					20010601	1		00509		1
21010201	4001	13.584	22.608	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1		0		ConfigMonster_Hili_None_01		sentry02		50004001			22010010	60	0	0	0	0	22010010					21010201	1		10102		1
21010301	4001	13.584	22.608	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1	木盾	0		ConfigMonster_Hili_None_01		sentry02		50004001	50004002		22010010	60	0	0	0	0	22010010					21010301	1		10103		1
21010401	4001	10.8672	11.304	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1		0		ConfigMonster_Hili_None_01		ranged01		50004004			22010010	60	0	0	0	0	22010010					21010401	1		10104		1
21010402	4001	10.8672	11.304	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1	强攻强化	0		ConfigMonster_Hili_None_01	5001	ranged01		50004004			22010010	60	0	0	0	0	22010010					21010401	1		10104		1
21010501	4001	10.8672	11.304	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1		0		ConfigMonster_Hili_Fire_01	2001	ranged01		50004017			22010010	60	0	0	0	0	22010010					21010501	1		10105		1
21010502	4001	10.8672	11.304	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1	强攻强化	0		ConfigMonster_Hili_Fire_01	2001,5001	ranged01		50004017			22010010	60	0	0	0	0	22010010					21010501	1		10105		1
21010601	4001	13.584	22.608	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1		0		ConfigMonster_Hili_Fire_01	2001	scout01					22010010	60	0	0	0	0	22010010					21010601	1		10106		1
21010603	4001	13.584	22.608	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1	强攻强化	0		ConfigMonster_Hili_Fire_01	2001,5001	scout01					22010010	60	0	0	0	0	22010010					21010601	1		10106		1
21010701	4001	13.584	22.608	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1		0		ConfigMonster_Hili_Fire_Rush	2001	scout01		50004020			22010010	60	0	0	0	0	22010010					21010701	1		10107		1
21010901	4001	10.8672	11.304	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1		0		ConfigMonster_Hili_Ice_01		ranged01		50004018			22010010	60	0	0	0	0	22010010					21010901	1		10109		1
21010902	4001	10.8672	11.304	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1	强攻强化	0		ConfigMonster_Hili_Ice_01	5001	ranged01		50004018			22010010	60	0	0	0	0	22010010					21010901	1		10109		1
21011001	4001	10.8672	11.304	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1		0		ConfigMonster_Hili_Electric_01		ranged01		50004019			22010010	60	0	0	0	0	22010010					21011001	1		10110		1
21011002	4001	10.8672	11.304	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1	强攻强化	0		ConfigMonster_Hili_Electric_01	5001	ranged01		50004019			22010010	60	0	0	0	0	22010010					21011001	1		10110		1
21011201	4001	13.584	22.608	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1	岩盾	0		ConfigMonster_Hili_None_01		sentry02		50004024	50004023		22010010	60	0	0	0	0	22010010					21010301	1		10112		1
21011301	4001	10.8672	11.304	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1		0		ConfigMonster_Hili_Ice_01		ranged01					22010010	60	0	0	0	0	22010010					21010901	1		10113		1
21011401	4001	13.584	22.608	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1	冰盾	0		ConfigMonster_Hili_None_01		sentry02		50004057	50004055		22010010	60	0	0	0	0	22010010					21010301	1		10114		1
21011501	4001	21.7344	22.608	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1	大伟丘丘人空手	0		ConfigMonster_Hili_Wei_NoWeapon_01		sentry02					22010010	60	0	0	0	0	22010010					21010301	1		10115		1
20011201	4001	10.8672	7.536	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1		0		ConfigMonster_Slime_Fire_02		assist01					22010011	60	0	0	0	0	22010011					20011201	1		00112		1
20011202	4001	7	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1	新手引导	0		ConfigMonster_Slime_Fire_Tutorial		assist01					0	0	0	0	0	0	0					20011202	1		00112		1
20011301	4001	27.168	17.584	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1		0		ConfigMonster_Slime_Fire_03		assist01					22010011	66	22010011	33	0	0	22010031					20011301	1		00113		1
20011304	4001	27.168	17.584	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1	强攻强化	0		ConfigMonster_Slime_Fire_03	5001	assist01					22010011	66	22010011	33	0	0	22010031					20011301	1		00113		1
20011401	4001	10.8672	7.536	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1		0		ConfigMonster_Slime_Rock_02		assist01					22010017	60	0	0	0	0	22010017					20011401	1		00114		1
20011501	4001	27.168	17.584	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1		0		ConfigMonster_Slime_Rock_03		assist01					22010017	66	22010017	33	0	0	22010037					20011501	1		00115		1
20011502	4001	27.168	17.584	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1	强攻强化	0		ConfigMonster_Slime_Rock_03	5001	assist01					22010017	66	22010017	33	0	0	22010037					20011501	1		00115		1
22010101	4001	27.168	37.68	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1		0		ConfigMonster_Abyss_Fire_01	2001	scout01		50004006			22010011	75	22010011	50	22010011	25	22010031			1		22010101	1		20101		2
22010102	4001	27.168	37.68	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1	防护强化	0		ConfigMonster_Abyss_Fire_01	2001,1014,5002	scout01		50004006			22010011	75	22010011	50	22010011	25	22010031			1		22010101	1		20101		2
22010103	4001	27.168	37.68	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1	灵动强化	0		ConfigMonster_Abyss_Fire_01	2001,5003,5005	scout01		50004006			22010011	75	22010011	50	22010011	25	22010031			1		22010101	1		20101		2
22010104	4001	27.168	37.68	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1	强攻强化	0		ConfigMonster_Abyss_Fire_01	2001,5001	scout01		50004006			22010011	75	22010011	50	22010011	25	22010031			1		22010101	1		20101		2
22010201	4001	27.168	37.68	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	1		0		ConfigMonster_Abyss_Ice_01	2003	scout01		50004007			22010016	75	22010016	50	22010016	25	22010036			1		22010201	1		20102		2
