ID	默认阵营	类型	描述	JSON名称	能否移动	是否有音响	是否能装备	能否交互	视距等级	服务器脚本	ItemJSON名称	联机动态属性ID
70300051	5001	19	维持和Cutscene一致光柱，30s后消失	SceneObj_Quest_Mengde_Fading_Light_Pillar					3		SceneObj_Quest_Mengde_Fading_Light_Pillar	
70300052	1001	38	布置元素诱饵，用于吸引史莱姆	SceneObj_Quest_Interact_Point_01				1			SceneObj_Quest_Interact_Point_01	
70300053	5001	19	元素诱饵，用于吸引史莱姆	SceneObj_Gear_Platform_NormalPlatform_Ice							SceneObj_Gear_Platform_NormalPlatform_Ice	
70300054	5001	19	风龙羽毛	DragonFeather_HP		1			1		DragonFeather_HP	
70300055	1001	19	任务木架	SceneObj_Environment_Quest_GrapeStick							Default_Item	
70300056	5001	32	移动平台	DragonFeather_Move	1				1		DragonFeather_Move	
70300057	5001	19	可移动目标	Guide_Point_Move	1				3		Guide_Point_Move	
70300058	1001	23	安柏飞行挑战气垫测试	SceneObj_Environment_WindField_Anbai_FlyTest_01					3		SceneObj_Environment_WindField_Anbai_FlyTest_01	
70300059	1001	22	风龙留下的泪滴，似乎涌动着一股污浊的力量	SceneObj_Quest_Interact_Muddy_CrysTear_Dialog							SceneObj_Quest_Interact_Muddy_CrysTear_Dialog	
70300060	1001	19	特效1	SceneObj_Quest_Abyss_Water_Blink_01							SceneObj_Quest_Abyss_Water_Blink_01	
70300061	1001	19	特效2	SceneObj_Quest_Abyss_Water_Blink_02							SceneObj_Quest_Abyss_Water_Blink_02	
70300062	1001	19	特效3	SceneObj_Quest_Abyss_Water_Blink_03							SceneObj_Quest_Abyss_Water_Blink_03	
70300063	1001	19	任务木架								Default_Item	
70300064	1001	19	蒙德城飞行任务-目标	SceneObj_Quest_Mengde_City_FlyMission_Target							SceneObj_Quest_Mengde_City_FlyMission_Target	
70300065	1001	22	线索采集	SceneObj_Gather_Default_Gather							Default_NoDrop_Item	
70300066	1001	22	似乎是深渊教团对「暗夜英雄」下的战书，内容中有很多地方用「暗文」写成，隐藏了关键的情报。	SceneObj_Gather_Default_Gather							Default_NoDrop_Item	
70300067	1001	23	安柏飞行挑战气垫测试	SceneObj_Environment_WindField_Anbai_FlyTest_02					3		SceneObj_Environment_WindField_Anbai_FlyTest_02	
70300068	1001	23	安柏飞行挑战气垫测试	SceneObj_Environment_WindField_Anbai_FlyTest_03					3		SceneObj_Environment_WindField_Anbai_FlyTest_03	
70300069	1001	19	自走棋框框						2		Default_Item	
70300070	1001	19	安柏线-怪鸟的元素线索	AmborTaskTrack							Default_Item	
70300071	1001	38	爪印巨大，显然不是一般的狼群。	SceneObj_Quest_Interact_Point_02				1			SceneObj_Quest_Interact_Point_02	
70300072	1001	38	牙齿尖利锋锐，若不是用力过猛，无法断裂。	SceneObj_Quest_Interact_Point_02				1			SceneObj_Quest_Interact_Point_02	
70300073	1001	38	仔细看毛发上面粘的东西，似乎是果子。	SceneObj_Quest_Interact_Point_02				1			SceneObj_Quest_Interact_Point_02	
70300074	1001	38	沿路淌着新鲜的血迹	SceneObj_Quest_Interact_Point_02				1			SceneObj_Quest_Interact_Point_02	
70300075	4001	19	循环事件路障 木板	SceneObj_Event_RoadBlock		1					Default_Item	
70300076	4001	19	循环事件路障 黑叉	SceneObj_Event_RoadBlock02		1					Default_Item	
70300077	4001	19	循环事件帐篷 高	SceneObj_Event_QQTent		1					Default_Item	
70300078	4001	19	循环事件帐篷 矮	SceneObj_Event_QQTent02		1					Default_Item	
70300079	1001	19	不动热气球	SceneObj_Event_StableCart							Default_Item	
70300080	1001	3	捕捉陷阱	Task_Trap							Task_Trap	
70300081	4001	19	循环事件路障 白栅栏	SceneObj_Event_RoadBlock03		1					Default_Item	
70300083	4001	19	循环事件路障 白叉	SceneObj_Event_RoadBlock05		1					Default_Item	
70300084	4001	19	循环事件路障 黑栅栏	SceneObj_Event_RoadBlock04							Default_Item	
70300085	4001	19	丘丘人石头平台	SceneObj_Event_QQPlatform							Default_Item	
70300086	4001	19	丘丘人木柱子	SceneObj_Event_QQPile							Default_Item	
70300087	4001	19	丘丘人大锅	SceneObj_Event_QQPot		1					Default_Item	
70300088	4001	19	丘丘人箭靶	SceneObj_Event_QQTarget		1					Default_Item	
70300089	4001	19	丘丘人图腾	SceneObj_Event_QQTotem		1					Default_Item	
70300090	4001	19	丘丘人哨塔 黑塔	SceneObj_Event_WatchTower01							Default_Item	
70300091	4001	19	丘丘人哨塔 白塔	SceneObj_Event_WatchTower02		1					Default_Item	
70300092	1001	19	人类小车	SceneObj_Event_HumanCart		1					Default_Item	
70300093	1001	19	人类破车	SceneObj_Event_HumanCart_Broken							Default_Item	
70300094	1001	19	人类货物	SceneObj_Event_HumanCart_Goods							Default_Item	
70300095	1001	19	战利品	SceneObj_Event_Spoils							Default_Item	
70300096	1001	19	战利品2	SceneObj_Event_Spoils							Default_Item	
70300097	1001	19	战利品3	SceneObj_Event_Spoils							Default_Item	
70300098	5001	19	战术点篝火	SceneObj_Environment_FireMaterial_Bornfires		1				SetGadgetState	Default_Item	
70300099	5001	19	战术点腐化篝火	SceneObj_Environment_Ceremony_Fires		1				SetGadgetState	Default_Item	
70300100	4001	19	战术点丘丘人图腾	SceneObj_Event_QQTotem		1					Default_Item	
70300101	4001	19	战术点丘丘人哨塔02	SceneObj_Event_WatchTower02		1					Default_Item	
70300102	4001	19	战术点丘丘人石头平台	SceneObj_Event_QQPlatform		1					Default_Item	
70300103	1001	19	战术点战利品	SceneObj_Event_Spoils							Default_Item	
70300104	1001	19	人类帐篷2								Default_Item	
70300105	1001	19	人类帐篷3								Default_Item	
70300106	4001	19	战术点丘丘人箭靶	SceneObj_Event_QQTarget		1					Default_Item	
70300107	5001	19	仪式火堆	SceneObj_Environment_Ceremony_Fires		1				SetGadgetState	Default_Item	
70300108	4001	19	丘丘人箭靶	SceneObj_Event_QQTarget		1					Default_Item	
70300109	1001	19	事件脚印	SceneObj_Event_ElementTrack							SceneObj_Event_ElementTrack	
70300110	1001	19	卷轴信件								Default_Item	
70300111	4001	19	事件特殊丘丘人训练木桩	SceneObj_Event_QQTotem		1					Default_Item	
70300112	5001	19	事件鸭子喂食点	SceneObj_Event_DuckEat					1		Default_Item	
70300113	4001	19	赫尔曼事件训练木桩	SceneObj_Event_QQTotem		1					Default_Item	
70300114	4001	19	可莉封印圈	SceneObj_Event_Kelee_Seal		1					SceneObj_Event_Kelee_Seal	
70300115	5001	19	可莉地城台子			1					Default_Item	
70300116	5001	19	事件污渍	SceneObj_Event_Stain		1					Default_Item	
70300117	5001	19	可莉炸弹			1						
70300118	5001	19	定标特效	SceneObj_Event_TargetPoint		1					SceneObj_Event_TargetPoint	
70300119	1001	19	温迪疗伤特效	SceneObj_Environment_Cure_Wind							Default_Item	
70300120	5001	19	归终机-完整状态								Default_Item	
70300121	5001	19	归终机-破损状态								Default_Item	
70300122	4001	19	循环事件路障 单木板	SceneObj_Event_RoadBlock06		1					Default_Item	
70300123	4001	19	可莉封印圈110m加长版	SceneObj_Event_Kelee_SealR110		1			1		Default_Item	
70300200	1001	19	风神巴巴托斯的至宝，可以用来呼唤风龙特瓦林。如今已然失去风元素的加持。								Default_Item	
70300201	1001	19	风神巴巴托斯的至宝，可以用来呼唤风龙特瓦林。如今已然失去风元素的加持。								Default_Item	
70300202	1001	22	风龙留下的泪滴，似乎涌动着一股污浊的力量	SceneObj_Quest_Interact_Muddy_CrysTear_Dialog_Small							SceneObj_Quest_Interact_Muddy_CrysTear_Dialog_Small	
70300203	9001	19	Eff_QuestGuide_Position	SceneObj_Quest_QuestGuide_Position					2		SceneObj_Quest_QuestGuide_Position	
70700003	9001	19	三地城特效	SceneObj_Quest_Mengde_Dungeon_Top_Effect					2		SceneObj_Quest_Mengde_Dungeon_Top_Effect	
70700004	9001	19	蒙德风龙坏天气特效	Env_Mengde_WindDragon_01					3		Env_Mengde_WindDragon_01	
70700005	1001	38	丽莎线-书本线索	LisaBookGather				1			Default_NoDrop_Item	
70700006	1001	19	丽莎线-元素指南针	LisaCompass							Default_Item	
70700007	1001	38	可疑的元素痕迹	SceneObj_Quest_Interact_Point_01							SceneObj_Quest_Interact_Point_01	
70700008	1001	38	随处可见的普通树枝	SceneObj_Quest_Interact_Point_01							SceneObj_Quest_Interact_Point_01	
70700009	1001	38	撕碎的特制布片	SceneObj_Quest_Interact_Point_01							SceneObj_Quest_Interact_Point_01	
70700010	1001	19	丽莎线-丽莎攻击特效	SceneObj_Eff_Eff_ThunderFall_03							SceneObj_Eff_Eff_ThunderFall_03	
70700011	1001	19	丽莎线-丽莎攻击前摇特效	SceneObj_Eff_Eff_ThunderFall_Area							SceneObj_Eff_Eff_ThunderFall_Area	
70700012	1001	19	风龙地城松动特效	SceneObj_DvalinEntry_Shake								
70700013	1001	19	丽莎线—丽莎地城封印特效	SceneObj_Quest_Lisa_Dungeon_Seal							SceneObj_Quest_Lisa_Dungeon_Seal	
70700014	1001	19	丽莎线—丽莎地城封印破碎特效	SceneObj_Quest_Lisa_Dungeon_Seal_Break							SceneObj_Quest_Lisa_Dungeon_Seal_Break	
70700015	1001	38	提瓦特游览指南	SceneObj_Gather_Default_Gather							SceneObj_Gather_Default_Gather	
70700016	1001	38	被夺走的天空之琴	SceneObj_Gather_Task_NoDrop_70700016							Default_NoDrop_Item	
70700017	1001	19	海灯节—盗宝团标志特效	SceneObj_Quest_SeaLantern_ThiefRegimentMark							SceneObj_Quest_SeaLantern_ThiefRegimentMark	
70700018	1001	19	丽莎线—丽莎技能感电特效	SceneObj_Quest_Lisa_Skill_StickElectric							SceneObj_Quest_Lisa_Skill_StickElectric	
70710004	1001	23	射羽毛任务风场	SceneObj_Environment_WindField_ShootFeather_Vertical_Feather					2		SceneObj_Environment_WindField_ShootFeather_Vertical_Feather	
70710005	1001	23	安柏飞行风场	SceneObj_Environment_WindField_Anbai_Vertical_Feather					2		SceneObj_Environment_WindField_Anbai_Vertical_Feather	
70710008	1001	38	任务用拾取点（采集物逻辑）	SceneObj_Quest_Interact_Point_01				1			SceneObj_Quest_Interact_Point_01	
70710009	1001	38	任务用播撒交互（采集物逻辑）	SceneObj_Quest_Interact_Point_01				1	2		SceneObj_Quest_Interact_Point_01	
70710011	1001	19	肥美的蘑菇（香菱线废弃）	SceneObj_Gather_Default_Gather							Default_Item	
70710012	1001	19	新鲜的胡萝卜（香菱线废弃）	SceneObj_Gather_Default_Gather							Default_Item	
70710013	1001	19	饱满的卷心菜（香菱线废弃）	SceneObj_Gather_Default_Gather							Default_Item	
70710014	1001	19	猫猫脚印	ElementTrackCat							Default_Item	
70710015	1001	38	（TEST）调好的酒，现在只有一种酒杯	SceneObj_Gather_Default_Gather							Default_Item_WithQuest	
70710016	1001	19	香菱线用于料理对决的桌子									
70710017	1001	19	香菱线用于料理对决的桌子									
70710018	1001	19	香菱线用于料理对决的桌子									
70710019	1001	19	香菱线用于料理对决的桌子									
70710020	1001	22	(TEST) 来自稻妻的漂流瓶用于璃月大世界任务	SceneObj_Gather_Default_Gather							Default_Item	
70710021	1001	38	拾取	SceneObj_Quest_Interact_Point_01				1			SceneObj_Quest_Interact_Point_01	
70710022	1001	38	拾取	SceneObj_Quest_Interact_Point_01				1			SceneObj_Quest_Interact_Point_01	
70710023	1001	38	观察	SceneObj_Quest_Interact_Point_01				1			SceneObj_Quest_Interact_Point_01	
70710024	4001	30	用于找猫猫玩法	SceneObj_Quest_FindCat	1			1				
70710025	4001	19	鱼肉（采集物）	SceneObj_Quest_Fish	1						Default_Item	
70710026	4001	19	隐藏surround	SceneObj_Quest_Fish	1						Default_Item	
70710027	1001	19	香菱线用于摆放食材的桌子									
70710028	1001	38	用于调查的酒杯（调查点）	SceneObj_Gather_Default_Gather				1			Default_NoDrop_Item	
70710029	1001	19	香菱线遭遇到冰冻的野猪，还保留着当时的姿态。									
70710030	1001	38	香菱线洗净蔬菜	SceneObj_Quest_Interact_Point_01				1			SceneObj_Quest_Interact_Point_01	
70710031	1001	38	香菱线调整火力1	SceneObj_Quest_Interact_Adjust_Firepower				1			SceneObj_Quest_Interact_Adjust_Firepower	
70710032	1001	38	香菱线调整火力2	SceneObj_Quest_Interact_Adjust_Firepower				1			SceneObj_Quest_Interact_Adjust_Firepower	
70710033	1001	38	香菱线调整火力3	SceneObj_Quest_Interact_Adjust_Firepower				1			SceneObj_Quest_Interact_Adjust_Firepower	
70710034	1001	38	遗迹任务观察点A	SceneObj_Quest_Interact_Point_01				1			SceneObj_Quest_Interact_Point_01	
70710035	1001	38	遗迹任务观察点A	SceneObj_Quest_Interact_Point_01				1			SceneObj_Quest_Interact_Point_01	
70710036	1001	38	遗迹任务观察点A	SceneObj_Quest_Interact_Point_01				1			SceneObj_Quest_Interact_Point_01	
70710037	1001	19	用于调查的酒杯（模型）								Default_Item	
70710038	1001	19	可莉埋宝坑乱石堆								Default_Item	
70710039	1001	19	可莉埋宝坑木牌								Default_Item	
70710040	1001	38	海灯节活动放置稀有材料	SceneObj_Quest_Interact_Point_01				1			SceneObj_Quest_Interact_Point_01	
70710041	1001	38	2020海灯节任务调查点A	SceneObj_Quest_Interact_Point_01				1			SceneObj_Quest_Interact_Point_01	
70710042	1001	38	2020海灯节任务调查点B	SceneObj_Quest_Interact_Point_01				1			SceneObj_Quest_Interact_Point_01	
70710043	1001	38	2020海灯节任务调查点C	SceneObj_Quest_Interact_Point_01				1			SceneObj_Quest_Interact_Point_01	
70710044	1001	38	进香的香炉。	SceneObj_Environment_Other_CenserTask							Default_Item	
70710045	1001	38	（test）赌石的石头低奖励	SceneObj_Gather_GamblingRock_Low						SetGadgetState		
70710046	1001	38	（test）赌石的石头中奖励	SceneObj_Gather_GamblingRock_Low						SetGadgetState		
70710047	1001	38	（test）赌石的石头高奖励	SceneObj_Gather_GamblingRock						SetGadgetState		
70710048	1001	38	（test）赌石的石头底座生成差石头	SceneObj_Quest_GamblingRockCreater_1								
70710049	1001	38	（test）赌石的石头底座生成中等石头	SceneObj_Quest_GamblingRockCreater_2								
70710050	1001	38	（test）赌石的石头底座生成好石头	SceneObj_Quest_GamblingRockCreater_3								
70710051	1001	19	璃月主线用石头	SceneObj_Environment_Task_Rock							Default_Item	
70710052	1001	19	璃月主线用石头	SceneObj_Environment_Task_Rock							Default_Item	
70710053	1001	19	璃月主线用石头	SceneObj_Environment_Task_Rock							Default_Item	
70710054	1001	19	小冥被发现的烟雾	SceneObj_Quest_Xiaoming_Smoke_BeFound							SceneObj_Quest_Xiaoming_Smoke_BeFound	
70710055	1001	19	废弃的遗迹猎者	SceneObj_Environment_Other_Formathr							Default_Item	
70710056	9001	38	降魔印任务判断	SceneObj_Gather_Default_Gather				1			Default_NoDrop_Item	
70710057	9001	19	降魔印后续无限观看	SceneObj_Environment_Bulletin3							Default_NoDrop_Item	
70710058	1001	19	降魔印提示点	XiangmoyinGuide							Default_NoDrop_Item	
70710059	5001	19	望舒客栈断楼梯01						2			
70710060	1001	19	行秋看书书本特效	SceneObj_Quest_Xingqiu_LookBook_Effect							SceneObj_Quest_Xingqiu_LookBook_Effect	
70710061	5001	19	望舒客栈断楼梯02						2			
70710062	1001	19	一团雾气。								Default_Item	
70710063	1001	38	魈任务线进香的香炉。								Default_Item	
70710064	1001	38	魈任务线七星灯	SceneObj_Item_Property_Starlamp01							Default_Item	
70710065	1001	19	璃月港船只A						2		Default_Item	
70710066	1001	19	璃月港船只B						2		Default_Item	
70710067	5001	19	魈任务线石柱	SceneObj_Task_Rock_Pierce		1					Default_Item	
70710068	1001	22	安东尼治病事件	SceneObj_Gather_WindmilDaisy							SceneObj_Item_Small	
70710069	1001	38	魈任务线冰雾花——不可拾取	SceneObj_Environment_Other_CenserTask							Default_NoDrop_Item	
70710070	1001	38	魈任务线七星灯——不可拾取	SceneObj_Environment_Other_CenserTask							Default_NoDrop_Item	
70710071	5001	30	石碑	SceneObj_Gear_Operator_Invisible_Operator				1			Default_Item	
70710072	5001	30	石碑	SceneObj_Gear_Operator_Invisible_Operator				1			Default_Item	
70710073	5001	30	石碑	SceneObj_Gear_Operator_Invisible_Operator				1			Default_Item	
70710074	5001	30	石碑	SceneObj_Gear_Operator_Invisible_Operator				1			Default_Item	
70710075	5001	30	石碑	SceneObj_Gear_Operator_Invisible_Operator				1			Default_Item	
70710076	5001	30	石碑	SceneObj_Gear_Operator_Invisible_Operator				1			Default_Item	
70710077	5001	30	石碑	SceneObj_Gear_Operator_Invisible_Operator				1			Default_Item	
70710078	1001	38	魈任务线——躺下的丘丘人	SceneObj_Environment_Other_CenserTask							Default_NoDrop_Item	
70710079	1001	19	黄金屋-岩王爷仙蜕	SceneObj_Other_Property_Prop_GeoDraco_01					1		Default_NoDrop_Item	
70710080	1001	38	仙人物件「涤尘铃」	SceneObj_Gather_Default_Gather				1			Default_Item	
70710081	1001	38	旧仙壶	SceneObj_Gather_Celestialpot_01				1			Default_Item	
70710082	1001	38	香膏（红）	SceneObj_Gather_Default_Gather				1			Default_Item	
70710083	1001	38	香膏（蓝）	SceneObj_Gather_Default_Gather				1			Default_Item	
70710084	1001	38	香膏（绿）	SceneObj_Gather_Default_Gather				1			Default_Item	
70710085	1001	38	永生香	SceneObj_Gather_Burner01							Default_Item	
70710086	1001	38	木板	SceneObj_Gather_Default_Gather				1			Default_Item	
70710087	1001	38	木板和绳索	SceneObj_Gather_Default_Gather				1			Default_Item	
70710088	1001	38	绳索	SceneObj_Gather_Default_Gather				1			Default_Item	
70710089	5001	19	材料桌	SceneObj_Quest_MaterialTable							Default_Item	
70710090	1001	19	风属性元素气息	SceneObj_Environment_ElementFootprint_Trail							Default_Item	
70710091	5001	19	石碑								Default_Item	
70710092	5001	19	木牌(1.2资源迭代）	SceneObj_Quest_WoodenBoard							Default_Item	
70710093	5001	19	提示牌								Default_Item	
70710094	5001	30	发光小神像	SceneObj_Quest_Statue01				1	1		Default_Item	
70710095	5001	19	木牌(大)								Default_Item	
70710096	5001	19	炒菜								Default_Item	
70710097	5001	19	瓦罐汤								Default_Item	
70710098	5001	19	米饭								Default_Item	
70710099	5001	19	烤鸭								Default_Item	
70710100	5001	19	烤肉								Default_Item	
70710101	5001	19	蒸笼虾饺								Default_Item	
70710102	5001	19	炖菜								Default_Item	
70710103	5001	19	烤鸡								Default_Item	
70710104	5001	19	果篮								Default_Item	
70710105	5001	19	肉类								Default_Item	
70710106	5001	19	色拉								Default_Item	
70710107	5001	19	花盆	SceneObj_Quest_CommonFloraPot01				1			Default_Item	
70710108	1001	19	木板								Default_Item	
70710109	1001	19	绳索								Default_Item	
70710110	5001	19	猫食盆	SceneObj_Quest_PetPot_Cat01						SetGadgetState	Default_Item	
70710111	5001	19	狗食盆	SceneObj_Quest_PetPot_Dog01						SetInteract	Default_Item	
70710112	5001	22	风元素力量树叶	SceneObj_Quest_Wind_Leaves01				1			Default_Item	
70710113	5001	30	可开启牢笼	SceneObj_Quest_WoodenCage01				1		SetGadgetState	Default_Item	
70710114	5001	19	箱子（通用）								Default_Item	
70710115	5001	19	日记（通用）								Default_Item	
70710116	5001	32	丘丘人小车	SceneObj_Item_Hili_Cart	1	1						
70710117	1001	38	珍珠翡翠白玉堂的提示（仙人主线废弃）	SceneObj_Gather_Default_Gather				1			SceneObj_Gather_Default_Gather	
70710118	1001	38	摩拉肉的提示（仙人主线废弃）	SceneObj_Gather_Default_Gather				1			SceneObj_Gather_Default_Gather	
70710119	1001	38	松茸酿肉卷的提示（仙人主线废弃）	SceneObj_Gather_Default_Gather				1			SceneObj_Gather_Default_Gather	
70710120	1001	19	供奉珍珠翡翠白玉汤	SceneObj_Item_Property_JarSoup01							SceneObj_Item_Property_JarSoup01	
70710121	1001	19	供奉摩拉肉	SceneObj_Item_Property_RoastMeat01							SceneObj_Item_Property_RoastMeat01	
70710122	1001	19	供奉松茸酿肉卷	SceneObj_Item_Property_FiredVegetablew01							SceneObj_Item_Property_FiredVegetablew01	
70710123	5001	19	莫娜线封印特效	SceneObj_Environment_Mona_Door_Sealed							Default_Item	
70710124	5001	19	路径节点（红）	SceneObj_Item_PathNode_Red					2		Default_Item	
70710125	5001	19	路径节点（绿）	SceneObj_Item_PathNode_Green					2		Default_Item	
70710126	5001	19	路径节点（黄）	SceneObj_Item_PathNode_Yellow					2		Default_Item	
70710127	5001	19	(test)莫娜线日记								Default_Item	
70710128	5001	19	流风仙人地城门	SceneObj_Item_Immortaldungeonbarrier							Default_Item	
70710129	5001	19	风元素能量体	SceneObj_Item_WindRingEmitter_Element						WindEnergyBody	Default_Item	
70710130	5001	19	风元素能量体（小）	SceneObj_Item_ElemViewWindClotS_01						WindEnergyBodySmall	Default_Item	
70710131	5001	30	元素蜜囊（小）	SceneObj_Item_ChargePointS				1		SetGadgetState	Default_Item	
70710132	5001	30	元素蜜囊（大）	SceneObj_Item_ChargePointL				1		SetGadgetState	Default_Item	
70710133	5001	19	风元素力量树叶（元素版）	SceneObj_Quest_Wind_Leaves02							Default_Item	
70710134	1001	38	熬制薄荷香膏点	SceneObj_Gather_Default_Gather				1			Default_NoDrop_Item	
70710135	5001	19	三碗不过港酒馆的空饭碗								Default_Item	
70710136	5001	19	莫娜线对话中可莉翻包掉出								Default_Item	
70710137	5001	19	莫娜线对话中可莉翻包掉出								Default_Item	
70710138	5001	19	莫娜线对话中可莉翻包掉出								Default_Item	
70710139	5001	19	莫娜线对话中可莉翻包掉出								Default_Item	
70710140	5001	19	莫娜线对话中可莉翻包掉出								Default_Item	
70710141	5001	38	璃月主线三阶段特别甜的甜甜花	SceneObj_Gather_Small							SceneObj_Item_Small	
70710142	5001	19	璃月送仙仪式氛围物件	SceneObj_Area_Ly_Property_Prop_LYG_Common_Candlestick_01							Default_Item	
70710143	5001	19	璃月送仙仪式氛围物件								Default_Item	
70710144	5001	19	璃月送仙仪式氛围物件								Default_Item	
70710145	5001	19	璃月送仙仪式氛围物件								Default_Item	
70710146	5001	19	璃月送仙仪式氛围物件								Default_Item	
70710147	5001	19	璃月送仙仪式氛围物件								Default_Item	
70710148	1001	38	七七线用琉璃百合1	SceneObj_Gather_Task_NoDrop							Default_NoDrop_Item	
70710149	1001	38	七七线用琉璃百合2	SceneObj_Gather_Task_NoDrop							Default_NoDrop_Item	
70710150	1001	19	温迪脚印	ElementTrack							Default_Item	
70710151	1001	38	七七线调查线索					0	1		Lv3_Item	
70710152	1001	38	或许是受到特殊的生长环境的影响，这种日落果看上去更加饱满一些，但除此之外并没有发现其他的特殊之处。	SceneObj_Gather_Default_Gather				1			Default_NoDrop_Item	
70710153	5001	19	璃月小告示牌	SceneObj_Item_Default_Item							Default_Item	
70710154	5001	19	被风吹走的告示牌	SceneObj_Item_Default_Item							Default_Item	
70710155	5001	19	琉璃亭中式餐具	SceneObj_Item_Default_Item							Default_Item	
70710156	1001	38	仙人物件「涤尘铃」——不可交互型								Default_Item	
70710157	1001	38	香膏（红）——不可交互型								Default_Item	
70710158	1001	38	香膏（蓝）——不可交互型								Default_Item	
70710159	1001	38	香膏（绿）——不可交互型								Default_Item	
70710160	5001	19	花盆——不可交互型								Default_Item	
70710161	5001	38	瞳孔石	SceneObj_Area_Ly_Property_Prop_EyeStone_01					2		Default_Item	
70710162	5001	19	「珍珠翡翠白玉汤」氛围物件								Default_Item	
