ID	[触发条件]类型	[触发条件]参数1	[触发条件]参数2	[触发条件]参数3	[触发条件]参数4	进度	已废弃	RewardID	是否直接发奖
1505001	316	133107134	120	3000		10000		3002051	
1505002	316	133107134	120	3000		20000		3002052	
1505003	316	133107134	120	3000		30000		3002053	
1506001	316	133101214	120	3000		10000		3002061	
1506002	316	133101214	120	3000		20000		3002062	
1506003	316	133101214	120	3000		30000		3002063	
1507001	316	133004365	120	3000		10000		3002071	
1507002	316	133004365	120	3000		20000		3002072	
1507003	316	133004365	120	3000		30000		3002073	
1300111	222	200101				60		3003101	
1300112	222	200101				120		3003102	
1300113	222	200102				30		3003103	
1300114	222	200102				60		3003104	
1300115	219	11413	20			1		3003105	
1300116	219	11413	40			1		3003106	
1300121	220	11413	1			1		3003201	
1300122	212	111				600		3003202	
1300123	212	111				1800		3003203	
1300124	319	6				8		3003204	
1300125	319	6				16		3003205	
1300126	321	6	remainingHeat	3		5		3003206	
1300131	220	11413	2			1		3003301	
1300132	212	112				600		3003302	
1300133	212	112				1800		3003303	
1300134	319	7				8		3003304	
1300135	319	7				16		3003305	
1300136	320	7	1	20		5		3003306	
1300141	220	11413	4			1		3003401	
1300142	212	113				600		3003402	
1300143	319	7				5	1	3003403	
1300144	421	3				10		3003403	
1300145	421	3				15		3003404	
1300146	320	7	1	20		3	1	3003406	
1300147	433	3	3010116			1		3003405	
1300148	432	3	300			1		3003406	
1200210	602					7	1	3008101	
1200212	604	1				1		3008101	
1200213	605	2	420			1		3008102	
1200216	605	3	490			1		3008103	
1200217	605	4	560			1		3008104	
1200250	623	2	0			1		3008105	
1200253	623	3	0			1		3008106	
1200254	623	4	0			1		3008107	
1200214	606					300	1	3008105	
1200215	607					3000	1	3008106	
1200211	603	4				4		3008108	
1200218	603	5				5		3008109	
1200219	603	6				6		3008110	
1200220	602					2	1	3008101	
1200222	604	2				2	1	3008101	
1200223	605	5	630			1		3008111	
1200226	605	6	700			1		3008112	
1200255	623	5	0			1		3008113	
1200256	623	6	0			1		3008114	
1200251	624	5	12			1		3008115	
1200257	624	6	12			1		3008116	
1200224	606					300		3008117	
1200227	606					600	1	3008113	
1200225	607					3000		3008118	
1200228	607					6000	1	3008115	
1200221	603	7				6		3008119	
1200229	603	8				6		3008120	
1200230	602					3	1	3008101	
1200232	604	3				3	1	3008101	
1200233	605	7	875			1		3008121	
1200258	623	7	0			1		3008122	
1200252	625	7	8			1		3008123	
1200259	624	7	12			1		3008124	
1200234	606					300	1	3008119	
1200236	606					600		3008125	
1200237	606					900		3008126	
1200235	607					3000	1	3008122	
1200238	607					6000		3008127	
1200239	607					9000		3008128	
1200231	603	9				3	1	3008125	
1200240	603	9				6		3008129	
1200241	603	10				6		3008130	
1501901	601	0,133001576,0	3	501		1		3009011	
1501902	601	0,133001576,0	3	506		1		3009012	
1501903	601	0,133001576,0	3	507		1		3009013	
1501904	601	0,133001577,0	3	501		1		3009021	
1501905	601	0,133001577,0	3	503		1		3009022	
1501906	601	0,133001577,0	3	505		1		3009023	
1501907	601	0,133001582,0	3	501		1		3009031	
1501908	601	0,133001582,0	3	503		1		3009032	
1501909	601	0,133001582,0	3	505		1		3009033	
1501910	601	0,133001578,0	3	501		1		3009041	
1501911	601	0,133001578,0	3	503		1		3009042	
1501912	601	0,133001578,0	3	505		1		3009043	
1501913	601	0,133001579,0	3	501		1		3009051	
1501914	601	0,133001579,0	3	502		1		3009052	
1501915	601	0,133001579,0	3	503		1		3009053	
1501916	601	0,133001581,0	3	501		1		3009061	
1501917	601	0,133001581,0	3	503		1		3009062	
1501918	601	0,133001581,0	3	505		1		3009063	
1501919	601	0,133001580,0	3	501		1		3009071	
1501920	601	0,133001580,0	3	502		1		3009072	
1501921	601	0,133001580,0	3	503		1		3009073	
1200311	939	1001	1000			1		3011101	
1200312	939	1001	1800			1		3011102	
1200313	939	1001	2600			1		3011103	
1200314	939	1003	1200			1		3011104	
1200315	939	1003	2200			1		3011105	
1200316	939	1003	3200			1		3011106	
1200317	939	1004	1600			1		3011107	
1200318	939	1004	2800			1		3011108	
1200319	939	1004	4000			1		3011109	
1200320	939	1005	1000			1		3011110	
1200321	939	1005	2000			1		3011111	
1200322	939	1005	3000			1		3011112	
1200323	940	2001	1000			1		3011001	
1200324	940	2001	2000			1		3011002	
1200325	940	2001	3000			1		3011003	
1200326	940	2002	1000			1		3011004	
1200327	940	2002	2000			1		3011005	
1200328	940	2002	3000			1		3011006	
1200329	940	2003	1000			1		3011007	
1200330	940	2003	2000			1		3011008	
1200331	940	2003	3000			1		3011009	
1200332	940	2004	1000			1		3011010	
1200333	940	2004	2000			1		3011011	
1200334	940	2004	3000			1		3011012	
1200335	941	1	1000			1		3011201	
1200336	941	2	1200			1		3011202	
1200337	941	3	1800			1		3011203	
1200338	941	4	800			1		3011204	
1200339	941	5	1200			1		3011205	
1200340	941	6	1800			1		3011206	
1200341	941	7	1000			1		3011207	
1200342	941	8	1400			1		3011208	
1200343	941	9	2200			1		3011209	
1200344	941	10	1000			1		3011210	
1200345	941	11	1400			1		3011211	
1200346	941	12	2400			1		3011212	
1200351	626	1	480			1		3011301	
1200352	627	50				1		3011302	
1200353	628	watcher_fall_down_brokenfloor:6003	0	1		1		3011303	
1200354	628	watcher_hit_by_bullet:6005	0	1		1		3011304	
1200355	628	watcher_catch_flora_count:6004	10	4		1		3011305	
1200356	626	2	180			1		3011306	
1200357	627	80				1		3011307	
1200363	628	watcher_hit_by_bubble:6006	0	1		1		3011308	
1200368	628	watcher_hit_by_bubble:6007	0	1		1		3011309	
1200360	628	watcher_hit_by_bombflower:6004	0	1		1		3011310	
1200361	626	1	420			1		3011311	
1200371	629	2				1		3011312	
1200358	628	watcher_fall_down_darkfloor:6001	0	1		1		3011313	
1200364	628	watcher_memory_get_time_6008:6008	40	3		1		3011314	
1200365	628	watcher_collect_energy_6002:6002	10	4		1		3011315	
1200366	626	2	120			1		3011316	
1200372	629	3				1		3011317	
1200359	628	watcher_transparten_get_time_6001:6001	30	3		1		3011318	
1200369	628	watcher_wrong_position_memoryfloor:6008	0	1		1		3011319	
1200370	628	watcher_hit_by_floor:6002	0	1		1		3011320	
1200362	627	150				1	1	3011312	
1200367	627	200				1	1	3011317	
1502010	700	4142106				1		3010001	1
