ID	说明	AbilityName	是否通用	最先加载	图标	group用途
4014	免疫草元素伤害	MonsterAffix_GrassMuteHurt	1		Skill_E_Ayaka	
4015	免疫重击伤害	MonsterAffix_ExtraAttackMuteHurt_ForHunting	1		Skill_E_Ayaka	
4016	受法器伤害提升50%-需要角色对应	MonsterAffix_CatalystVulnerable_ForHunting	1		Skill_E_Ayaka	
4017	受单手剑伤害提升50%-需要角色对应	MonsterAffix_SwordVulnerable_ForHunting	1		Skill_E_Ayaka	
4018	受双手剑伤害提升50%-需要角色对应	MonsterAffix_ClaymoreVulnerable_ForHunting	1		Skill_E_Ayaka	
4019	受长柄武器伤害提升50%-需要角色对应	MonsterAffix_PoleVulnerable_ForHunting	1		Skill_E_Ayaka	
4020	受弓伤害提升50%-需要角色对应	MonsterAffix_BowVulnerable_ForHunting	1		Skill_E_Ayaka	
4021	被暴击率提升-需要角色对应	MonsterAffix_ExtraCritical_ForHunting	1		Skill_E_Ayaka	
4022	受暴击伤害提升-需要角色对应	MonsterAffix_ExtraCriticalHurt_ForHunting	1		Skill_E_Ayaka	
4023	受重击伤害提升-需要角色对应	MonsterAffix_ExtraAttackVulnerable_ForHunting	1		Skill_E_Ayaka	
4024	受空中攻击伤害提升-需要角色对应	MonsterAffix_FallingAttackVulnerable_ForHunting	1		Skill_E_Ayaka	
4025	火元素抗性减50	MonsterAffix_FireVulnerable_Low_ForHunting	1		Skill_E_Ayaka	
4026	水元素抗性减50	MonsterAffix_WaterVulnerable_Low_ForHunting	1		Skill_E_Ayaka	
4027	冰元素抗性减50	MonsterAffix_IceVulnerable_Low_ForHunting	1		Skill_E_Ayaka	
4028	雷元素抗性减50	MonsterAffix_ElecVulnerable_Low_ForHunting	1		Skill_E_Ayaka	
4029	岩元素抗性减50	MonsterAffix_RockVulnerable_Low_ForHunting	1		Skill_E_Ayaka	
4030	风元素抗性减50	MonsterAffix_WindVulnerable_Low_ForHunting	1		Skill_E_Ayaka	
4031	草元素抗性减50	MonsterAffix_GrassVulnerable_Low_ForHunting	1		Skill_E_Ayaka	
4032	怪物生命提高10%	MonsterAffix_Property_HpUp_01_ForHunting	1		Skill_E_Ayaka	
4033	怪物生命提高50%	MonsterAffix_Property_HpUp_04_ForHunting	1			
4034	怪物生命提高75%	MonsterAffix_Property_HpUp_05_ForHunting	1			
4035	怪物生命提高100%	MonsterAffix_Property_HpUp_06_ForHunting	1			
4036	怪物生命提高125%	MonsterAffix_Property_HpUp_07_ForHunting	1			
4037	怪物生命提高200%	MonsterAffix_Property_HpUp_08_ForHunting	1			
4038	怪物生命提高250%	MonsterAffix_Property_HpUp_09_ForHunting	1			
4039	怪物生命提高300%	MonsterAffix_Property_HpUp_10_ForHunting	1			
4040	怪物攻击提高10%	MonsterAffix_Property_AtkUp_01_ForHunting	1			
4041	怪物攻击提高20%	MonsterAffix_Property_AtkUp_02_ForHunting	1			
4042	怪物攻击提高30%	MonsterAffix_Property_AtkUp_03_ForHunting	1			
4043	狩猎线索特殊特效提示	MonsterAffix_HintEffect_ForHunting	1			
4044	受法器伤害提升100%-需要角色对应	MonsterAffix_CatalystVulnerable_High_ForHunting	1		Skill_E_Ayaka	
4045	受单手剑伤害提升100%-需要角色对应	MonsterAffix_SwordVulnerable_High_ForHunting	1		Skill_E_Ayaka	
4046	受双手剑伤害提升100%-需要角色对应	MonsterAffix_ClaymoreVulnerable_High_ForHunting	1		Skill_E_Ayaka	
4047	受长柄武器伤害提升100%-需要角色对应	MonsterAffix_PoleVulnerable_High_ForHunting	1		Skill_E_Ayaka	
4048	受弓伤害提升100%-需要角色对应	MonsterAffix_BowVulnerable_High_ForHunting	1		Skill_E_Ayaka	
4049	火元素抗性减100	MonsterAffix_FireVulnerable_High_ForHunting	1		Skill_E_Ayaka	
4050	水元素抗性减100	MonsterAffix_WaterVulnerable_High_ForHunting	1		Skill_E_Ayaka	
4051	冰元素抗性减100	MonsterAffix_IceVulnerable_High_ForHunting	1		Skill_E_Ayaka	
4052	雷元素抗性减100	MonsterAffix_ElecVulnerable_High_ForHunting	1		Skill_E_Ayaka	
4053	岩元素抗性减100	MonsterAffix_RockVulnerable_High_ForHunting	1		Skill_E_Ayaka	
4054	风元素抗性减100	MonsterAffix_WindVulnerable_High_ForHunting	1		Skill_E_Ayaka	
4055	草元素抗性减100	MonsterAffix_GrassVulnerable_High_ForHunting	1		Skill_E_Ayaka	
4056	怪物生命提高25%	MonsterAffix_Property_HpUp_03_ForHunting	1			
4057	怪物攻击提高50%	MonsterAffix_Property_AtkUp_04_ForHunting	1			
4058	怪物攻击提高100%	MonsterAffix_Property_AtkUp_05_ForHunting	1			
4059	怪物攻击提高120%	MonsterAffix_Property_AtkUp_06_ForHunting	1			
4060	受重击伤害提升100%-需要角色对应	MonsterAffix_ExtraAttackVulnerable_High_ForHunting	1			
4061	怪物生命提高20%	MonsterAffix_Property_HpUp_02_ForHunting	1			
4062	怪物攻击提高200%	MonsterAffix_Property_AtkUp_07_ForHunting	1			
4063	怪物攻击提高250%	MonsterAffix_Property_AtkUp_08_ForHunting	1			
4064	最终目标提示	MonsterAffix_FinalTarget_ForHunting	1	1		
4065	血量降低25%	MonsterAffix_HpDecrease_01_ForDragonSpine	1	1		
4101	怪物生命提高100%	MonsterAffix_Property_HpUp_High_ForAster	1			
4102	怪物生命提高50%	MonsterAffix_Property_HpUp_Mid_ForAster	1			
4103	怪物生命提高25%	MonsterAffix_Property_HpUp_Low_ForAster	1			
4104	怪物攻击提高50%	MonsterAffix_Property_AtkUp_High_ForAster	1			
4105	怪物攻击提高25%	MonsterAffix_Property_AtkUp_Mid_ForAster	1			
4106	怪物攻击提高15%	MonsterAffix_Property_AtkUp_Low_ForAster	1			
4107	受到活动角色伤害提高100%-需要角色对应	MonsterAffix_AssignedAvatarVulnerable_High_ForAster	1			
4108	受到活动角色伤害提高60%-需要角色对应	MonsterAffix_AssignedAvatarVulnerable_Mid_ForAster	1			
4109	受到活动角色伤害提高30%-需要角色对应	MonsterAffix_AssignedAvatarVulnerable_Low_ForAster	1			
4110	活动中高分目标的特效提示	MonsterAffix_HighScoreTarget_ForAster	1			
4111	血量提升400%	MonsterAffix_Property_HpUp_01_ForTowerDefense	1	1		
4112	血量提升250%	MonsterAffix_Property_HpUp_02_ForTowerDefense	1	1		
4113	提升单体20%防御力	MonsterAffix_Property_DefImprove_01_ForTowerDefense	1			
4115	攻击力提升200%	MonsterAffix_Property_AtkUp_01_ForArenaChallenge	1			
5001	精英化词缀-详见对应文档	MonsterEliteAffix_Attack_Enhance		1	Skill_E_Ayaka	
5002	精英化词缀-详见对应文档	MonsterEliteAffix_Defence_Enhance		1	Skill_E_Ayaka	
5003	精英化词缀-详见对应文档	MonsterEliteAffix_Agility_Enhance		1	Skill_E_Ayaka	
5004	精英化词缀-详见对应文档	MonsterEliteAffix_Support_Enhance		1	Skill_E_Ayaka	
5005	精英化词缀-详见对应文档	MonsterEliteAffix_AgilityEnhance_Abyss_Plugin		1	Skill_E_Ayaka	
5006	无相挑战标记	MonsterAffix_Effigy_Elite		1	Skill_E_Ayaka	
5007	急冻树雪山活动	MonsterAffix_Regisvine_Ice_Activity		1	Skill_E_Ayaka	
5008	骗骗花雪山活动	MonsterAffix_Mimik_Ice_Activity		1	Skill_E_Ayaka	
5009	用于遗迹系怪物激活	MonsterAffix_AIHitFeeling_LevelTrigger	1	1		
5010	用于1.4活动标记纯水动物	MonsterAffix_Oceanid_Animal_ActivityMask	1	1	Skill_E_Ayaka	
5011	纯水动物HP提升，攻击下降	MonsterAffix_Oceanid_Animal_PropertyFix	1	1		
5101	用于任务中增减技能的怪物，将怪物技能组设为101	MonsterAffix_AlternativeSkillSet_101	1	1		
6001	元素V2白盒词缀-详见文档	MonsterAffix_IceDebuff_ForbidStaminaRecovery	1		Skill_S_Qin_01	
6101	冰伤害通用技能-详见文档	GeneralSkill_IceDamage_Prison	1		Skill_E_Ayaka	
6102	风伤害通用技能-详见文档	GeneralSkill_WindDamage_Vortex	1		Skill_E_Ayaka	
6103	岩伤害通用技能-详见文档	GeneralSkill_RockDamage_LowWave	1		Skill_E_Ayaka	
6104	电伤害通用技能-详见文档	GeneralSkill_ElecDamage_Arc	1		Skill_E_Ayaka	
6105	火伤害通用技能-详见文档	GeneralSkill_FireDamage_TracingImpulse	1		Skill_E_Ayaka	
6106	水伤害通用技能-详见文档	GeneralSkill_WaterDamage_Bubble	1		Skill_E_Ayaka	
8001	怪物死亡掉落70330025	MonsterInfusionAffix_Crucible_Water_Small	1		Skill_E_Ayaka	
8002	怪物死亡掉落70330026	MonsterInfusionAffix_Crucible_Water_Big	1		Skill_E_Ayaka	
8003	怪物死亡掉落70330027	MonsterInfusionAffix_Crucible_Fire_Small	1		Skill_E_Ayaka	
8004	怪物死亡掉落70330028	MonsterInfusionAffix_Crucible_Fire_Big	1		Skill_E_Ayaka	
8005	怪物死亡掉落70330029	MonsterInfusionAffix_Crucible_Ice_Small	1		Skill_E_Ayaka	
8006	怪物死亡掉落70330030	MonsterInfusionAffix_Crucible_Ice_Big	1		Skill_E_Ayaka	
8007	怪物死亡掉落70330031	MonsterInfusionAffix_Crucible_Electric_Small	1		Skill_E_Ayaka	
8008	怪物死亡掉落70330032	MonsterInfusionAffix_Crucible_Electric_Big	1		Skill_E_Ayaka	
8009	怪物死亡掉落70330033	MonsterInfusionAffix_Crucible_Wind_Small	1		Skill_E_Ayaka	
8010	怪物死亡掉落70330034	MonsterInfusionAffix_Crucible_Wind_Big	1		Skill_E_Ayaka	
8011	怪物死亡掉落70330035	MonsterInfusionAffix_Crucible_Rock_Small	1		Skill_E_Ayaka	
8012	怪物死亡掉落70330036	MonsterInfusionAffix_Crucible_Rock_Big	1		Skill_E_Ayaka	
8013	怪物死亡掉落70330037	MonsterInfusionAffix_Crucible_Grass_Small	1		Skill_E_Ayaka	
8014	怪物死亡掉落70330038	MonsterInfusionAffix_Crucible_Grass_Big	1		Skill_E_Ayaka	
8015	怪物死亡随机掉落小球	MonsterInfusionAffix_Crucible_Random_Small	1		Skill_E_Ayaka	
8016	怪物死亡随机掉落大球	MonsterInfusionAffix_Crucible_Random_Big	1		Skill_E_Ayaka	
8017	怪物死亡掉落70330025 3个	MonsterInfusionAffix_Crucible_Water_Small_3	1		Skill_E_Ayaka	
8018	怪物死亡掉落70330026 3个	MonsterInfusionAffix_Crucible_Water_Big_3	1		Skill_E_Ayaka	
8019	怪物死亡掉落70330027 3个	MonsterInfusionAffix_Crucible_Fire_Small_3	1		Skill_E_Ayaka	
8020	怪物死亡掉落70330028 3个	MonsterInfusionAffix_Crucible_Fire_Big_3	1		Skill_E_Ayaka	
8021	怪物死亡掉落70330029 3个	MonsterInfusionAffix_Crucible_Ice_Small_3	1		Skill_E_Ayaka	
8022	怪物死亡掉落70330030 3个	MonsterInfusionAffix_Crucible_Ice_Big_3	1		Skill_E_Ayaka	
8023	陨石测试	MonsterAffix_Aster_Score	1		Skill_E_Ayaka	
8024	雪山-龙血结晶70590026	MonsterInfusionAffix_DulinsBlood	1		Skill_E_Ayaka	
9001	北风狼雷泽线任务标识	MonsterAffix_LupiBoreas_Razor		1	Skill_E_Ayaka	
9002	召唤怪跟随创建者的生命周期	MonsterAffix_Summon_Lifetime	1	1	Skill_E_Ayaka	
9003	盗宝鼬-等级1标识	MonsterAffix_Thoarder_Weasel_Level_01		1	Skill_E_Ayaka	
9004	盗宝鼬-等级2标识	MonsterAffix_Thoarder_Weasel_Level_02		1	Skill_E_Ayaka	
9005	盗宝鼬-等级3标识	MonsterAffix_Thoarder_Weasel_Level_03		1	Skill_E_Ayaka	
9006	风魔龙初见标识	MonsterAffix_Dvalin_S04_FirstSight		1	Skill_E_Ayaka	
9007	剧情任务-难度调节标签	MonsterAffix_Quest_Adjust		1	Skill_E_Ayaka	
9008	剧情任务-脱战逻辑标签	MonsterAffix_Quest_ReturnToBorn		1	Skill_E_Ayaka	
60401	岩龙蜥-水	Monster_Drake_Rock_WaterMode,Monster_Drake_Rock_WaterEnhance,Monster_Drake_Rock_CrushAtkCharging_Water,Monster_Drake_Rock_WaterEnhance_NormalAtkTrigger,Monster_Drake_Rock_WaterEnhance_SlapGround01Trigger,Monster_Drake_Rock_WaterEnhance_SlapGround02Trigger,Monster_Drake_Rock_WaterEnhance_SlapGround03Trigger,Monster_Drake_Rock_WaterEnhance_JumpAtkTrigger,Monster_Drake_Rock_WaterEnhance_JumpAtkFinalTrigger,Monster_Drake_Rock_WaterEnhance_Alert		1		
60402	岩龙蜥-火	Monster_Drake_Rock_FireMode,Monster_Drake_Rock_FireEnhance,Monster_Drake_Rock_JumpAtk_Alert_FireEnhance,Monster_Drake_Rock_JumpAtkFinal_Alert_FireEnhance,Monster_Drake_Rock_CrushAtkCharging_Fire,Monster_Drake_Rock_FireEnhance_JumpAtkTrigger,Monster_Drake_Rock_FireEnhance_JumpAtkFinalTrigger		1		
60403	岩龙蜥-冰	Monster_Drake_Rock_IceMode,Monster_Drake_Rock_IceEnhance,Monster_Drake_Rock_CrushAtkCharging_Ice,Monster_Drake_Rock_IceEnhance_NormalAtkTrigger,Monster_Drake_Rock_IceEnhance_SlapGround01Trigger,Monster_Drake_Rock_IceEnhance_SlapGround02Trigger,Monster_Drake_Rock_IceEnhance_SlapGround03Trigger,Monster_Drake_Rock_IceEnhance_JumpAtkTrigger,Monster_Drake_Rock_IceEnhance_JumpAtkFinalTrigger		1		
60404	岩龙蜥-电	Monster_Drake_Rock_ElecMode,Monster_Drake_Rock_ElecEnhance,Monster_Drake_Rock_CrushAtkCharging_Elec,Monster_Drake_Rock_ElecEnhance_NormalAtkTrigger,Monster_Drake_Rock_ElecEnhance_SlapGround01Trigger,Monster_Drake_Rock_ElecEnhance_SlapGround02Trigger,Monster_Drake_Rock_ElecEnhance_SlapGround03Trigger,Monster_Drake_Rock_ElecEnhance_JumpAtkTrigger,Monster_Drake_Rock_ElecEnhance_JumpAtkFinalTrigger		1		
60501	古岩龙蜥-水	Drake_Primo_Rock_SkinController_Water,Drake_Primo_Rock_Breathe_Water,Drake_Primo_Rock_ElementExplodeBS_Water,Drake_Primo_Rock_ScaleShot_Water,Drake_Primo_Rock_ScaleBurst_Water,Drake_Primo_Rock_BrokenH_Water			Skill_E_Ayaka	
60502	古岩龙蜥-火	Drake_Primo_Rock_SkinController_Fire,Drake_Primo_Rock_Breathe_Fire,Drake_Primo_Rock_ElementExplodeBS_Fire,Drake_Primo_Rock_ScaleShot_Fire,Drake_Primo_Rock_ScaleBurst_Fire,Drake_Primo_Rock_BrokenH_Fire			Skill_E_Ayaka	
60503	古岩龙蜥-冰	Drake_Primo_Rock_SkinController_Ice,Drake_Primo_Rock_Breathe_Ice,Drake_Primo_Rock_ElementExplodeBS_Ice,Drake_Primo_Rock_ScaleShot_Ice,Drake_Primo_Rock_ScaleBurst_Ice,Drake_Primo_Rock_BrokenH_Ice			Skill_E_Ayaka	
60504	古岩龙蜥-电	Drake_Primo_Rock_SkinController_Electric,Drake_Primo_Rock_Breathe_Electric,Drake_Primo_Rock_ElementExplodeBS_Electric,Drake_Primo_Rock_ScaleShot_Electric,Drake_Primo_Rock_ScaleBurst_Electric,Drake_Primo_Rock_BrokenH_Electric			Skill_E_Ayaka	
