挑战组合ID	LevelEntityConfig
1061	LevelEntity_TowerBuff_ElementReactionAttack_Superconductor
1062	LevelEntity_TowerBuff_ElementReactionAttack_Melt
1063	LevelEntity_TowerBuff_ElementReactionAttack_Stream
1064	LevelEntity_TowerBuff_ElementReactionAttack_Shock
1065	LevelEntity_TowerBuff_ElementReactionHurt_Explode
1066	LevelEntity_TowerBuff_ElementReactionHurt_Superconductor
1067	LevelEntity_TowerBuff_ElementReactionHurt_Melt
1068	LevelEntity_TowerBuff_ElementReactionHurt_Stream
1069	LevelEntity_TowerBuff_ElementReactionHurt_Shock
1070	LevelEntity_TowerBuff_ElementReactionAttack_Melt
1070	LevelEntity_TowerBuff_ElementReactionHurt_Superconductor
1070	LevelEntity_TowerBuff_ElementReactionHurt_Stream
1071	LevelEntity_TowerBuff_ElementReactionAttack_Explode
1071	LevelEntity_TowerBuff_ElementReactionHurt_Melt
1071	LevelEntity_TowerBuff_ElementReactionHurt_Stream
1100	LevelEntity_TowerBuff_ElementReactionAttack_Explode
1101	LevelEntity_TowerBuff_ElementReactionAttack_Melt
1102	LevelEntity_TowerBuff_ElementReactionAttack_Explode
1102	LevelEntity_TowerBuff_ElementReactionHurt_Superconductor
1103	LevelEntity_TowerBuff_ElementReactionAttack_Melt
1103	LevelEntity_TowerBuff_ElementReactionHurt_Superconductor
1104	LevelEntity_TowerBuff_ElementReactionAttack_Stream
1104	LevelEntity_TowerBuff_ElementReactionHurt_Shock
1105	LevelEntity_TowerBuff_ElementReactionAttack_Melt
1105	LevelEntity_TowerBuff_ElementReactionHurt_Superconductor
1106	LevelEntity_TowerBuff_ElementReactionAttack_Explode
1106	LevelEntity_TowerBuff_ElementReactionHurt_Superconductor
1107	LevelEntity_ElementAddHurt_Fire
1108	LevelEntity_PhysicalAddHurt
1109	LevelEntity_PhysicalAddHurt
1110	LevelEntity_PhysicalAddHurt
1111	LevelEntity_PhysicalAddHurt
1112	LevelEntity_PhysicalAddHurt
1113	LevelEntity_PhysicalAddHurt
1114	Level_Electric_Test
1115	LevelEntity_TowerBuff_ElementReactionAttack_Explode
1116	LevelEntity_TowerBuff_ElementReactionAttack_Superconductor
1117	Level_Electric_Test
1118	LevelEntity_TowerBuff_ElementReactionAttack_Explode
1118	LevelEntity_TowerBuff_ElementReactionHurt_Melt
1118	LevelEntity_TowerBuff_ElementReactionHurt_Stream
1119	LevelEntity_TowerBuff_ElementReactionAttack_Superconductor
1119	LevelEntity_TowerBuff_ElementReactionHurt_Melt
1119	LevelEntity_TowerBuff_ElementReactionHurt_Stream
1120	LevelEntity_ElementAddHurt_Electric
1121	Level_Freeze_Test
1121	LevelEntity_TowerBuff_ElementReactionAttack_Superconductor
1122	LevelEntity_TowerBuff_ElementReactionAttack_Melt
1122	LevelEntity_TowerBuff_ElementReactionHurt_Explode
1123	LevelEntity_TowerBuff_ElementReactionAttack_Superconductor
1123	LevelEntity_TowerBuff_ElementReactionHurt_Explode
1124	LevelEntity_TowerBuff_ElementReactionAttack_Melt
1124	LevelEntity_TowerBuff_ElementReactionHurt_Explode
1125	Level_Melt_Test
1126	LevelEntity_ElementAddHurt_Rock
1127	LevelEntity_ElementAddHurt_Rock
1128	LevelEntity_ElementAddHurt_Rock
1129	LevelEntity_PhysicalAddHurt
1129	LevelEntity_Avatar_CriticalUp
1130	LevelEntity_Monster_HpUp
1131	LevelEntity_Monster_HpUp
1131	LevelEntity_Monster_AttackUp
1132	LevelEntity_Monster_HpUp
1133	LevelEntity_Monster_AttackUp
1134	LevelEntity_Monster_AttackUp
1135	LevelEntity_Monster_HpUp
1135	LevelEntity_Monster_AttackUp
1136	LevelEntity_Monster_HpUp
1137	LevelEntity_Monster_HpUp
1137	LevelEntity_Monster_AttackUp
1138	LevelEntity_Monster_HpUp
1139	LevelEntity_Monster_HpUp
1139	LevelEntity_Monster_AttackUp
1150	LevelEntity_ElementAddHurt_Fire
1150	Level_Explode_Test
1150	LevelEntity_Monster_HpUp_Lv1
1151	LevelEntity_ElementAddHurt_Ice
1151	Level_Freeze_Test
1151	LevelEntity_Monster_HpUp_Lv2
1152	LevelEntity_ElementAddHurt_Electric
1152	Level_Electric_Test
1152	LevelEntity_Monster_HpUp_Lv1
1153	LevelEntity_ElementAddHurt_Fire
1153	LevelEntity_ElementAddHurt_Ice
1153	Level_Melt_Test
1153	LevelEntity_Monster_HpUp_Lv1
1154	LevelEntity_ElementAddHurt_Fire
1154	LevelEntity_ElementAddHurt_Electric
1154	Level_Explode_Test
1154	LevelEntity_Monster_HpUp_Lv2
1140	Level_Swril_Test
1140	LevelEntity_ElementAddHurt_Wind
1140	LevelEntity_Monster_HpUp_Lv2
1141	LevelEntity_ElementAddHurt_Electric
1141	Level_Electric_Test
1141	LevelEntity_Monster_HpUp_Lv3
1142	LevelEntity_ElementAddHurt_Rock
1142	Level_Freeze_Test
1142	LevelEntity_ClaymoreAddHurt
1142	LevelEntity_Monster_HpUp_Lv5
1143	LevelEntity_ElementAddHurt_Water
1143	LevelEntity_ElementAddHurt_Fire
1143	Level_Stream_Test
1143	LevelEntity_Monster_HpUp_Lv2
1144	LevelEntity_ElementAddHurt_Electric
1144	LevelEntity_ElementAddHurt_Ice
1144	Level_Superconductor_Test
1144	LevelEntity_Monster_HpUp_Lv3
1155	LevelEntity_Avatar_CriticalHurtUp
1155	LevelEntity_Monster_HpUp_Lv4
1156	LevelEntity_PhysicalAddHurt
1156	LevelEntity_Monster_HpUp_Lv3
1157	Level_Spiral_Abyss_Charge_Empty
1157	LevelEntity_Monster_HpUp_Lv3
1157	LevelEntity_TowerBuff_HealUp
1158	Level_Spiral_Abyss_Charge_Empty
1158	LevelEntity_Monster_HpUp_Lv5
1158	LevelEntity_TowerBuff_TowerBuff_CriticalDropElementBall
1159	Level_Spiral_Abyss_Charge_Empty
1159	LevelEntity_ElementAddHurt_Fire
1159	LevelEntity_Monster_HpUp_Lv4
1160	Level_Spiral_Abyss_Charge_Empty
1160	Level_Stream_Test
1160	LevelEntity_Monster_HpUp_Lv5
1161	LevelEntity_TowerBuff_AtkDefUpHighHP
1161	LevelEntity_Monster_HpUp_Lv3
1162	LevelEntity_PhysicalAddHurt
1162	LevelEntity_Monster_ElementBeHurtDamageDown_All
1162	LevelEntity_Monster_HpUp_Lv4
1163	LevelEntity_TowerBuff_TowerBuff_CriticalDropElementBall
1163	LevelEntity_Monster_HpUp_Lv5
1164	LevelEntity_TowerBuff_ChargeEfficiency
1164	LevelEntity_Monster_HpUp_Lv5
1165	LevelEntity_TowerBuff_UltimateSkillAllBuff
1165	LevelEntity_Monster_HpUp_Lv5
1166	LevelEntity_TowerBuff_AtkDefUpLowHP
1166	LevelEntity_Monster_HpUp_Lv5
1167	LevelEntity_TowerBuff_ChargeEfficiency
1200	LevelEntity_ElementAddHurt_Fire
1200	Level_Explode_Test
1201	LevelEntity_ElementAddHurt_Ice
1201	Level_Freeze_Test
1202	Level_Swril_Test
1202	LevelEntity_ElementAddHurt_Wind
1202	LevelEntity_Monster_HpUp_Lv2
1203	LevelEntity_ElementAddHurt_Electric
1203	Level_Electric_Test
1203	LevelEntity_Monster_HpUp_Lv2
1204	LevelEntity_TowerBuff_AtkDefUpHighHP
1204	LevelEntity_Monster_HpUp_Lv2
1205	LevelEntity_TowerBuff_ChargeEfficiency
1205	LevelEntity_TowerBuff_UltimateSkillAllBuff
1205	LevelEntity_Monster_HpUp_Lv2
1206	LevelEntity_TowerBuff_TowerBuff_CriticalDropElementBall
1206	LevelEntity_Avatar_CriticalHurtUp
1206	LevelEntity_Monster_HpUp_Lv3
1207	LevelEntity_TowerBuff_AtkDefUpLowHP
1207	LevelEntity_Monster_HpUp_Lv5
1208	LevelEntity_TowerBuff_AtkSpeedLowHP
1209	LevelEntity_TowerBuff_AtkSpeedHighHP
1210	LevelEntity_TowerBuff_MoveSpeedLowHP
1211	LevelEntity_TowerBuff_MoveSpeedHighHP
1212	LevelEntity_TowerBuff_CriticalUpLowHP
1213	LevelEntity_TowerBuff_CriticalUpHighHP
1214	LevelEntity_TowerBuff_AtkDefUpAfterULT
1215	LevelEntity_TowerBuff_AtkDefUpAfterULT
1215	LevelEntity_Monster_HpUp_Lv2
1216	LevelEntity_TowerBuff_MoveSpeedHighHP
1216	LevelEntity_TowerBuff_AtkSpeedLowHP
1216	LevelEntity_TowerBuff_CriticalUpLowHP
1216	LevelEntity_Monster_HpUp_Lv3
1217	LevelEntity_TowerBuff_AtkDefUpHighHP
1217	LevelEntity_TowerBuff_AtkSpeedHighHP
1217	LevelEntity_TowerBuff_MoveSpeedHighHP
1217	LevelEntity_TowerBuff_CriticalUpHighHP
1217	LevelEntity_Monster_HpUp_Lv2
1218	LevelEntity_TowerBuff_AtkDefUpLowHP
1218	LevelEntity_TowerBuff_AtkSpeedLowHP
1218	LevelEntity_TowerBuff_MoveSpeedLowHP
1218	LevelEntity_TowerBuff_CriticalUpLowHP
1218	LevelEntity_Monster_HpUp_Lv5
1219	LevelEntity_ElementAddHurt_Fire
1219	LevelEntity_ElementAddHurt_Electric
1219	Level_Explode_Test
1219	LevelEntity_Monster_HpUp_Lv3
1220	Level_Spiral_Abyss_Charge_Empty
1220	LevelEntity_TowerBuff_HealUp
1220	LevelEntity_Monster_HpUp_Lv3
1221	LevelEntity_ElementAddHurt_Electric
1221	LevelEntity_ElementAddHurt_Ice
1221	Level_Superconductor_Test
1221	LevelEntity_Monster_HpUp_Lv3
1222	Level_Spiral_Abyss_Charge_Empty
1222	LevelEntity_ElementAddHurt_Fire
1222	LevelEntity_Monster_HpUp_Lv4
1300	Level_Spiral_Abyss_Charge_Empty
1301	Level_Spiral_Abyss_Charge_Empty
1302	Level_Spiral_Abyss_Charge_Empty
1303	Level_Spiral_Abyss_Charge_Empty
1304	Level_Spiral_Abyss_Charge_Empty
1305	Level_Spiral_Abyss_Charge_Empty
1306	LevelEntity_TowerBuff_AtkDefUpHighHP
1306	LevelEntity_TowerBuff_AtkSpeedHighHP
1306	LevelEntity_TowerBuff_MoveSpeedHighHP
1306	LevelEntity_TowerBuff_CriticalUpHighHP
1306	LevelEntity_Monster_HpUp_Lv2
1307	LevelEntity_TowerBuff_AtkDefUpAfterULT
1307	LevelEntity_Monster_HpUp_Lv2
1308	LevelEntity_TowerBuff_TowerBuff_CriticalDropElementBall
1308	LevelEntity_Avatar_CriticalHurtUp
1308	LevelEntity_Monster_HpUp_Lv2
1309	LevelEntity_TowerBuff_AtkDefUpLowHP
1309	LevelEntity_TowerBuff_AtkSpeedLowHP
1309	LevelEntity_TowerBuff_MoveSpeedLowHP
1309	LevelEntity_TowerBuff_CriticalUpLowHP
1309	LevelEntity_Monster_HpUp_Lv3
1310	LevelEntity_TowerBuff_ShieldEnhanceAtk
1311	LevelEntity_TowerBuff_GainShieldDoDamage
1312	LevelEntity_TowerBuff_ShieldOnBeingHitDoDamage
1313	Level_Spiral_Abyss_Charge_Empty
1313	Level_Spiral_Abyss_Charge_Empty
1313	LevelEntity_Monster_HpUp_Lv3
1314	Level_Spiral_Abyss_Charge_Empty
1314	Level_Spiral_Abyss_Charge_Empty
1314	LevelEntity_Monster_HpUp_Lv3
1315	LevelEntity_ElementAddHurt_Rock
1315	LevelEntity_Monster_HpUp_Lv4
1316	Level_Spiral_Abyss_Charge_Empty
1316	LevelEntity_ElementAddHurt_Ice
1316	LevelEntity_Monster_HpUp_Lv3
1317	LevelEntity_TowerBuff_GainShieldDoDamage_Ice
1317	LevelEntity_TowerBuff_GainShieldReduceCD_Ice
1318	LevelEntity_TowerBuff_GainShieldAtkSpeedUp_Ice
1319	LevelEntity_TowerBuff_GainShieldCriticalUp_Ice
1320	LevelEntity_EffigyChallenge_ElementBeHurtDamageDown_Electric
1320	LevelEntity_EffigyChallenge_CriticalDown
1320	LevelEntity_EffigyChallenge_BeHurtDamageUpAfterULT
1320	LevelEntity_EffigyChallenge_AtkDownHighHP
1320	LevelEntity_EffigyChallenge_DashStamina_Increment
1320	LevelEntity_EffigyChallenge_SkillCDIncrement
1320	LevelEntity_EffigyChallenge_ShieldCostMinus
1320	LevelEntity_EffigyChallenge_AtkSpeed
1321	LevelEntity_EffigyChallenge_ElementBeHurtDamageDown_Fire
1321	LevelEntity_EffigyChallenge_CriticalHurtDown
1321	LevelEntity_EffigyChallenge_AtkDownLowHP
1321	LevelEntity_EffigyChallenge_AttackUp
1321	LevelEntity_EffigyChallenge_MoveSpeed
1322	LevelEntity_EffigyChallenge_ElementBeHurtDamageDown_Ice
1322	LevelEntity_EffigyChallenge_AtkDefUpHighHP
1322	LevelEntity_EffigyChallenge_ShieldCostMinusDown
1323	LevelEntity_EffigyChallenge_PhysicalDown
1323	LevelEntity_EffigyChallenge_AtkDefUpLowHP
1323	LevelEntity_EffigyChallenge_MoveSpeedDown
1323	LevelEntity_EffigyChallenge_SprintBeHurtDamageUp
1324	LevelEntity_EffigyChallenge_ElementBeHurtDamageDown_Electric
1325	LevelEntity_EffigyChallenge_CriticalDown
1326	LevelEntity_EffigyChallenge_BeHurtDamageUpAfterULT
1327	LevelEntity_EffigyChallenge_AtkDownHighHP
1328	LevelEntity_EffigyChallenge_DashStamina_Increment
1329	LevelEntity_EffigyChallenge_SkillCDIncrement
1330	LevelEntity_EffigyChallenge_ShieldCostMinus_Ver2
1331	LevelEntity_EffigyChallenge_AtkSpeed
1332	LevelEntity_EffigyChallenge_ElementBeHurtDamageDown_Fire
1333	LevelEntity_EffigyChallenge_CriticalHurtDown
1334	LevelEntity_EffigyChallenge_AtkDownLowHP
1335	LevelEntity_EffigyChallenge_AttackUp
1336	LevelEntity_EffigyChallenge_MoveSpeed
1337	LevelEntity_EffigyChallenge_ElementBeHurtDamageDown_Ice
1338	LevelEntity_EffigyChallenge_AtkDefUpHighHP
1339	LevelEntity_EffigyChallenge_ShieldCostMinusDown
1340	LevelEntity_EffigyChallenge_PhysicalDown
1341	LevelEntity_EffigyChallenge_AtkDefUpLowHP
1342	LevelEntity_EffigyChallenge_MoveSpeedDown
1343	LevelEntity_EffigyChallenge_SprintBeHurtDamageUp
1344	Level_Spiral_Abyss_Charge_Empty
1344	Level_Spiral_Abyss_Charge_Empty
1344	Level_Spiral_Abyss_Charge_Empty
1345	LevelEntity_Heal_Down_Ver2
1346	LevelEntity_Avatar_ChargeEfficiencyDown
1347	LevelEntity_EffigyChallenge_BeHurtDamageUpAfterChangeAvatar
1348	LevelEntity_EffigyChallenge_NoShieldAtkDown
1349	LevelEntity_TowerBuff_ChargeEfficiency_Ver2
1350	LevelEntity_TowerBuff_CriticalUpLowHP_Ver2
1351	LevelEntity_TowerBuff_CriticalUpHighHP_Ver2
1352	LevelEntity_Monster_HpUp_Lv2
1353	LevelEntity_EffigyChallenge_SpecialAvatarDamageUp_01
1354	LevelEntity_EffigyChallenge_SpecialAvatarDamageUp_02
1355	LevelEntity_EffigyChallenge_SpecialAvatarDamageUp_03
1356	LevelEntity_EffigyChallenge_SpecialAvatarDamageUp_04
1357	LevelEntity_TowerBuff_AtkAtkSpeedUpLowHP_Ver_1_13
1357	LevelEntity_TowerBuff_CriticalUpLowHP_Ver_1_13
1358	LevelEntity_TowerBuff_AreaAttackLowHP_Ver_1_13
1359	LevelEntity_TowerBuff_AttackUpAreaDamageLowHP_Ver_1_13
1360	LevelEntity_EffigyChallenge_MonsterHp_025
1361	LevelEntity_EffigyChallenge_MonsterHp_050
1362	LevelEntity_EffigyChallenge_MonsterHp_100
1363	Level_Spiral_Abyss_Charge_Empty
1363	LevelEntity_Monster_HpUp_Lv4
1364	LevelEntity_EffigyChallenge_AtkSpeed
1364	LevelEntity_TowerBuff_AttackUpAreaAttack
1364	LevelEntity_TowerBuff_ExtraAreaAttack
1365	LevelEntity_Activity_TowerDefence_AvatarDebuff
1363	Level_Spiral_Abyss_Charge_Empty
1366	LevelEntity_TowerBuff_AreaNoEnemyAttackUp_Ver_1_14
1367	LevelEntity_TowerBuff_EnemyDefDownOnFallingAttack_Ver_1_14
1368	LevelEntity_TowerBuff_DropElementBallOnFallingAttack_Ver_1_14
1369	Level_MaoCheng_Test
1369	Level_Spiral_Abyss_Charge_Empty
1369	Level_Spiral_Abyss_Charge_Empty
1369	Level_Spiral_Abyss_Charge_Empty
1370	Level_Electric_Test
1370	LevelEntity_TowerBuff_ElementReactionAttack_Shock
1370	LevelEntity_TowerBuff_GainShieldDoDamage
1370	LevelEntity_TowerBuff_ShieldOnBeingHitDoDamage
