定制ID	对应圣遗物ID	定制等级	定制突破等级	定制主属性类别	定制追加属性ID
1052	80524	19		12001	501063;501023;501203;501223;501063;501023;501203;501223
1053	80534	19		13007	501053;501023;501243;501233;501053;501023;501243;501233
1054	80544	19		14001	501053;501093;501203;501233;501053;501093;501203;501233
1055	80554	19		10004	501053;501023;501233;501223;501053;501023;501233;501223
1061	92514	19		15015	501063;501023;501203;501223;501063;501023;501203;501223
1062	92524	19		12001	501063;501023;501203;501223;501063;501023;501203;501223
1063	92534	19		13007	501053;501023;501243;501233;501053;501023;501243;501233
1064	92544	19		14001	501053;501093;501203;501233;501053;501093;501203;501233
1065	92554	19		10004	501053;501023;501233;501223;501053;501023;501233;501223
1071	90514	19		15011	501063;501023;501203;501223;501063;501023;501203;501223
1072	90524	19		12001	501063;501023;501203;501223;501063;501023;501203;501223
1073	90534	19		13008	501053;501023;501243;501233;501053;501023;501243;501233
1074	90544	19		14001	501053;501093;501203;501233;501053;501093;501203;501233
1075	90554	19		10004	501053;501023;501233;501223;501053;501023;501233;501223
1081	79514	19		15009	501063;501023;501203;501223;501063;501023;501203;501223
1082	79524	19		12001	501063;501023;501203;501223;501063;501023;501203;501223
1083	79534	19		13007	501053;501023;501243;501233;501053;501023;501243;501233
1084	79544	19		14001	501053;501093;501203;501233;501053;501093;501203;501233
1085	79554	19		10004	501053;501023;501233;501223;501053;501023;501233;501223
1091	88514	19		15013	501063;501023;501203;501223;501063;501023;501203;501223
1092	88524	19		12001	501063;501023;501203;501223;501063;501023;501203;501223
1093	88534	19		13007	501053;501023;501243;501233;501053;501023;501243;501233
1094	88544	19		14001	501053;501093;501203;501233;501053;501093;501203;501233
1095	88554	19		10006	501053;501023;501233;501223;501053;501023;501233;501223
1101	81514	19		15011	501063;501023;501203;501223;501063;501023;501203;501223
1102	81524	19		12001	501063;501023;501203;501223;501063;501023;501203;501223
1103	81534	19		13007	501053;501023;501243;501233;501053;501023;501243;501233
1104	81544	19		14001	501053;501093;501203;501233;501053;501093;501203;501233
1105	81554	19		10007	501053;501023;501063;501223;501053;501023;501063;501223
1111	75514	19		15015	501063;501023;501203;501223;501063;501023;501203;501223
1112	75524	19		12001	501063;501023;501203;501223;501063;501023;501203;501223
1113	75534	19		13007	501053;501023;501243;501233;501053;501023;501243;501233
1114	75544	19		14001	501053;501093;501203;501233;501053;501093;501203;501233
1115	75554	19		10004	501053;501023;501233;501223;501053;501023;501233;501223
1121	71514	19		15010	501063;501023;501203;501223;501063;501023;501203;501223
1122	71524	19		12001	501063;501023;501203;501223;501063;501023;501203;501223
1123	71534	19		13007	501053;501023;501243;501233;501053;501023;501243;501233
1124	71544	19		14001	501053;501093;501203;501233;501053;501093;501203;501233
1125	71554	19		10004	501053;501023;501233;501223;501053;501023;501233;501223
1131	72514	19		15004	501063;501023;501203;501223;501063;501023;501203;501223
1132	72524	19		12001	501063;501023;501203;501223;501063;501023;501203;501223
1133	72534	19		13007	501053;501023;501243;501233;501053;501023;501243;501233
1134	72544	19		14001	501053;501093;501203;501233;501053;501093;501203;501233
1135	72554	19		10004	501053;501023;501233;501223;501053;501023;501233;501223
1141	76514	19		15007	501063;501023;501203;501223;501063;501023;501203;501223
1142	76524	19		12001	501063;501023;501203;501223;501063;501023;501203;501223
1143	76534	19		13010	501053;501023;501033;501233;501053;501023;501033;501233
1144	76544	19		14001	501053;501093;501203;501233;501053;501093;501203;501233
1145	76554	19		10007	501053;501023;501063;501223;501053;501023;501063;501223
1151	74514	19		15006	501063;501023;501203;501223;501063;501023;501203;501223
1152	74524	19		12001	501063;501023;501203;501223;501063;501023;501203;501223
1153	74534	19		13006	501053;501023;501243;501233;501053;501023;501243;501233
1154	74544	19		14001	501053;501093;501203;501233;501053;501093;501203;501233
1155	74554	19		10007	501053;501023;501093;501223;501053;501023;501093;501223
1161	81514	19		15006	501063;501023;501203;501223;501063;501023;501203;501223
1162	81524	19		12001	501063;501023;501203;501223;501063;501023;501203;501223
1163	81534	19		13006	501053;501023;501243;501233;501053;501023;501243;501233
1164	81544	19		14001	501053;501093;501203;501233;501053;501093;501203;501233
1165	81554	19		10006	501053;501023;501233;501223;501053;501023;501233;501223
1171	74514	19		15002	501063;501023;501203;501223;501063;501023;501203;501223
1172	74524	19		12001	501063;501023;501203;501223;501063;501023;501203;501223
1173	74534	19		13002	501053;501023;501243;501233;501053;501023;501243;501233
1174	74544	19		14001	501053;501093;501203;501233;501053;501093;501203;501233
1175	74554	19		10007	501053;501023;501033;501223;501053;501023;501033;501223
1181	74514	19		15002	501063;501023;501203;501223;501063;501023;501203;501223
1182	74524	19		12001	501063;501023;501203;501223;501063;501023;501203;501223
1183	74534	19		13009	501053;501023;501243;501233;501053;501023;501243;501233
1184	74544	19		14001	501053;501093;501203;501233;501053;501093;501203;501233
1185	74554	19		10007	501053;501023;501093;501223;501053;501023;501093;501223
1191	81514	19		15008	501063;501023;501203;501223;501063;501023;501203;501223
1192	81524	19		12001	501063;501023;501203;501223;501063;501023;501203;501223
1193	81534	19		13007	501053;501023;501243;501233;501053;501023;501243;501233
1194	81544	19		14001	501053;501093;501203;501233;501053;501093;501203;501233
1195	81554	19		10004	501053;501023;501233;501223;501053;501023;501233;501223
