ID	默认阵营	基础生命值	基础攻击力	基础防御力	暴击率	暴击抗性	暴击伤害	火元素抗性	草元素抗性	水元素抗性	电元素抗性	风元素抗性	冰元素抗性	岩元素抗性	火元素伤害加成	草元素伤害加成	水元素伤害加成	电元素伤害加成	风元素伤害加成	冰元素伤害加成	岩元素伤害加成	[属性成长]1类型	[属性成长]1曲线	[属性成长]2类型	[属性成长]2曲线	[属性成长]3类型	[属性成长]3曲线	元素精通	物理抗性	物理伤害加成	是否使用	角色品质	充能效率	治疗效果	受治疗效果	战斗config	是否远程射击角色	初始武器	武器种类	技能库ID	体力恢复速度	候选技能库ID	角色类型	角色突破ID	角色突破奖励获取等阶	角色突破奖励	特性组ID	名称$text_name_Name	描述$text_name_Desc
10000027		820.6119	17.808	48.069	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	4	1	0	0	ConfigAvatar_Ningguang	0	14101	10	2701	25		1	27	1;3;5	900161;900163;900165	10000027	凝光	「璃月七星」中的「天权」，其名下财富之多，全大陆鲜有人能望其项背。
10000029		800.7888	24.206	47.864	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	0	0	0	2	5	1	0	0	ConfigAvatar_Klee	0	14101	10	2901	25		1	29	1;3;5	900171;900173;900175	10000029	可莉	西风骑士团禁闭室的常客，蒙德的爆破大师。人称「逃跑的太阳」。
10000030		1143.984	19.551	57.4368	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	0	0	0	2	5	1	0	0	ConfigAvatar_Zhongli	0	13101	13	3001	25		1	30	1;3;5	900181;900183;900185	10000030	钟离	被「往生堂」请来的神秘客人，知识渊博，对各种事物都颇有见地。
10000031		770.463395	20.4792	49.78575	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	4	1	0	0	ConfigAvatar_Fischl	1	15101	12	3101	25		1	31	1;3;5	900191;900193;900195	10000031	菲谢尔	自称「断罪之皇女」，与名为奥兹的漆黑夜鸦同行的神秘少女。
10000032		1039.44174	16.0272	64.66425	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	4	1	0	0	ConfigAvatar_Bennett	0	11101	1	3201	25		1	32	1;3;5	900201;900203;900205	10000032	班尼特	蒙德的冒险家少年，拥有与他的善良毫不相称的霉运。
10000033		1020.0524	23.4612	63.4198	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	0	0	0	2	5	1	0	0	ConfigAvatar_Tartaglia	1	15101	12	3301	25		1	33	1;3;5	900211;900213;900215	10000033	达达利亚	愚人众执行官第十一位，「公子」，其战绩威名远扬。
10000034		1012.08801	16.0272	66.95325	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	4	1	0	0	ConfigAvatar_Noel	0	12101	11	3401	25		1	34	1;3;5	900221;900223;900225	10000034	诺艾尔	「西风骑士团」的可靠女仆，梦想有一天能成为正式的骑士。
10000035		962.8532	22.344	71.796	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	0	0	0	2	5	1	0	0	ConfigAvatar_Qiqi	0	11101	1	3501	25		1	35	1;3;5	900231;900233;900235	10000035	七七	药庐「不卜庐」的采药姑娘兼学徒，面色苍白如纸的不死之人。话很少，也没有什么表情。
10000036		920.90891	18.6984	54.36375	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	4	1	0	0	ConfigAvatar_Chongyun	0	12101	11	3601	25		1	36	1;3;5	900241;900243;900245	10000036	重云	驱邪世家的年轻方士，为压制自身的「纯阳之体」费尽心机。
10000037		762.656	26.068	49.0606	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	0	0	0	2	5	1	0	0	ConfigAvatar_Ganyu	1	15101	12	3701	25		1	37	1;3;5	900251;900253;900255	10000037	甘雨	月海亭的秘书，体内流淌着仙兽「麒麟」的血脉。
10000038		1029.5856	19.551	68.2062	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	0	0	0	2	5	1	0	0	ConfigAvatar_Albedo	0	11101	1	3801	25		1	38	1;3;5	900261;900263;900265	10000038	阿贝多	西风骑士团首席炼金术士兼调查小队队长，被称做「白垩之子」的天才。
10000039		802.37608	17.808	50.358	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	4	1	0	0	ConfigAvatar_Diona	1	15101	12	3901	25		1	39	1;3;5	900271;900273;900275	10000039	迪奥娜	遗传了稀薄的「非人」血统的少女，「猫尾酒馆」的超人气调酒师。
10000041		810.322	22.344	50.8555	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	0	0	0	2	5	1	0	0	ConfigAvatar_Mona	0	14101	10	4101	25		1	41	1;3;5	900281;900283;900285	10000041	莫娜	神秘的少女占星术士，声称自己是「伟大的占星术士莫娜」，拥有与名号相符的不俗实力，博学而高傲。
10000042		1020.0524	25.137	62.2232	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	0	0	0	2	5	1	0	0	ConfigAvatar_Keqing	0	11101	1	4201	25		1	42	1;3;5	900291;900293;900295	10000042	刻晴	璃月七星之一，玉衡星。对「帝君一言而决的璃月」颇有微词——但实际上，神挺欣赏她这样的人。
10000043		775.02235	14.2464	58.94175	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	4	1	0	0	ConfigAvatar_Sucrose	0	14101	10	4301	25		1	43	1;3;5	900301;900303;900305	10000043	砂糖	对万物充满好奇的炼金术士，「生物炼金」学派的研究者。
10000044		939.14473	20.83536	66.95325	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	4	1	0	0	ConfigAvatar_Xinyan	0	12101	11	4401	25		1	44	1;3;5	900311;900313;900315	10000044	辛焱	璃月港唯一的摇滚乐手，以音乐和热情歌颂着对「成见」的反抗。
10000045		1030.32383	20.12304	59.514	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	4	1	0	0	ConfigAvatar_Rosaria	0	13101	13	4501	25		1	45	1;3;5	900321;900323;900325	10000045	罗莎莉亚	除了打扮哪里都不像神职人员的修女。冷淡的言行中透着锐利。总是单独行动。
10000046		1210.7164	8.2859	68.2062	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	0	0	0	2	5	1	0	0	ConfigAvatar_Hutao	0	13101	13	4601	25		1	46	1;3;5	900331;900333;900335	10000046	胡桃	「往生堂」七十七代堂主，年纪轻轻就已主掌璃月的葬仪事务。
10000047		953.32	18.62	59.83	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	0	4	1	0	0	ConfigAvatar_PlayerBoy	0	11101	1	4701	25		1	2			10000047	#$#测试角色_47	#$#测试角色
10000048		911.791	17.808	57.225	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	0	4	1	0	0	ConfigAvatar_PlayerGirl	0	11101	1	4801	25		1	2			10000048	#$#测试角色_48	#$#测试角色
10000049		911.791	17.808	57.225	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	0	4	1	0	0	ConfigAvatar_PlayerGirl	0	11101	1	4901	25		1	2			10000049	#$#测试角色_49	#$#测试角色
10000050		953.32	18.62	59.83	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	0	4	1	0	0	ConfigAvatar_PlayerBoy	0	11101	1	5001	25		1	2			10000050	#$#测试角色_50	#$#测试角色
10000051		911.791	17.808	57.225	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	0	4	1	0	0	ConfigAvatar_PlayerGirl	0	11101	1	5101	25		1	2			10000024	#$#测试角色_51	#$#测试角色
10000053		911.791	17.808	57.225	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	0	4	1	0	0	ConfigAvatar_PlayerGirl	0	11101	1	5301	25		1	2			10000053	#$#测试角色_53	#$#测试角色
11000008		99999	99999	99999	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	0	0	0	3	3	1	0	0	ConfigAvatar_Qin	0	11101	1	8011	25		1	2			10000001	队伍测试4号	
11000009		99999	99999	99999	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	0	0	0	3	3	1	0	0	Config_NudeHeroine_Type_01	0	11101	1	9011	25		1	2			10000001	场景测试	
11000010		99999	99999	99999	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	0	0	0	3	3	1	0	0	Config_NudeHeroine_Type_01	0	11101	1	10011	25		1	2			10000001	裸模1号	
11000011		99999	99999	99999	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	0	0	0	0	3	1	0	0	ConfigAvatar_Naked	0	11101	1	501	25		1	2			10000001	裸男	
11000013		99999	99999	99999	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	0	0	0	1	3	1	0	0	Config_NudeHeroine_TestSync	0	11101	1	13011	25		1	2			10000001	联机测试	
11000017		99999	99999	99999	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	0	4	1	0	0	ConfigAvatar_Kaeya	0	11101	1	1501	25		1	2			10000001	成男体型测试	
11000018		99999	99999	99999	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	0	4	1	0	0	ConfigAvatar_Qin	0	11101	1	1501	25		1	2			10000001	成女体型测试	
11000019		99999	99999	99999	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	0	4	1	0	0	ConfigAvatar_Ayaka	0	11101	1	1501	25		1	2			10000001	少女体型测试	
11000025		208.6	8.2	9.5	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	0	4	1	0	0	ConfigAvatar_Aquaria	1	15101	12	25011	25		1	2			10000001	阿葵丽雅	
11000026		99999	99999	99999	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	0	4	1	0	0	ConfigAvatar_Ayaka	0	14101	10	1501	25		1	2			10000001	瑶瑶	
11000027		166	5	8	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	0	4	1	0	0	ConfigAvatar_Kate	0	11101	1	101	25		1	2			10000001	少女体型测试-二号机	
11000028		185	6	10.4	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	0	4	1	0	0	ConfigAvatar_Prototype	0	13101	13	28011	25		1	2			10000001	白盒少女	
11000030		189.5	5.6	10.5	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	0	4	1	0	0	ConfigAvatar_Ayaka	0	12101	11	30011	25		1	2			10000001	大剑少女	
11000031		166	5	8	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	0	4	1	0	0	ConfigAvatar_Kate	0	11101	1	101	25		1	2			10000001	后武器测试A	
11000032		166	5	8	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	0	4	1	0	0	ConfigAvatar_Kate	0	11101	1	101	25		1	2			10000001	后武器测试B	
11000033		166	5	8	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	0	4	1	0	0	ConfigAvatar_Kate	0	11101	1	101	25		1	2			10000001	后武器测试C	
11000034		166	5	8	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	0	4	1	0	0	ConfigAvatar_Kate	0	11101	1	101	25		1	2			10000001	后武器测试D	
11000035		185	6	10.4	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	0	4	1	0	0	ConfigAvatar_Diluc	0	13101	13	101	25		1	2			10000001	长枪成女	
11000036		166	5	8	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	0	4	1	0	0	ConfigAvatar_Kate	0	11101	1	101	25		1	2			10000001	单手剑成女测试	
11000037		191	5	11	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	0	4	1	0	0	ConfigAvatar_RuoxinTest	1	15101	12	37011	25		1	2			10000001	Rx白盒	
11000038		166	5	8	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	0	4	1	0	0	ConfigAvatar_Kate	0	11101	1	101	25		1	2			10000001	少男体型测试	
11000039		166	5	8	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	0	4	1	0	0	ConfigAvatar_Kate	0	11101	1	101	25		1	2			10000001	成男体型测试	
11000040		441.9454	17.6352	15.9755	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	0	0	0	0	5	1	0	0	ConfigAvatar_PlayerGirl	0	11101	1	701	25		1	2			10000001	女主新普攻	
11000041		441.9454	17.6352	15.9755	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	0	4	1	0	0	ConfigAvatar_ChongyunTest	0	11101	1	501	25		1	2			10000001	男主新普攻	
11000042		441.9454	17.6352	15.9755	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	0	4	1	0	0	ConfigAvatar_ChongyunTest	0	11101	1	38001	25		1	2			10000001	重云（测试）	
11000043		99999	99999	99999	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	0	4	1	0	0	ConfigAvatar_Ayaka	0	14101	11	1501	25		1	2			10000001	测试角色	
11000044		99999	99999	99999	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	0	4	1	0	0	ConfigAvatar_Ayaka	0	14101	1	1501	25		1	2			10000001	七七（测试）	
11000045		99999	99999	99999	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	0	4	1	0	0	ConfigAvatar_Ayaka	0	14101	12	1501	25		1	2			10000001	迪奥娜(测试)	
