CondId	默认激活	通知客户端	[条件]组合	[条件]1类型	[条件]1参数	[条件]2类型	[条件]2参数	[条件]3类型	[条件]3参数	[条件]4类型	[条件]4参数	[条件]5类型	[条件]5参数	[生效执行]1类型	[生效执行]1参数	[生效执行]2类型	[生效执行]2参数	[生效执行]3类型	[生效执行]3参数	[生效执行]4类型	[生效执行]4参数	[生效执行]5类型	[生效执行]5参数	[失效执行]1类型	[失效执行]1参数	[失效执行]2类型	[失效执行]2参数	[失效执行]3类型	[失效执行]3参数	[失效执行]4类型	[失效执行]4参数	[失效执行]5类型	[失效执行]5参数
2001302	1		1	12	3	4	4111213	13	15					9	2	6	302001004	1	216	3	4113005,4112310,4112401			2	216								
2001303	1		1	12	8	4	4111309	13	15					9	3	11	2	3	4113115,4112701,4112601					12	2								
2001304	1			12	15									14		12	2	4	41111,41112,41113,41114,41120,41122,41123,41124,41126,41127,41130,41131,41135	5	302001001,302001002,302001003,302001041,302001042,302001043,302001006,302001009,302001010,302001011,302001018,302001019,302001144,302001901,302001902,302001903,302001904												
2001400	1					11	1200101							5	302001005																		
2001401	1					11	1200102							5	302001012																		
2001402	1					11	1200103							5	302001013																		
2001403	1					11	1200104							5	302001007																		
2001404	1					11	1200105							5	302001014																		
2001405	1					11	1200106							5	302001015																		
50060101	1		1	12	1	14	20	13	2					3	4112104,4114104,4114204									4	41121,41141,41142								
50060102	1		1	12	2	14	20	13	3					3	4114304,4114404,4114504									4	41143,41144,41145								
50060103	1		1	12	3	14	20	13	4					3	4114604,4114704,4114804									4	41146,41147,41148								
50060104	1		1	12	4	14	20	13	5					3	4114904,4115004,4115104									4	41149,41150,41151								
50060105	1		1	12	5	14	20	13	6					3	4115204,4115304,4115404									4	41152,41153,41154								
50060106	1		1	12	6	14	20	13	7					3	4115504,4115604,4115704									4	41155,41156,41157								
50060107	1		1	12	7	14	20	13	8					3	4115804,4115904,4116004									4	41158,41159,41160								
50070101	1		1	12	1									17	133104761									18	133104761								
50070102	1		1	12	2									17	133103577									18	133103577								
50070103	1		1	12	3									17	133001435									18	133001435								
50070104	1		1	12	4									17	133104029									18	133104029								
50070105	1		1	12	5									17	133107134									18	133107134								
50070106	1		1	12	6									17	133101214									18	133101214								
50070107	1		1	12	7									17	133004365									18	133004365								
50070108	1		1	12	1	14	20							6	305007001	3	4117001							4	41170								
3001001	1		1	12	1			13	15					3	1104001																		
3001002	1		1	12	1	4	1104505	13	15					3	4121001	19	1																
3001003	1		1	12	4	4	4121008	13	15					3	4121101																		
3001004	1		1	12	7	4	4121112	13	15					3	4121201																		
3001005	1		1	12	10	4	4121215	13	15					3	4121301																		
3001006	1		1	12	15			13	21					3	4121401									4	41214								
3001101	1		1	12	1	4	4121008							15	1																		
3001102	1		1	12	4	4	4121112							15	2																		
3001103	1		1	12	7	4	4121215							15	3																		
3001104	1		1	12	10	4	4121314							15	4																		
3001105	1		1	12	15									16		20	1	4	41210,41211,41212,41213,41215	12	3			16		20	1	4	41210,41211,41212,41213,41215	12	3		
3001201	1		1	12	4	4	4121112																										
3001202	1		1	12	7	4	4121215																										
3001203	1		1	12	10	4	4121314	15	3					11	3									12	3								
3001204	1		1	12	10	4	4121314							10	3																		
50110101	1		1	12	1	14	20	13	11					3	7065201	17	133102911							4	70652								
50110102	1		1	12	11	13	15							17	133102911									18	133102911								
50140101	1		1	12	1	14	20	13	16					1	223									2	223								
50140102	1		1	12	16									2	223																		
50160101	1			4	4140101									25																			
50160102	1			12	8									26										2	238								
50160103	1			14	20	13	8							3	4140101	1	238							4	41401								
50160104	1			14	20									17	133107143									2	238								
2002101	1	1	1	12	1	4	1110311	13	19					6	302002901,302002902	3	4131101,4135714							5	302002901,302002902	4	41311,40000,41357						
2002102	1		1	12	5	4	1110311	13	19							3	4131201									4	41312						
2002103	1		1	12	9	4	1110311	13	19							3	4131301									4	41313						
2002104	1	1	1	4	4131115	13	19																										
2002105	1	1	1	4	4131229	13	19																										
2002106	1	1	1	4	4131312	13	19																										
2002107	1		1	4	4131115	13	19							1	259									2	259								
2002108	1		1	4	4131115	13	19							3	4000001									4	40000								
2002150	1		1	4	4133408	13	19							17	133104136									18	133104136								
2002151	1		1	4	4133409	13	19							17	133104139									18	133104139								
2002152	1		1	4	4134103	13	19							17	133102918									18	133102918								
2002153	1		1	4	7181805	13	19							17	133102920									18	133102920								
2002154	1		1	4	7182011	13	19							17	133104922									18	133104922								
2002155	1		1	4	7182010	13	19							17	133104923									18	133104923								
2002156	0													17	133107153									18	133107153								
2002157	0													17	133107163									18	133107163								
2002158	0													17	133101248,133102091,133102103,133002471									18	133101248,133102091,133102103,133002471								
2002159	0													17	133107164									18	133107164								
2002160	0													17	133103644,133104125,133104128,133104132,133104134,133103643									18	133103644,133104125,133104128,133104132,133104134,133103643								
2002161	0													17	133107165									18	133107165								
2002162	0													17	133106404,133108176,133107162									18	133106404,133108176,133107162								
2002163	1		1	12	1	4	1110311	13	19					17	133107168									18	133107168								
2002164	1	1		17	3																												
2002165	1	1		12	19									22																			
2002166	1	1	1	12	1	13	19																										
2002167	1		1	4	7182203	13	19							17	133107950									18	133107950								
2002168	0													17	133104920									18	133104920								
50170101	1		1	12	1	14	20	13	8					3	7065301									4	70653								
50170102	1		1	12	8	13	11							3	7165101									4	71651								
50170103	1			12	8									31																			
2002201	1	1	1	12	1	4	4131115	13	19					21	1																		
2002202	1	1	1	12	5	4	4131222	16	1000	13	19			21	2																		
2002203	1	1	1	12	9	4	4131312	16	2000	13	19			21	3																		
2002301	1	1	1	17	1	18	1	12	1	13	19			30	1																		
2002302	1	1	1	17	1	18	1	12	2	13	19			30	2																		
2002303	1	1	1	17	1	18	1	12	3	13	19			30	3																		
2002304	1	1	1	17	2	18	1	12	5	13	19			30	4																		
2002305	1	1	1	17	2	18	1	12	7	13	19			30	5																		
2002306	1	1	1	17	3	18	1	12	9	13	19			30	6																		
2002400	1	1	1	12	1	4	4131115	13	19					3	7181910									4	71819								
2002401	1	1	1	12	5	4	4133508,4134209,4135710,4133813,4133216,4133309,4134307,4133609,4134107,4131222	16	1000	13	19			3	7182023									4	71820								
2002402	1	1	1	12	9	4	4135807,7182110,4133710,4134013,7181719,4133422,7181608,7182206,7182413,4131312	16	2000	13	19			3	7181519									4	71815,71825,71826,71827,71828								
2002500	1	1	1	12	1	4	7181909	13	19					3	4133509,4134208,4135715									4	41335,41342,41357								
2002501	1	1	1	12	1	4	7181909	13	19					3	4133814,4133217									4	41338,41332								
2002502	1	1	1	12	1	4	7181909	13	19					3	4133318,4134308									4	41333,41343								
2002503	1	1	1	12	1	4	7181909	13	19					3	4133610,4134108									4	41336,41341								
2002504	1	1	1	12	5	4	7182021	13	19					3	7182112,7182415,4135813									4	71824,71821,41358								
2002505	1	1	1	12	5	4	7182021	13	19					3	4133711,4134014									4	41337,41340								
2002506	1	1	1	12	5	4	7182021	13	19					3	7181720,4133426									4	41334,71817								
2002507	1	1	1	12	5	4	7182021	13	19					3	7181609,7182208									4	71816,71822								
2002508	1	1	1	12	9	4	7181517	13	19					3	4133126,7182311,7181811,7103313,4135913									4	41331,71823,71818,71033,41359,71034								
2002601	1	1	1	12	1	4	4000001	13	19					28	1									29	1								
2003000	1	1		12	1	13	18	4	39604					6	302003001	17	133003791	38	1008	1	268	19	2	5	302003001	4	70654	39	1008	2	268	20	2
2003001	1	1		12	1	4	39604	13	18					3	4141001											4	41410	18	133003791				
2003002	1	1		12	4	4	4141016	13	18					3	4141115											4	41411						
2003003	1	1		12	7	4	4141113	13	18					3	4141201											4	41412						
2003004	1	1		12	10	4	4141216	13	18					3	4141301									27	133004927,1	4	41413						
2003005	1	1		4	4141016	13	18							17	133004929									18	133004929								
2003101	1	1		12	1	4	4141016	13	18					3	7000301,7000701											4	70003,70007						
2003102	1	1		12	4	4	4141016	13	18					3	7080001,7000801											4	70800,70008						
2003103	1	1		12	7	4	4141016	13	18					3	7000110,7001001											4	70001,70010						
2003104	1	1		12	10	4	4141016	13	18					3	7000901,7000010											4	70009,70000						
2003105	1	1		12	1	4	4141016	13	18					3	7065701											4	70657						
2003106	1	1		12	1	4	4141016	13	18					3	7065401											4	70654						
2003107	1	1		12	1	4	4141016	13	18					3	7065801											4	70658						
2003108	1	1		12	1	4	4141016	13	18					3	7065601											4	70656						
2003201	1	1		12	1	4	7065701	13	18					17	133003795	32	1001							18	133003795								
2003202	1	1		12	4	4	7065701	13	18					17	133003796	32	1002							18	133003796								
2003203	1	1		12	7	4	7065701	13	18					17	133002493	32	1003							18	133002493								
2003204	1	1		12	10	4	7065701	13	18					17	133004475	32	1004							18	133004475								
2003205	1	1		12	1	4	7065401	13	18					17	133001601	32	2001							18	133001601								
2003206	1	1		12	4	4	7065401	13	18					17	133001602	32	2002							18	133001602								
2003207	1	1		12	7	4	7065401	13	18					17	133004477	32	2003							18	133004477								
2003208	1	1		12	10	4	7065401	13	18					17	133004476	32	2004							18	133004476								
2003209	1	1		12	1	4	7065801	13	18							32	3001																
2003210	1	1		12	4	4	7065801	13	18							32	3002																
2003211	1	1		12	7	4	7065801	13	18							32	3003																
2003212	1	1		12	10	4	7065801	13	18							32	3004																
2003301	1	1		12	1	4	7065601	13	18							34	1																
2003302	1	1		12	4	4	7065601	13	18							34	2																
2003303	1	1		12	7	4	7065601	13	18							34	3																
2003304	1	1		12	10	4	7065601	13	18							34	4																
2003401	1	1		12	1	4	7065601	13	18					37		1	265							2	265								
2003402	1	1		12	18									33		20	2	2	265					18	133001601,133001602,133004477,133004476,133003795,133003796,133002493,133004475,133003791	39	1008	33		20	2		
6003001	1			12	1									17	133004925									18	133004925								
5019001	1		1	12	1	4	7065503							17	133001575,133001576	1	267							18	133001575,133001576	2	267						
5019002	1		1	12	2	4	7065503							17	133001577									18	133001577								
5019003	1		1	12	3	4	7065503							17	133001582,133001583,133001584									18	133001582,133001583,133001584								
5019004	1		1	12	4	4	7065503							17	133001578									18	133001578								
5019005	1		1	12	5	4	7065503							17	133001579									18	133001579								
5019006	1		1	12	6	4	7065503							17	133001581									18	133001581								
5019007	1		1	12	7	4	7065503							17	133001580									18	133001580								
5019008	1		1	12	1	14	20							3	7065501									4	70655								
5019009	1		1	12	11																												
5020001	1		1	12	1									10	4	3	4142101							4	41421	12	4	36	1001				
5020002	1		1	12	1	4	4142108							35	1001																		
5020003	1		1	12	1	19	1001,10010101							3	4142111																		
5020004	1		1	12	2																												
5020005	1		1	12	3																												
5020006	1		1	12	4																												
5020007	1		1	12	5																												
5020008	1		1	12	5	20	1001	4	4142110					3	4142205									4	41422								
5020009	1		1	12	5	21								3	4142206									4	41422								
5020010	1		1	12	1	4	4142110	15	4					11	4																		
