台词ID	下一句台词ID	显示类型	[对话角色]类型	[对话角色]ID	情绪模组ID	动作ID	眼睛表情路径	是否眨眼
20000434	20000435	1	2					
20000435	20000436		1	1032				
20000436	20000437		1	1032				
20000437	20000438		1	1031				
20000438	20000439		1	1031				
20000439	20000440,20000441		1	1031				
20000440	20000442	1	2					
20000441	20000442	1	2					
20000442	20000443		1	1005				
20000443	20000444		1	1032				
20000444	20000445		1	1031				
20000445	20000446		1	1031				
20000446	20000447	1	2					
20000447	20000448		1	1005				
20000448	20000449		1	1031				
20000449	20000450,20000451		1	1005				
20000450	20000452	1	2					
20000451	20000452	1	2					
20000452	20000453		1	1031				
20000453			1	1032				
20000501	20000502		1	1005				
20000502	20000503,20000504		1	10409				
20000503	20000505	1	2					
20000504	20000505	1	2					
20000505	20000506		1	10409				
20000506	20000507		1	10409				
20000507	20000508		1	10409				
20000508	20000509		1	1005				
20000509	20000510,20000511		1	10409				
20000510	20000512	1	2					
20000511	20000512	1	2					
20000512	20000513		1	1005				
20000513	20000514		1	10409				
20000514	20000515		1	10409				
20000515	20000516		1	10409				
20000516	20000517		1	10409				
20000517	20000518,20000519		1	10409				
20000518	20000520	1	2					
20000519	20000520	1	2					
20000520	20000521		1	10409				
20000521	20000522		1	10409				
20000522	20000523		1	1005				
20000523	20000524	1	2					
20000524	20000525		1	1005				
20000525			1	10409				
20000601	20000602		1	1005				
20000602	20000603		1	10410				
20000603	20000604		1	10410				
20000604	20000605		1	10411				
20000605	20000606		1	1005				
20000606	20000607,20000608		1	10410				
20000607	20000609	1	2					
20000608	20000609	1	2					
20000609	20000610		1	10410				
20000610	20000611		1	10410				
20000611	20000612		1	10410				
20000612	20000613		1	1005				
20000613	20000614		1	10410				
20000614	20000615		1	10410				
20000615	20000616		1	10411				
20000616	20000617	1	2					
20000617	20000618		1	10410				
20000618	20000619		1	10411				
20000619	20000620		1	1005				
20000620	20000621		1	10411				
20000621	20000622		1	10410				
20000622	20000623		1	10410				
20000623	20000624,20000625		1	10411				
20000624	20000626	1	2					
20000625	20000626	1	2					
20000626	20000627		1	10410				
20000627	20000628		1	10411				
20000628	20000629,20000630		1	10411				
20000629	20000631	1	2					
20000630	20000631	1	2					
20000631			1	10410				
20000701	20000702		1	10415				
20000702	20000703		1	10415				
20000703	20000704		1	1005				
20000704	20000705		1	10415				
20000705	20000706,20000707		1	10415				
20000706	20000708	1	2					
20000707	20000708	1	2					
20000708	20000709		1	10415				
20000709	20000710		1	10415				
20000710	20000711		1	10415				
20000711	20000712		1	10415				
20000712	20000713		1	10415				
20000713	20000714,20000715		1	1005				
20000714	20000716	1	2					
20000715	20000716	1	2					
20000716	20000717		1	10415				
20000717	20000718		1	10415				
20000718	20000719,20000721		1	10415				
20000719	20000720	1	2					
20000720	20000723		1	10415				
20000721	20000722	1	2					
20000722	20000723		1	10415				
20000723			1	10415				
20001001	20001002		1	10412				
20001002	20001003		1	10412				
20001003	20001004	1	2					
20001004	20001005		1	10412				
20001005	20001006		1	10419				
20001006	20001007		1	10420				
20001007	20001008		1	10421				
20001008	20001009		1	10412				
20001009	20001010	1	2					
20001010	20001011		1	10419				
20001011	20001012		1	10420				
20001012	20001013		1	10421				
20001013	20001014		1	10412				
20001014	20001015	1	2					
20001015	20001016		1	10412				
20001016	20001017		1	1005				
20001017	20001018		1	10412				
20001018	20001019		1	10412				
20001019	20001020,20001022,20001024		1	10412				
20001020	20001021	1	2					
20001021	20001026		1	1005				
20001022	20001023	1	2					
20001023	20001026		1	1005				
20001024	20001025	1	2					
20001025	20001026		1	1005				
20001026	20001027		1	10419				
20001027	20001028		1	10420				
20001028	20001029		1	10421				
20001029	20001030		1	10412				
20001030	20001031		1	10412				
20001031	20001032		1	10412				
20001032	20001033		1	1005				
20001033	20001034		1	10419				
20001034	20001035		1	10420				
20001035	20001036		1	10421				
20001036	20001037,20001039		1	10412				
20001037	20001038	1	2					
20001038	20001041		1	10412				
20001039	20001040	1	2					
20001040	20001041		1	10412				
20001041	20010101		1	10412				
20002001	20002002		1	207701				
20002002			1	207701				
20002101	20002102		1	1031				
20002102			1	1031				
20002201	20002202		1	1032				
20002202			1	1032				
20002301	20002302		1	10409				
20002302			1	10409				
20002401	20002402		1	10410				
20002402			1	10411				
20009901	20009902		1	1005				
20009902			1	1005				
20009903	20009904		1	1005				
20009904	20009905		1	1005				
20009905			1	1005				
20010101	20010102		1	1005				
20010102	20010103		1	1005				
20010103			1	1005				
20010104	20010105		1	1005				
20010105	20010106	1	2					
20010106			1	1005				
20010107	20010108,20010110		1	10412				
20010108	20010109	1	2					
20010109			1	10412				
20010110	20010111	1	2					
20010111			1	10412				
20010201	20010202		1	1031				
20010202	20010203		1	1031				
20010203	20010204		1	1032				
20010204	20010205		1	1031				
20010205	20010206		1	1031				
20010206	20010207		1	1032				
20010207	20010208		1	1032				
20010208	20010209		1	1031				
20010209	20010210		1	1031				
20010210	20010211,20010212		1	1031				
20010211	20010213	1	2					
20010212	20010213	1	2					
20010213	20010214		1	1031				
20010214	20010215		1	1031				
20010215	20010216		1	1031				
20010216	20010217		1	1005				
20010217	20010218		1	1032				
20010218	20010219		1	1032				
20010219	20010220		1	1005				
20010220	20010221		1	1031				
20010221	20010222		1	1031				
20010222	20010223		1	1032				
20010223	20010224		1	1032				
20010224	20010225,20010226		1	1032				
20010225	20010227	1	2					
20010226	20010227	1	2					
20010227	20010228		1	1032				
20010228			1	1031				
20010301	20010302		1	1031				
20010302	20010303		1	1031				
20010303	20010304		1	1032				
20010304	20010305		1	1031				
20010305	20010306		1	1031				
20010306	20010307		1	1032				
20010307	20010308		1	1032				
20010308	20010309		1	1031				
20010309	20010310		1	1031				
20010310	20010311,20010312		1	1031				
20010311	20010313	1	2					
20010312	20010313	1	2					
20010313	20010314		1	1031				
20010314	20010315		1	1031				
20010315	20010316		1	1031				
20010316	20010317		1	1005				
20010317	20010318		1	1032				
20010318	20010319		1	1032				
20010319	20010320		1	1005				
20010320	20010321		1	1031				
20010321	20010322		1	1031				
20010322	20010323		1	1032				
20010323	20010324		1	1032				
20010324	20010325,20010326		1	1032				
20010325	20010327	1	2					
20010326	20010327	1	2					
20010327	20010328		1	1032				
20010328			1	1031				
20010401	20010402		1	10412				
20010402	20010403		1	10412				
20010403	20010404,20010406		1	1005				
20010404	20010405	1	2					
20010405			1	10412				
20010406	20010407	1	2					
20010407			1	10412				
20010601	20010602		1	10413				
20010602	20010603,20010604		1	10413				
20010603	20010605	1	2					
20010604	20010605	1	2					
20010605	20010606		1	1005				
20010606	20010607		1	1005				
20010607	20010608		1	10413				
20010608	20010609		1	10413				
20010609	20010610		1	10413				
20010610	20010611		1	10413				
20010611	20010612		1	1005				
20010612	20010613		1	10413				
20010613	20010614		1	10413				
20010614	20010615		1	1005				
20010615	20010616		1	10413				
20010616	20010617	1	2					
20010617	20010618		1	1005				
20010618	20010619		1	10413				
20010619			1	10413				
20010701	20010702		1	10409				
20010702	20010703		1	10409				
20010703	20010704		1	1005				
20010704	20010705		1	10409				
20010705	20010706		1	10409				
20010706	20010707		1	10409				
20010707			1	10409				
20010801	20010802		1	1005				
20010802	20010803		1	10411				
20010803	20010804		1	10411				
20010804	20010805		1	10411				
20010805	20010806	1	2					
20010806	20010807		1	10411				
20010807	20010808		1	10411				
20010808	20010809		1	10411				
20010809	20010810		1	1005				
20010810			1	10411				
20010901	20010902		1	1032				
20010902	20010903		1	1032				
20010903	20010904,20010905		1	1032				
20010904	20010906	1	2					
20010905	20010906	1	2					
20010906	20010907		1	1032				
20010907	20010908		1	1031				
20010908	20010909,20010910		1	1031				
20010909	20010911	1	2					
20010910	20010911	1	2					
20010911	20010912		1	1005				
20010912	20010913		1	1031				
20010913	20010914		1	1031				
20010914	20010915,20010916		1	1031				
20010915	20010917	1	2					
20010916	20010917	1	2					
20010917	20010918		1	1032				
20010918	20010919		1	1032				
20010919	20010920		1	1005				
20010920	20010921		1	1032				
20010921	20010922		1	1032				
20010922	20010923		1	1032				
20010923	20010924		1	1031				
20010924	20010925		1	1032				
20010925	20010926		1	1032				
20010926	20010927		1	1005				
20010927	20010928		1	1005				
20010928	20010929		1	1032				
20010929	20010930		1	1032				
20010930			1	1032				
20011101	20011102		1	1032				
20011102	20011103,20011104		1	1032				
20011103	20011105	1	2					
20011104	20011105	1	2					
20011105	20011106		1	1005				
20011106	20011107		1	1032				
20011107	20011108		1	1032				
20011108	20011109	1	2					
20011109	20011110		1	1032				
20011110	20011111		1	1032				
20011111	20011112		1	1032				
20011112	20011113		1	1005				
20011113	20011114		1	1032				
20011114	20011115		1	1032				
20011115	20011116		1	1032				
20011116	20011117		1	1005				
20011117	20011118,20011119		1	1032				
20011118	20011120	1	2					
20011119	20011120	1	2					
20011120	20011121		1	1032				
20011121	20011122,20011123		1	1032				
20011122	20011124	1	2					
20011123	20011124	1	2					
20011124	20011125		1	1005				
20011125	20011126		1	1005				
20011126	20011127		1	1005				
20011127	20011128		1	1032				
20011128	20011129		1	1032				
20011129	20011130,20011131		1	1032				
20011130	20011132	1	2					
20011131	20011132	1	2					
20011132			1	1032				
20011301	20011302		1	1032				
20011302	20011303		1	1032				
20011303	20011304		1	1032				
20011304	20011305		1	1032				
20011305	20011306	1	2					
20011306	20011307		1	1032				
20011307	20011308		1	1032				
20011308	20011309		1	1005				
20011309	20011310		1	1032				
20011310	20011311		1	1032				
20011311	20011312		1	1032				
20011312	20011313		1	1032				
20011313	20011314	1	2					
20011314	20011315		1	1032				
20011315	20011316		1	1032				
20011316	20011317		1	1032				
20011317	20011318		1	1032				
20011318	20011319		1	1032				
20011319	20011320		1	1005				
20011320	20011321		1	1032				
20011321	20011322		1	1032				
20011322	20011323		1	1032				
20011323	20011324		1	1005				
20011324	20011325,20011326		1	1032				
20011325	20011327	1	2					
20011326	20011327	1	2					
20011327	20011328		1	1032				
20011328	20011329		1	1032				
20011329	20011330		1	1032				
20011330	20011331		1	1032				
20011331	20011332		1	1005				
20011332	20011333,20011335		1	1032				
20011333	20011334	1	2					
20011334			1	1032				
20011335	20011336	1	2					
20011336			1	1032				
20012001			1	10409				
20012101			1	10411				
20012201	20012202		1	1031				
20012202			1	1031				
20012301	20012302		1	1032				
20012302			1	1032				
20019901	20019902		1	1031				
20019902	20019903		1	10415				
20019903			1	10415				
20019904	20019905		1	1005				
20019905			1	1005				
20019906	20019907		1	1031				
20019907	20019908		1	1031				
20019908	20019909		1	1031				
20019909	20019910		1	10413				
20019910			1	10413				
20019911	20019912		1	1005				
20019912			1	1005				
20019913	20019914		1	1005				
20019914			1	1005				
20020101			1	10412				
20020201	20020202		1	1031				
20020202	20020203		1	1031				
20020203	20020204		1	1031				
20020204	20020205		1	1031				
20020205	20020206		1	1031				
20020206	20020207		1	1031				
20020207	20020208		1	1031				
20020208	20020209		1	10419				
20020209	20020210		1	10420				
20020210	20020211		1	1031				
20020211	20020212		1	1031				
20020212	20020213		1	1031				
20020213	20020214		1	1031				
20020214	20020215,20020216		1	1031				
20020215	20020217	1	2					
20020216	20020217	1	2					
20020217	20020218		1	1031				
20020218	20020219		1	1032				
20020219	20020220		1	1032				
20020220			1	1032				
20020401	20020402		1	1031				
20020402	20020403		1	1031				
20020403	20020404		1	1005				
20020404	20020405		1	1031				
20020405	20020406		1	1031				
20020406	20020407		1	1032				
20020407	20020408		1	1032				
20020408	20020409		1	1032				
20020409	20020410		1	1031				
20020410	20020411		1	1031				
20020411	20020412,20020413		1	1032				
20020412	20020414	1	2					
20020413	20020414	1	2					
20020414	20020415		1	1005				
20020415			1	1032				
20020901	20020902		1	10414				
20020902	20020903		1	10414				
20020903	20020904		1	1032				
20020904	20020905		1	10414				
20020905	20020906		1	10414				
20020906	20020907		1	1032				
20020907	20020908		1	1032				
20020908	20020909		1	1032				
20020909	20020910		1	10414				
20020910	20020911		1	1032				
20020911	20020912		1	1032				
20020912	20020913		1	10414				
20020913	20020914		1	10414				
20020914	20020915		1	1005				
20020915	20020916		1	10414				
20020916	20020917		1	10414				
20020917	20020918		1	10414				
20020918	20020919,20020921,20020927		1	10414				
20020919	20020920	1	2					
20020920	20020923		1	10414				
20020921	20020922	1	2					
20020922	20020925		1	10414				
20020923	20020924	1	2					
20020924	20020928		1	10414				
20020925	20020926	1	2					
20020926	20020928		1	10414				
20020927	20020928	1	2					
20020928	20020929		1	10414				
20020929	20020930		1	1032				
20020930	20020931		1	10414				
20020931	20020932		1	1032				
20020932	20020933		1	1032				
20020933	20020934		1	1005				
20020934	20020935		1	10414				
20020935			1	10414				
20021101	20021102		1	10414				
20021102	20021103		1	10414				
20021103	20021104		1	1032				
20021104	20021105		1	1032				
20021105	20021106		1	10414				
20021106	20021107		1	1032				
20021107	20021108		1	1032				
20021108	20021110		1	10414				
20021110	20021111		1	1005				
20021111	20021112		1	1032				
20021112	20021113		1	1032				
20021113	20021114		1	1032				
20021114	20021115	1	2					
20021115	20021116		1	1032				
20021116	20021117		1	1032				
20021117	20021190		1	1032				
20021118	20021120	1	2					
20021119	20021120	1	2					
20021120	20021121		1	1005				
20021121	20021122		1	1032				
20021122	20021123,20021124		1	1032				
20021123	20021125	1	2					
20021124	20021125	1	2					
20021125	20021126		1	1005				
20021126	20021127		1	1032				
20021127	20021128		1	1032				
20021128	20021129		1	1032				
20021129	20021130		1	1005				
20021130	20021131		1	1032				
20021131	20021132,20021134		1	1032				
20021132	20021133	1	2					
20021133			1	1032				
20021134	20021135	1	2					
20021135	20021136		1	1032				
20021136			1	1032				
20021190	20021191		1	1032				
20021191	20021192		1	1032				
20021192	20021118,20021119		1	1032				
20021201	20021202		1	1005				
20021202	20021203		1	10412				
20021203	20021204		1	10412				
20021204	20021205		1	10412				
20021205	20021206		1	1032				
20021206	20021207		1	10412				
20021207	20021208		1	1032				
20021208	20021209		1	1032				
20021209	20021210		1	1032				
20021210	20021211		1	10412				
20021211	20021212		1	10412				
20021212	20021213		1	1005				
20021213	20021214		1	10412				
20021214	20021215	1	2					
20021215	20021216		1	1032				
20021216	20021217		1	1032				
20021217	20021218		1	1032				
20021218	20021219		1	1005				
20021219	20021220		1	1032				
20021220	20021221		1	1032				
20021221	20021222		1	1032				
20021222	20021223		1	1005				
20021223	20021224		1	1032				
20021224			1	1032				
20022001	20022002		1	10409				
20022002			1	10409				
20022101			1	10416				
20022201	20022202		1	10417				
20022202			1	10417				
20022301			1	10418				
20022401	20022402		1	1031				
20022402			1	1031				
20022501	20022502		1	10412				
20022502			1	10412				
20022601			1	10409				
20022701	20022702		1	10416				
20022702			1	10417				
20022801			1	10418				
20022901	20022902		1	214301				
20022902			1	214301				
20023001	20023002		1	1032				
20023002			1	1032				
20029901	20029902		1	1005				
20029902	20029903		1	1032				
20029903			1	1032				
20029904	20029905		1	1005				
20029905	20029906		1	1032				
20029906	20029907		1	1005				
20029907			1	1032				
20029908	20029909		1	1032				
20029909	20029910		1	1005				
20029910	20029911		1	1032				
20029911	20029990		1	1032				
20029912	20029913		1	10422				
20029913	20029914		1	1032				
20029914			1	1032				
20029990	20029991		1	1032				
20029991			1	1032				
20030101	20030102		1	1005				
20030102	20030103		1	1005				
20030103	20030104		1	1033				
20030104	20030105		1	1005				
20030105	20030106,20030107		1	1033				
20030106	20030108	1	2					
20030107	20030108	1	2					
20030108	20030109		1	1033				
20030109	20030110,20030111		1	1005				
20030110	20030112	1	2					
20030111	20030112	1	2					
20030112	20030113		1	1033				
20030113	20030114		1	1005				
20030114	20030115		1	1033				
20030115	20030116		1	1033				
20030116	20030117		1	1033				
20030117	20030118		1	1033				
20030118	20030119		1	1005				
20030119	20030120,20030121		1	1033				
20030120	20030122	1	2					
20030121	20030122	1	2					
20030122	20030123		1	1033				
20030123	20030124		1	1033				
20030124	20030125,20030126		1	1033				
20030125	20030127	1	2					
20030126	20030127	1	2					
20030127	20030128		1	1033				
20030128	20030129		1	1033				
20030129	20030130	1	2					
20030130	20030131		1	1033				
20030131	20030132		1	1033				
20030132	20030133		1	1005				
20030133			1	1033				
20030201	20030202		1	1005				
20030202	20030203		1	1005				
20030203	20030204		1	1033				
20030204	20030205		1	1005				
20030205	20030206		1	1033				
20030206	20030207	1	2					
20030207	20030208		1	1033				
20030208	20030209		1	1033				
20030209	20030210		1	1033				
20030210	20030211		1	1033				
20030211	20030212		1	1033				
20030212	20030213		1	1033				
20030213	20030214		1	1005				
20030214	20030215		1	1033				
20030215	20030216		1	1033				
20030216	20030217		1	1033				
20030217	20030218		1	1033				
20030218	20030219		1	1005				
20030219	20030220		1	1033				
20030220	20030221		1	1033				
20030221	20030222		1	1005				
20030222	20030223		1	1033				
20030223	20030224	1	2					
20030224	20030225		1	1005				
20030225	20030226	1	2					
20030226	20030227		1	1033				
20030227	20030228		1	1033				
20030228	20030229		1	1033				
20030229	20030230		1	1033				
20030230	20030231		1	1033				
20030231	20030232		1	1033				
20030232	20030233	1	2					
20030233	20030234		1	1033				
20030234			1	1005				
20030235			1	1033				
20030401	20030402,20030403		1	1005				
20030402	20030404	1	2					
20030403	20030404	1	2					
20030404	20030405		1	1033				
20030405	20030406		1	1005				
20030406	20030407		1	1013				
20030407	20030408		1	1005				
20030408	20030409		1	1033				
20030409	20030410,20030411		1	1033				
20030410	20030412	1	2					
20030411	20030412	1	2					
20030412	20030413		1	1005				
20030413	20030414		1	1013				
20030414	20030415		1	1013				
20030415	20030416		1	1013				
20030416	20030417		1	1013				
20030417	20030418		1	1013				
20030418	20030419,20030420		1	1013				
20030419	20030421	1	2					
20030420	20030421	1	2					
20030421	20030422		1	1013				
20030422	20030423		1	1033				
20030423	20030424	1	2					
20030424	20030425		1	1013				
20030425	20030426		1	1013				
20030426	20030427	1	2					
20030427	20030428		1	1013				
20030428	20030429		1	1005				
20030429	20030430		1	1013				
20030430	20030431		1	1005				
20030431	20030432,20030433		1	1013				
20030432	20030434	1	2					
20030433	20030434	1	2					
20030434	20030435		1	1013				
20030435			1	1033				
20030501	20030502		1	1005				
20030502	20030503		1	3010				
20030503	20030504		1	1005				
20030504	20030505		1	3010				
20030505	20030506		1	1005				
20030506	20030507	1	2					
20030507	20030508		1	3010				
20030508	20030509		1	3010				
20030509			1	1005				
20030601			1	1033				
20030701			1	3010				
20040101	20040102		1	1005				
20040102	20040103		1	12040				
20040103	20040104		1	12041				
20040104	20040105		1	12041				
20040105			1	1005				
20040201	20040202		1	1005				
20040202	20040203		1	1005				
20040203	20040204		1	1005				
20040204	20040205		1	1005				
20040205	20040206		1	1005				
20040206	20040207		1	1005				
20040207	20040208		1	1005				
20040208	20040209		1	1005				
20040209			1	1005				
20040301	20040302		1	1005				
20040302	20040303		1	1005				
20040303			1	1005				
20040401	20040402		1	1005				
20040402	20040403		1	1005				
20040403	20040404		1	1005				
20040404	20040405		1	1005				
20040405	20040406		1	1005				
20040406	20040407	1	2					
20040407	20040408		1	1005				
20040408	20040409		1	1005				
20040409			1	1005				
20040501	20040502		1	3129				
20040502	20040503		1	3129				
20040503	20040504		1	3129				
20040504	20040505		1	3129				
20040505	20040506		1	3129				
20040506	20040507		1	3129				
20040507	20040508		1	3129				
20040508	20040509	1	2					
20040509	20040510		1	3129				
20040510	20040511		1	3129				
20040511	20040513		1	3129				
20040512	20040513		1	3129				
20040513	20040514	1	2					
20040514	20040516		1	3129				
20040515	20040516		1	3129				
20040516	20040517		1	3129				
20040517	20040518		1	3129				
20040518	20040519		1	3129				
20040519	20040520		1	3129				
20040520	20040522		1	3129				
20040521	20040522		1	3129				
20040522	20040523,20040524		1	1005				
20040523	20040525	1	2					
20040524	20040525	1	2					
20040525	20040526		1	1005				
20040526	20040527		1	1005				
20040527	20040528		1	1005				
20040528			1	1005				
20040601	20040602		1	12040				
20040602	20040603	1	2					
20040603	20040604		1	12040				
20040604	20040605		1	12040				
20040605	20040606		1	12040				
20040606			1	12040				
20040701	20040702		1	12041				
20040702	20040703	1	2					
20040703	20040704		1	12041				
20040704	20040705		1	12041				
20040705	20040706		1	12041				
20040706	20040707		1	12041				
20040707			1	1005				
20040801	20040802		1	1005				
20040802	20040803		1	3129				
20040803	20040804	1	2					
20040804	20040805	1	2					
20040805	20040806		1	3129				
20040806	20040807		1	3129				
20040807	20040808		1	3129				
20040808	20040809		1	3129				
20040809	20040810		1	1005				
20040810	20040811		1	1005				
20040811	20040812		1	1005				
20040812	20040813		1	12040				
20040813	20040814		1	3129				
20040814	20040815		1	12040				
20040815	20040816		1	1005				
20040816			1	12040				
20040901			1	3129				
20041001			1	12040				
20041101			1	12041				
20041201			1	3129				
20041301			1	3129				
20049901			1	1005				
20049902			1	1005				
20050101	20050102		1	1005				
20050102	20050103		1	1005				
20050103	20050104		1	1005				
20050104	20050105		1	12003				
20050105	20050106		1	12000				
20050106	20050107		1	3048				
20050107	20050108		1	12003				
20050108	20050109		1	12000				
20050109	20050110	1	2					
20050110	20050111		1	12003				
20050111	20050112		1	1005				
20050112	20050113		1	1005				
20050113	20050114		1	12003				
20050114	20050115		1	12003				
20050115	20050116		1	12003				
20050116	20050117		1	12003				
20050117	20050118		1	12000				
20050118	20050119		1	12000				
20050119	20050120		1	1005				
20050120			1	1005				
20050201	20050202		1	12002				
20050202	20050203		1	12002				
20050203	20050204,20050205		1	12022				
20050204	20050206	1	2					
20050205	20050206	1	2					
20050206	20050207		1	12022				
20050207	20050208		1	12022				
20050208	20050209		1	1005				
20050209	20050210		1	12022				
20050210	20050211		1	12022				
20050211	20050212		1	12022				
20050212	20050213		1	1005				
20050213	20050214		1	12002				
20050214	20050215		1	12022				
20050215	20050216		1	12023				
20050216	20050217		1	1005				
20050217	20050218		1	1005				
20050218	20050219		1	1005				
20050219	20050220		1	1005				
20050220	20050221		1	12002				
20050221	20050222		1	12023				
20050222			1	12022				
20050301	20050302		1	3002				
20050302	20050303		1	3002				
20050303	20050304	1	2					
20050304	20050305		1	3002				
20050305	20050306		1	1005				
20050306	20050307		1	1005				
20050307	20050308		1	3002				
20050308	20050309		1	3002				
20050309	20050310		1	3002				
20050310	20050311		1	1005				
20050311	20050312		1	1005				
20050312	20050313		1	3002				
20050313	20050314		1	3002				
20050314	20050315		1	3002				
20050315	20050316		1	1005				
20050316	20050317		1	1005				
20050317	20050318		1	3002				
20050318	20050319		1	3002				
20050319	20050320		1	3002				
20050320	20050321		1	3002				
20050321	20050322		1	3002				
20050322	20050323	1	2					
20050323	20050324		1	3002				
20050324	20050325		1	3002				
20050325	20050326		1	1005				
20050326	20050327		1	3002				
20050327	20050328		1	3002				
20050328	20050329		1	3002				
20050329	20050330		1	3002				
20050330	20050331		1	3002				
20050331	20050332		1	1005				
20050332	20050333		1	3002				
20050333	20050334		1	3002				
20050334	20050335	1	2					
20050335	20050336		1	1005				
20050336			1	1005				
20050401	20050402		1	1005				
20050402	20050403		1	3048				
20050403	20050404		1	3048				
20050404	20050405		1	3048				
20050405	20050406	1	2					
20050406	20050407		1	1005				
20050407	20050408		1	3048				
20050408	20050409		1	3048				
20050409	20050410		1	3048				
20050410	20050411,20050412		1	3048				
20050411	20050413	1	2					
20050412	20050413	1	2					
20050413	20050414		1	3048				
20050414	20050415		1	3048				
20050415	20050416		1	3048				
20050416	20050417		1	3048				
20050417	20050418		1	3048				
20050418	20050419		1	3048				
20050419	20050420		1	1005				
20050420	20050421		1	1005				
20050421	20050422	1	2					
20050422	20050423		1	3048				
20050423	20050424		1	3048				
20050424	20050425		1	3048				
20050425	20050426		1	3048				
20050426	20050427		1	3048				
20050427	20050428		1	3048				
20050428	20050429		1	3048				
20050429	20050430		1	1005				
20050430	20050431		1	1005				
20050431	20050432,20050433		1	1005				
20050432	20050434	1	2					
20050433	20050434	1	2					
20050434	20050435		1	1005				
20050435	20050436		1	1005				
20050436			1	1005				
20050501	20050502		1	3048				
20050502	20050503		1	3048				
20050503	20050504		1	3048				
20050504	20050505	1	2					
20050505	20050506		1	3048				
20050506	20050507		1	1005				
20050507	20050508		1	3048				
20050508	20050509		1	3048				
20050509	20050510		1	3048				
20050510	20050511		1	1005				
20050511	20050512		1	3048				
20050512	20050513		1	3048				
20050513	20050514		1	3048				
20050514	20050515		1	1005				
20050515	20050516		1	1005				
20050516			1	1005				
20050801	20050802		1	12002				
20050802	20050803		1	12002				
20050803	20050804		1	12022				
20050804	20050805		1	12022				
20050805	20050806		1	12023				
20050806			1	1005				
20050901			1	12000				
20051001			1	12003				
20051101			1	12003				
20051109			1	3002				
20051201			1	12000				
20051301			1	3048				
20060101	20060102		1	1005				
20060102	20060103		1	1005				
20060103	20060104		1	1005				
20060104	20060105		1	12005				
20060105	20060106		1	12005				
20060106	20060107		1	3031				
20060107	20060108		1	3031				
20060108	20060109		1	12005				
20060109	20060110		1	1005				
