ID	LevelTagName	关联SceneID	增加的SceneTag	移除的SceneTag	LevelTag变动冻结环境时间
204210	2_7_CY_Rogue_1_D_10	20127			
204211	2_7_CY_Rogue_1_D_11	20127			
204212	2_7_CY_Rogue_1_D_12	20127			
204213	2_7_CY_Rogue_1_D_13	20127			
204300	2_7_CY_Rogue_1_E_00	20127			
204301	2_7_CY_Rogue_1_E_01	20127			
204302	2_7_CY_Rogue_1_E_02	20127			
204303	2_7_CY_Rogue_1_E_03	20127			
204310	2_7_CY_Rogue_1_E_10	20127			
204311	2_7_CY_Rogue_1_E_11	20127			
204312	2_7_CY_Rogue_1_E_12	20127			
204313	2_7_CY_Rogue_1_E_13	20127			
