ID	[触发条件]类型	[触发条件]参数1	[触发条件]参数2	[触发条件]参数3	[触发条件]参数4	进度	已废弃	RewardID	是否直接发奖
1505001	316	133107134	120	3000		10000		3002051	
1505002	316	133107134	120	3000		20000		3002052	
1505003	316	133107134	120	3000		30000		3002053	
1506001	316	133101214	120	3000		10000		3002061	
1506002	316	133101214	120	3000		20000		3002062	
1506003	316	133101214	120	3000		30000		3002063	
1507001	316	133004365	120	3000		10000		3002071	
1507002	316	133004365	120	3000		20000		3002072	
1507003	316	133004365	120	3000		30000		3002073	
1300111	222	200101				60		3003101	
1300112	222	200101				120		3003102	
1300113	222	200102				30		3003103	
1300114	222	200102				60		3003104	
1300115	219	11413	20			1		3003105	
1300116	219	11413	40			1		3003106	
1300121	220	11413	1			1		3003201	
1300122	212	111				600		3003202	
1300123	212	111				1800		3003203	
1300124	319	6				8		3003204	
1300125	319	6				16		3003205	
1300126	321	6	remainingHeat	3		5		3003206	
1300131	220	11413	2			1		3003301	
1300132	212	112				600		3003302	
1300133	212	112				1800		3003303	
1300134	319	7				8		3003304	
1300135	319	7				16		3003305	
1300136	320	7	1	20		5		3003306	
1300141	220	11413	4			1		3003401	
1300142	212	113				600		3003402	
1300143	319	7				5	1	3003403	
1300144	421	3				10		3003403	
1300145	421	3				15		3003404	
1300146	320	7	1	20		3	1	3003406	
1300147	433	3	3010116			1		3003405	
1300148	432	3	300			1		3003406	
1200210	602					7	1	3008101	
1200212	604	1				1		3008101	
1200213	605	2	420			1		3008102	
1200216	605	3	490			1		3008103	
1200217	605	4	560			1		3008104	
1200250	623	2	0			1		3008105	
1200253	623	3	0			1		3008106	
1200254	623	4	0			1		3008107	
1200214	606					300	1	3008105	
1200215	607					3000	1	3008106	
1200211	603	4				4		3008108	
1200218	603	5				5		3008109	
1200219	603	6				6		3008110	
1200220	602					2	1	3008101	
1200222	604	2				2	1	3008101	
1200223	605	5	630			1		3008111	
1200226	605	6	700			1		3008112	
1200255	623	5	0			1		3008113	
1200256	623	6	0			1		3008114	
1200251	624	5	12			1		3008115	
1200257	624	6	12			1		3008116	
1200224	606					300		3008117	
1200227	606					600	1	3008113	
1200225	607					3000		3008118	
1200228	607					6000	1	3008115	
1200221	603	7				6		3008119	
1200229	603	8				6		3008120	
1200230	602					3	1	3008101	
1200232	604	3				3	1	3008101	
1200233	605	7	875			1		3008121	
1200258	623	7	0			1		3008122	
1200252	625	7	8			1		3008123	
1200259	624	7	12			1		3008124	
1200234	606					300	1	3008119	
1200236	606					600		3008125	
1200237	606					900		3008126	
1200235	607					3000	1	3008122	
1200238	607					6000		3008127	
1200239	607					9000		3008128	
1200231	603	9				3	1	3008125	
1200240	603	9				6		3008129	
1200241	603	10				6		3008130	
1501901	601	0,133001576,0	3	501		1			
1501902	601	0,133001576,0	3	506		1			
1501903	601	0,133001576,0	3	507		1			
1501904	601	0,133001577,0	3	501		1			
1501905	601	0,133001577,0	3	503		1			
1501906	601	0,133001577,0	3	505		1			
1501907	601	0,133001582,0	3	501		1			
1501908	601	0,133001582,0	3	503		1			
1501909	601	0,133001582,0	3	505		1			
1501910	601	0,133001578,0	3	501		1			
1501911	601	0,133001578,0	3	503		1			
1501912	601	0,133001578,0	3	505		1			
1501913	601	0,133001579,0	3	501		1			
1501914	601	0,133001579,0	3	502		1			
1501915	601	0,133001579,0	3	503		1			
1501916	601	0,133001581,0	3	501		1			
1501917	601	0,133001581,0	3	503		1			
1501918	601	0,133001581,0	3	505		1			
1501919	601	0,133001580,0	3	501		1			
1501920	601	0,133001580,0	3	502		1			
1501921	601	0,133001580,0	3	503		1			
1200311	939	1001	1000			1		3011101	
1200312	939	1001	1800			1		3011102	
1200313	939	1001	2600			1		3011103	
1200314	939	1003	1200			1		3011104	
1200315	939	1003	2200			1		3011105	
1200316	939	1003	3200			1		3011106	
1200317	939	1004	1600			1		3011107	
1200318	939	1004	2800			1		3011108	
1200319	939	1004	4000			1		3011109	
1200320	939	1005	1000			1		3011110	
1200321	939	1005	2000			1		3011111	
1200322	939	1005	3000			1		3011112	
1200323	940	2001	1000			1		3011001	
1200324	940	2001	2000			1		3011002	
1200325	940	2001	3000			1		3011003	
1200326	940	2002	1000			1		3011004	
1200327	940	2002	2000			1		3011005	
1200328	940	2002	3000			1		3011006	
1200329	940	2003	1000			1		3011007	
1200330	940	2003	2000			1		3011008	
1200331	940	2003	3000			1		3011009	
1200332	940	2004	1000			1		3011010	
1200333	940	2004	2000			1		3011011	
1200334	940	2004	3000			1		3011012	
1200335	941	1	1000			1		3011201	
1200336	941	2	1200			1		3011202	
1200337	941	3	1800			1		3011203	
1200338	941	4	800			1		3011204	
1200339	941	5	1200			1		3011205	
1200340	941	6	1800			1		3011206	
1200341	941	7	1000			1		3011207	
1200342	941	8	1400			1		3011208	
1200343	941	9	2200			1		3011209	
1200344	941	10	1000			1		3011210	
1200345	941	11	1400			1		3011211	
1200346	941	12	2400			1		3011212	
1200351	626	1	480			1		3011301	
1200352	627	50				1		3011302	
1200353	628	watcher_fall_down_brokenfloor:6003	0	1		1		3011303	
1200354	628	watcher_hit_by_bullet:6005	0	1		1		3011304	
1200355	628	watcher_catch_flora_count:6004	10	4		1		3011305	
1200356	626	2	180			1		3011306	
1200357	627	80				1		3011307	
1200363	628	watcher_hit_by_bubble:6006	0	1		1		3011308	
1200368	628	watcher_hit_by_bubble:6007	0	1		1		3011309	
1200360	628	watcher_hit_by_bombflower:6004	0	1		1		3011310	
1200361	626	1	420			1		3011311	
1200371	629	2				1		3011312	
1200358	628	watcher_fall_down_darkfloor:6001	0	1		1		3011313	
1200364	628	watcher_memory_get_time_6008:6008	40	3		1		3011314	
1200365	628	watcher_collect_energy_6002:6002	10	4		1		3011315	
1200366	626	2	120			1		3011316	
1200372	629	3				1		3011317	
1200359	628	watcher_transparten_get_time_6001:6001	30	3		1		3011318	
1200369	628	watcher_wrong_position_memoryfloor:6008	0	1		1		3011319	
1200370	628	watcher_hit_by_floor:6002	0	1		1		3011320	
1200362	627	150				1	1	3011312	
1200367	627	200				1	1	3011317	
1502010	700	4142106				1		3010001	1
1200401	700	7165201				1			
1502201	307	7100				1		3013011	
1502202	632	7100	1	5	4	1		3013012	
1502203	631	7100	999	360		1		3013015	
1502204	632	7100	2	5	3	1		3013014	
1502205	633	7100	3			8		3013013	
1502206	307	7102				1		3013021	
1502207	632	7102	4	5	4	1		3013022	
1502208	631	7102	999	360		1		3013025	
1502209	633	7102	5			50000		3013023	
1502210	633	7102	6			10		3013024	
1502211	307	7104				1		3013031	
1502212	632	7104	7	5	4	1		3013032	
1502213	631	7104	999	360		1		3013035	
1502214	633	7104	8			6		3013034	
1502215	633	7104	9			12		3013033	
1502216	307	7105				1		3013041	
1502217	632	7105	10	5	4	1		3013042	
1502218	631	7105	999	360		1		3013045	
1502219	632	7105	11	40	3	1		3013044	
1502220	1	LevelAbility_Combat_Activity_Watcher_1:Watcher_Achievement_1502220	Watcher_SuperTrial_RangeKillEnemy			8		3013043	
1502221	307	7101				1		3013051	
1502222	632	7101	12	5	4	1		3013052	
1502223	631	7101	999	360		1		3013055	
1502224	632	7101	13	30	3	1		3013054	
1502225	633	7101	14			10		3013053	
1502226	307	7103				1		3013061	
1502227	632	7103	15	5	4	1		3013062	
1502228	631	7103	999	360		1		3013065	
1502229	632	7103	17	5	4	1		3013064	
1502230	633	7103	16			4		3013063	
1502401	436	1				1		3012001	
1502402	436	2				1		3012002	
1502403	436	3				1		3012003	
1502404	436	4				1		3012004	
1502405	436	5				1		3012005	
1502406	436	6				1		3012006	
1502407	436	7				1		3012007	
1502301	224	10101014	1			1		3014101	
1502302	223	10101015				5		3014102	
1502303	224	10101016	1			1		3014103	
1502304	223	10101017				5		3014104	
1502305	224	10101018	1			1		3014105	
1503004	946	8001	500			1		301807	
1503005	946	8001	1000			1		301808	
1503006	946	8001	2000			1		301809	
1503007	946	8002	500			1		301816	
1503008	946	8002	1000			1		301817	
1503009	946	8002	2000			1		301818	
1503010	946	8003	500			1		301819	
1503011	946	8003	1000			1		301820	
1503012	946	8003	2000			1		301821	
1503013	946	8004	500			1		301801	
1503014	946	8004	1000			1		301802	
1503015	946	8004	2000			1		301803	
1503016	946	8005	500			1		301810	
1503017	946	8005	1000			1		301811	
1503018	946	8005	2000			1		301812	
1503019	946	8006	500			1		301804	
1503020	946	8006	1000			1		301805	
1503021	946	8006	2000			1		301806	
1503022	946	8007	500			1		301813	
1503023	946	8007	1000			1		301814	
1503024	946	8007	2000			1		301815	
1200501	328	144001108				10000		3016211	
1200502	328	144001108				20000		3016212	
1200503	328	144001108				30000		3016213	
1200504	328	144004063				10000		3016221	
1200505	328	144004063				20000		3016222	
1200506	328	144004063				30000		3016223	
1200507	328	144001127				10000		3016231	
1200508	328	144001127				20000		3016232	
1200509	328	144001127				30000		3016233	
1200510	328	144004065				10000		3016241	
1200511	328	144004065				20000		3016242	
1200512	328	144004065				30000		3016243	
1200513	328	144001130				10000		3016251	
1200514	328	144001130				20000		3016252	
1200515	328	144001130				30000		3016253	
1200516	328	144002049				10000		3016261	
1200517	328	144002049				20000		3016262	
1200518	328	144002049				30000		3016263	
1200519	212	124				200		3016101	
1200520	212	124				1000		3016102	
1200521	212	124				2000		3016103	
1200522	334		144001074,144001102,144001103,144001104,144001105,144004077,144002047,144001131,144001141,144004078			30		3016104	
1200523	334		144001074,144001102,144001103,144001104,144001105,144004077,144002047,144001131,144001141,144004078			60		3016105	
1200524	333	SceneObj_Area_Common_Property_Prop_HiliSeaLookoutShield_01	70290058	144001074,144001102,144001103,144001104,144001105,144004077,144002047,144001131,144001141,144004078		5		3016106	
1200525	118	25090101				1		3016301	
1200526	118	25090101				2		3016302	
1200527	118	25090101				3		3016303	
1200528	1	LevelAbility_Combat_Activity_Watcher_1:Watcher_Achievement_1200528				1		3016304	
1200529	1	LevelAbility_Combat_Activity_Watcher_1:Watcher_Achievement_1200529				1		3016305	
1200530	1	LevelAbility_Combat_Activity_Watcher_1:Watcher_Achievement_1200530				1		3016306	
1200531	310	17				3		3016401	
1200532	310	17				6		3016402	
1200533	310	17				9		3016403	
1200534	321	10	BombTypeA	2		2		3016404	
1200535	321	10	BombTypeB	3		2		3016405	
1200536	321	10	BombTypeB	3		4		3016406	
1503301	328	133104761				10000	1	3002011	
1503302	328	133104761				20000	1	3002012	
1503303	328	133104761				30000	1	3002013	
1503304	328	133103577				10000	1	3002021	
1503305	328	133103577				20000	1	3002022	
1503306	328	133103577				30000	1	3002023	
1503307	328	133001435				10000	1	3002031	
1503308	328	133001435				20000	1	3002032	
1503309	328	133001435				30000	1	3002033	
1503310	328	133104029				10000	1	3002041	
1503311	328	133104029				20000	1	3002042	
1503312	328	133104029				30000	1	3002043	
1503313	328	133107134				10000	1	3002051	
1503314	328	133107134				20000	1	3002052	
1503315	328	133107134				30000	1	3002053	
1503316	328	133101214				10000	1	3002061	
1503317	328	133101214				20000	1	3002062	
1503318	328	133101214				30000	1	3002063	
1503201	330	7006				2	1	3011301	
1503202	330	7006				2		301901	
1503203	331	7006	1600			1		301902	
1503204	331	7006	2100			1		301903	
1503205	223	10201002				15		301904	
1503206	223	10201003				80		301905	
1503207	224	10201006	3			1		301908	
1503208	700	7900706				1			
1503209	223	10201004				30		301906	
1503210	223	10201005				10		301907	
1503211	330	7013				2		301909	
1503212	331	7013	2100			1		301910	
1503213	331	7013	3000			1		301911	
1503214	223	10201002				35		301912	
1503215	223	10201011				120		301913	
1503216	223	10201012				50		301914	
1503217	223	10201014				20		301915	
1503218	224	10201013	1			1		301916	
1503219	330	7014				2		301917	
1503220	331	7014	1800			1		301918	
1503221	331	7014	2500			1		301919	
1503222	223	10201002				50		301920	
1503223	223	10201021				100		301921	
1503224	223	10201022				10		301922	
1503225	223	10201024				5		301923	
1503226	224	10201023	1			1		301924	
1503401	601	0,133209011,0	3	111		1		3009011	
1503402	601	0,133209011,0	3	122		1		3009012	
1503403	601	0,133209011,0	3	133		1		3009013	
1503404	601	0,133209011,0	3	144		1		3009014	
1503405	601	0,133209007,0	3	211		1		3009021	
1503406	601	0,133209007,0	3	222		1		3009022	
1503407	601	0,133209007,0	3	233		1		3009023	
1503408	601	0,133209007,0	3	244		1		3009024	
1503409	601	0,133209010,0	3	311		1		3009031	
1503410	601	0,133209010,0	3	322		1		3009032	
1503411	601	0,133209010,0	3	333		1		3009033	
1503412	601	0,133209010,0	3	344		1		3009034	
1503413	601	0,133209008,0	3	411		1		3009041	
1503414	601	0,133209008,0	3	422		1		3009042	
1503415	601	0,133209008,0	3	433		1		3009043	
1503416	601	0,133209008,0	3	444		1		3009044	
1503417	601	0,133209013,0	3	511		1		3009051	
1503418	601	0,133209013,0	3	522		1		3009052	
1503419	601	0,133209013,0	3	533		1		3009053	
1503420	601	0,133209013,0	3	544		1		3009054	
1503421	601	0,133209009,0	3	611		1		3009061	
1503422	601	0,133209009,0	3	622		1		3009062	
1503423	601	0,133209009,0	3	633		1		3009063	
1503424	601	0,133209009,0	3	644		1		3009064	
1503425	601	0,133209012,0	3	711		1		3009071	
1503426	601	0,133209012,0	3	722		1		3009072	
1503427	601	0,133209012,0	3	733		1		3009073	
1503428	601	0,133209012,0	3	744		1		3009074	
1200601	438	133220053	111167	101	120	1	1	990002	
1200602	438	133220053	111167	101	100	1	1	990002	
1200603	438	133220053	111167	101	80	1	1	990002	
1200604	438	133220172	111167	101	120	1	1	990002	
1200605	438	133220172	111167	101	100	1	1	990002	
1200606	438	133220172	111167	101	80	1	1	990002	
1200607	438	133212183	111167	101	120	1	1	990002	
1200608	438	133212183	111167	101	100	1	1	990002	
1200609	438	133212183	111167	101	80	1	1	990002	
1200611	439	133220053	111167	101	0	1		3020101	
1200612	439	133220053	111167	101	60	1		3020102	
1200613	439	133220053	111167	101	110	1		3020103	
1200614	439	133212361	111167	101	0	1		3020104	
1200615	439	133212361	111167	101	40	1		3020105	
1200616	439	133212361	111167	101	80	1		3020106	
1200617	439	133212183	111167	101	0	1		3020107	
1200618	439	133212183	111167	101	50	1		3020108	
1200619	439	133212183	111167	101	75	1		3020109	
1200620	439	133220172	111167	101	0	1		3020110	
1200621	439	133220172	111167	101	40	1		3020111	
1200622	439	133220172	111167	101	80	1		3020112	
1200623	439	133212185	111167	101	0	1		3020113	
1200624	439	133212185	111167	101	60	1		3020114	
1200625	439	133212185	111167	101	120	1		3020115	
1200626	439	133212033	111167	101	0	1		3020116	
1200627	439	133212033	111167	101	50	1		3020117	
1200628	439	133212033	111167	101	90	1		3020118	
1200631	319	11				1		3020201	
1200632	319	11				5		3020202	
1200633	319	11				10		3020203	
1200637	223	10402001				4		3020204	
1200638	223	10402001				8		3020205	
1200641	223	10402002				6		3020206	
1200642	223	10402002				12		3020207	
1200651	319	12				1		3020301	
1200652	319	12				5		3020302	
1200653	319	12				10		3020303	
1200667	223	10402003				15		3020304	
1200668	223	10402003				30		3020305	
1200671	223	10402004				20		3020306	
1200672	223	10402004				40		3020307	
1200701	949	1				25		3024001	
1200702	949	1				50		3024002	
1200703	949	1				75		3024003	
1200704	949	1				100		3024004	
1200705	949	2				25		3024005	
1200706	949	2				50		3024006	
1200707	949	2				75		3024007	
1200708	949	2				100		3024008	
1200709	949	3				25		3024009	
1200710	949	3				50		3024010	
1200711	949	3				75		3024011	
1200712	949	3				100		3024012	
1200713	949	1				100			
1200714	949	2				100			
1200715	949	3				100			
1504004	645					12000		3023001	
1504005	644	1	500			1		3023011	
1504006	644	1	1000			1		3023012	
1504007	644	1	2000			1		3023013	
1504008	644	2	500			1		3023021	
1504009	644	2	1000			1		3023022	
1504010	644	2	2000			1		3023023	
1504011	644	3	500			1		3023031	
1504012	644	3	1000			1		3023032	
1504013	644	3	2000			1		3023033	
1504014	644	4	500			1		3023041	
1504015	644	4	1000			1		3023042	
1504016	644	4	2000			1		3023043	
1504017	644	5	500			1		3023051	
1504018	644	5	1000			1		3023052	
1504019	644	5	2000			1		3023053	
1504020	644	6	500			1		3023061	
1504021	644	6	1000			1		3023062	
1504022	644	6	2000			1		3023063	
1503701	636	3				1		3021001	
1503702	636	6				1		3021002	
1503703	636	10				1		3021003	
1503704	642					500		3021004	
1503705	642					2000		3021005	
1503706	643					20000		3021006	
1503707	643					50000		3021007	
1503708	639	5	12			1		3021008	
1503709	638	7	15			1		3021009	
1503710	638	9	15			1		3021010	
1503711	637	2	400			1		3021011	
1503712	637	4	400			1		3021012	
1503713	637	6	400			1		3021013	
1503714	637	8	400			1		3021014	
1503715	637	10	400			1		3021015	
1504101	950	11001	2	1		1		3022001	
1504102	950	11001	4	1		1		3022002	
1504103	950	11001	6	1		1		3022003	
1504104	950	11002	2	1		1		3022004	
1504105	950	11002	3	1		1		3022005	
1504106	950	11002	5	1		1		3022006	
1504107	950	11003	2	1		1		3022007	
1504108	950	11003	4	1		1		3022008	
1504109	950	11003	6	1		1		3022009	
1504110	950	11004	2	1		1		3022010	
1504111	950	11004	3	1		1		3022011	
1504112	950	11004	5	1		1		3022012	
1504113	950	11005	1	1		1		3022013	
1504114	950	11005	2	2		1		3022014	
1504115	950	11005	3	3		1		3022015	
15050001	941	1	1400			1		3028001	
15050002	941	2	1600			1		3028002	
15050003	941	3	2800			1		3028003	
15050004	941	4	800			1		3028004	
15050005	941	5	1800			1		3028005	
15050006	941	6	3600			1		3028006	
15050007	941	7	600			1		3028007	
15050008	941	8	1200			1		3028008	
15050009	941	9	2000			1		3028009	
15050010	941	10	1200			1		3028010	
15050011	941	11	1600			1		3028011	
15050012	941	12	2400			1		3028012	
15050013	941	13	1200			1		3028013	
15050014	941	14	3200			1		3028014	
15050015	941	15	3800			1		3028015	
15050016	941	16	1200			1		3028016	
15050017	941	17	2400			1		3028017	
15050018	941	18	3200			1		3028018	
15050019	941	19	600			1		3028019	
15050020	941	20	1600			1		3028020	
15050021	941	21	2600			1		3028021	
15049001	223	10601021				1		3026001	
15049002	223	10601022				1		3026002	
15049003	223	10601023				1		3026003	
15049004	223	10601024				1		3026004	
15049005	223	10601011				1		3026005	
15049006	223	10601013				1		3026006	
15049007	223	10601012				1		3026007	
15049008	223	10601014				1		3026008	
15049009	223	10601001				1		3026009	
15049010	223	10601006				8		3026014	
15049011	223	10601002				1		3026010	
15049012	223	10601003				1		3026011	
15049013	223	10601004				1		3026012	
15049014	223	10601005				1		3026013	
15049015	223	10601015				1		3026015	
15049016	223	10601016				1		3026016	
15047001	1022	7022,7023,7024,7025,7026,7027,7028,7029,7030				1	1	990002	
15047011	1107					1	1	990002	
15047002	1022	7022,7023,7024,7025,7026,7027,7028,7029,7030				6		3027002	
15047003	1022	7022,7023,7024,7025,7026,7027,7028,7029,7030				18		3027003	
15047004	1022	7022,7023,7024,7025,7026,7027,7028,7029,7030				30		3027004	
15047012	230	130022;130023;130024				1		3027001	
15047013	230	373801;373802;373803;373804;373805;373806;373807;373808;373809				12		3027005	
15047014	230	373801;373802;373803;373804;373805;373806;373807;373808;373809				24		3027006	
15047015	230	373801;373802;373803;373804;373805;373806;373807;373808;373809				36		3027007	
15047016	1108					1	1	3027005	
15047017	1108					2	1	3027006	
15047018	1108					3	1	3027007	
15047021	1105					1		3027008	
15047031	1106					1		3027009	
2008001	647	0	1			200		3025201	
2008002	646	0	1	10		50		3025202	
2008003	646	0	1	8		20		3025203	
2008004	646	0	1	11		10		3025204	
2008005	656	1				10		3025205	
2008006	656	2				40		3025206	
2008007	654	1				10		3025207	
2008008	654	6				5		3025208	
2008009	654	8				2	1	3025209	
2008010	649	1				1		3025209	
2008011	649	2				1		3025210	
2008012	653	1				1		3025211	
2008013	653	2				1		3025212	
2008014	651	3	3			1	1	3025213	
2008019	654	5				2		3025213	
2008015	652	6	3			1		3025214	
2008016	652	6	4			1		3025215	
2008017	222	134				4000	1		
2008018	212	134				4000			
