ID	类型	重量	排序权重	物件ID	可丢弃	使用等级	全局产出上限	数值用类型	家具ID	名称$text_name_FurnitureName	GadgetID1	GadgetID2	GadgetID3	类型ID1	类型ID2	可配置表面	限制摆放数	特殊家具类型	室内场景ID	舒适度	堆叠上限	Cost	打折Cost	阶数
364101	6		4900		0			成品家具	500306	(test)欧洲房子挂画	77112004			5003		1				90	9999	85	64	4
364102	6		4900		0			成品家具	500307	(test)璀璨的天空	77112005			5003		1				90	9999	85	64	4
364103	6		4900		0			成品家具	500308	(test)青青大草原挂画	77112006			5003		1				90	9999	85	64	4
364206	6		5000		0			成品家具	500309	(test)红色旗子	77112007			5005		1				60	9999	85	64	3
364207	6		5000		0			成品家具	500310	(test)蓝色的旗子	77112008			5005		1				60	9999	85	64	3
364208	6		5000		0			成品家具	500311	(test)剑盾墙饰	77112009			5005		1				90	9999	85	64	4
364209	6		5000		0			成品家具	500312	(test)室内小黑板	77112010			5005		1				30	9999	85	64	2
364210	6		5000		0			成品家具	500313	(test)室内小木板	77112011			5005		1				30	9999	85	64	2
364104	6		4900		0			成品家具	500314	(test)山水挂画	77112012			5003		1				90	9999	85	64	4
364105	6		4900		0			成品家具	500315	(test)花瓶挂画	77112013			5003		1				90	9999	85	64	4
364106	6		4900		0			成品家具	500316	(test)山水横着的挂画	77112014			5003		1				90	9999	85	64	4
363302	6		4800		0			成品家具	1100205	(test)一堆书	77115001			11002		3				60	9999	85	64	3
363303	6		4800		0			成品家具	1100206	(test)一摞书	77115002			11002		3				60	9999	85	64	3
363304	6		4800		0			成品家具	1100207	(test)文房四宝	77115003			11002		3				60	9999	85	64	3
363305	6		4800		0			成品家具	1100208	(test)沙漏	77115004			11002		3				60	9999	169	127	3
363201	6		4700		0			成品家具	1100101	(test)蓝瓶小花	77115005			11001		3				60	9999	169	127	3
363202	6		4700		0			成品家具	1100102	(test)白瓶盆栽	77115006			11001		3				60	9999	169	169	3
363203	6		4700		0			成品家具	1100209	(test)小花瓶套装	77115007			11001		3				60	9999	169	127	3
363204	6		4700		0			成品家具	1100210	(test)小盆栽套装	77115008			11001		3				60	9999	169	127	3
363306	6		4800		0			成品家具	1100211	(test)炼金瓶子组合	77115009			11002		3				60	9999	169	127	3
363307	6		4800		0			成品家具	1100212	(test)炼金小物件组合	77115010			11002		3				60	9999	113	85	3
363308	6		4800		0			成品家具	1100213	(test)中式的文房四宝	77115011			11002		3				60	9999	85	64	3
363205	6		4700		0			成品家具	1100103	(test)蓝色碗的盆栽	77115012			11001		3				60	9999	338	338	3
363309	6		4800		0			成品家具	1100214	(test)烛台	77115013			11002		3				60	9999	85	85	3
361401	6		4200		0			成品家具	300601	(test)欧洲风格的床	77109001			3006		0				60	9999	85	64	3
361402	6		4200		0			成品家具	300602	(test)中式床	77109002			3006		0				60	9999	85	64	3
361105	6		3300		0			成品家具	300105	(test)欧洲风格的衣柜	77110013			3001		0				60	9999	85	64	3
362204	6		2400		0			成品家具	400204	(test)欧式的床头柜	77110014			4002		0				60	9999	85	64	3
362205	6		2400		0			成品家具	400205	(test)璃月中式床头柜	77110015			4002		0				60	9999	85	64	3
361106	6		3300		0			成品家具	300106	(test)中式服装柜	77110016			3001		0				60	9999	85	64	3
364211	6		5000		0			成品家具	500501	(test)中式吊帘	77112015			5005		1				90	9999	85	64	4
362206	6		2400		0			成品家具	400206	(test)中式帘子	77104006			4002		0				90	9999	85	64	4
362207	6		2400		0			成品家具	400207	(test)中式花式屏风	77104007			4002		0				90	9999	85	64	4
363104	6		2500		0			成品家具	1100305	(test)欧式的台灯	77108009			11003		3				60	9999	85	64	3
370301	6		1300		0			成品家具	600501	(test)红顶的杂货摊位	77200001			6005		0				60	9999	60	43	3
370302	6		1300		0			成品家具	600502	(test)蓝顶的水果摊位	77200002			6005		0				60	9999	145	106	3
370303	6		1300		0			成品家具	600503	(test)白顶的水果摊	77200003			6005		0				60	9999	175	129	3
370304	6		1300		0			成品家具	600504	(test)红顶的铁匠铺	77200004			6005		0				90	9999	190	141	4
370305	6		1300		0			成品家具	600505	(test)黄顶的水果车	77200005			6005		0				60	9999	80	60	3
370201	6		1100		0			成品家具	600101	(test)方形的房子	77200006			13002		0				60	9999	205	103	3
370202	6		1100		0			成品家具	600102	(test)有两个阁楼的房子	77200007			13002		0				60	9999	255	126	3
370203	6		1100		0			成品家具	600103	(test)斜着的房子	77200008			13002		0				60	9999	245	121	3
370204	6		1100		0			成品家具	600104	(test)只有一个阁楼的房子	77200009			13002		0				60	9999	200	100	3
371101	6		900		0			成品家具	600301	(test)大喷泉	77200010			6003		0				90	9999	160	160	4
370205	6		1100		0			成品家具	600105	(test)会转水车的房子	77200011			13002		0				60	9999	300	149	3
370206	6		1100		0			成品家具	600106	(test)有烟囱的房子	77200012			13002		0				60	9999	195	98	3
370207	6		1100		0			成品家具	600107	(test)有楼梯的木房	77200013			13002		0				60	9999	160	118	3
370306	6		1300		0			成品家具	600506	(test)杂货铺	77200014			6005		0				60	9999	85	62	3
370501	6		1400		0			成品家具	600601	(test)蓝色顶棚	77200015			6006		0				60	9999	125	110	3
370307	6		1300		0			成品家具	600508	(test)水果货摊	77200016			6005		0				60	9999	110	93	3
370101	6		1000		0			成品家具	600108	(test)璃月草屋	77200017			13001		0				30	9999	125	62	2
370102	6		1000		0			成品家具	600109	(test)有地基的草屋	77200018			13001		0				30	9999	110	80	2
370502	6		1400		0			成品家具	600602	(test)草屋的顶棚	77200019			6006		0				30	9999	35	24	2
370103	6		1000		0			成品家具	600110	(test)璃月的大房子	77200020			13001		0				60	9999	210	104	3
370104	6		1000		0			成品家具	600111	(test)璃月小阁楼	77200021			13001		0				60	9999	205	101	3
370105	6		1000		0			成品家具	600112	(test)三开门的大房子	77200022			13001		0				60	9999	185	91	3
370106	6		1000		0			成品家具	600113	(test)有天台的璃月房	77200023			13001		0				60	9999	85	53	3
370107	6		1000		0			成品家具	600114	(test)双层的璃月房	77200024			13001		0				60	9999	85	53	3
370108	6		1000		0			成品家具	600115	(test)万民堂	77200025			13001		0				60	9999	85	41	3
370208	6		1000		0			成品家具	600116	(test)蓝顶的双层楼房	77200026			13001		0				60	9999	85	53	3
371201	6		800		0			成品家具	600201	(test)璃月大门	77200027			6002		0				90	9999	95	71	4
370401	6		1200		0			成品家具	600117	(test)丘丘人房子	77200028			13003		0				60	9999	155	113	3
371102	6		900		0			成品家具	600303	(test)丘丘人瞭望台	77200029			6003		0				60	9999	85	63	3
370402	6		1200		0			成品家具	600118	(test)丘丘人巨型豪宅	77200030			13003		0				90	9999	290	144	4
371103	6		900		0			成品家具	600304	(test)丘丘人草棚	77200031			6003		0				30	9999	95	71	2
374301	6		1200		0			成品家具	700201	(test)丘丘人小台子	77200032			13003		0				60	9999	95	71	3
370503	6		1400		0			成品家具	600603	(test)丘丘人帐篷	77200033			6006		0				60	9999	110	93	3
370504	6		1400		0			成品家具	600604	(test)丘丘人布篷	77200034			6006		0				60	9999	65	47	3
375101	6		100		0			成品家具	1200101	(test)蒙德主建筑	77200035			12001		13		6	2201	750	9999	945	945	5
374302	6		3200		0			成品家具	700202	(test)收纳着碗的桌子	77203001			7002		0				30	9999	35	24	2
374303	6		3200		0			成品家具	700203	(test)放着一些工具的锻造桌	77203002			7002		0				60	9999	35	24	3
374304	6		3200		0			成品家具	700204	(test)木头方桌	77203003			7002		0				30	9999	35	24	2
370308	6		1300		0			成品家具	600509	(test)火锅	77203004			6005		0				60	9999	145	121	3
374305	6		3200		0			成品家具	700205	(test)滚磨的轮盘	77203005			7002		0				60	9999	35	24	3
374306	6		3200		0			成品家具	700206	(test)合成台	77203006			7002		0				90	9999	35	24	4
373301	6		2400		0			成品家具	700501	(test)木头架子	77204001			7005		0				30	9999	65	47	2
373302	6		2400		0			成品家具	700502	(test)有盾牌和宝剑的武器堆	77204002			7005		0				30	9999	35	24	2
373303	6		2400		0			成品家具	700503	(test)零散几把武器的武器架	77204003			7005		0				60	9999	35	24	3
373101	6		2200		0			成品家具	700104	(test)一堆木箱子	77204004			7001		0				30	9999	40	28	2
373102	6		2200		0			成品家具	700105	(test)一堆木桶	77204005			7001		0				30	9999	35	24	2
373304	6		2400		0			成品家具	700504	(test)拖着杂物的木推车	77204006			7005		0				30	9999	65	47	2
373103	6		2200		0			成品家具	700107	(test)一堆草堆	77204007			7001		0				30	9999	35	24	2
373305	6		2400		0			成品家具	700505	(test)可以拉伸的水井	77204008			7005		0				60	9999	190	141	3
373104	6		2200		0			成品家具	700109	(test)酒坛架子	77204009			7001		0				60	9999	65	47	3
373201	6		2300		0			成品家具	700301	(test)常青树盆栽	77204010			7003		0				60	9999	125	125	3
373105	6		2200		0			成品家具	700110	(test)风筝堆	77204011			7001		0				60	9999	85	61	3
373106	6		2200		0			成品家具	700111	(test)很多把伞的铺子	77204012			7001		0				60	9999	110	93	3
370309	6		1300		0			成品家具	600510	(test)菜地摊	77204013			6005		0				60	9999	60	43	3
374401	6		3300		0			成品家具	700401	(test)放酒的大柜子	77204014			7004		0				60	9999	65	47	3
374402	6		3300		0			成品家具	700402	(test)集装箱货物柜	77204015			7004		0				60	9999	95	71	3
374307	6		3200		0			成品家具	700207	(test)年货的桌子	77204016			7002		0				60	9999	60	43	3
373306	6		2400		0			成品家具	700506	(test)田里的稻草人	77204017			7005		0				60	9999	35	24	3
373107	6		2200		0			成品家具	700113	(test)一组米袋	77204018			7001		0				30	9999	35	24	2
373307	6		2400		0			成品家具	700507	(test)简陋的水井	77204019			7005		0				30	9999	95	71	2
373308	6		2400		0			成品家具	700508	(test)有顶棚的水井	77204020			7005		0				60	9999	190	141	3
373309	6		2400		0			成品家具	700509	(test)石狮子右边	77204021			7005		0				90	9999	50	37	4
373310	6		2400		0			成品家具	700510	(test)石狮子左边	77204022			7005		0				90	9999	50	37	4
373108	6		2200		0			成品家具	700114	(test)蔬菜组合	77204023			7001		0				60	9999	35	24	3
373109	6		2200		0			成品家具	700115	(test)瓶罐组合	77204024			7001		0				60	9999	35	24	3
373110	6		2200		0			成品家具	700116	(test)空瓶子组合	77204025			7001		0				30	9999	35	24	2
374101	6		3000		0			成品家具	700601	(test)木质围栏	77204026			7006		0				30	9999	35	24	2
374102	6		3000		0			成品家具	700602	(test)木质稍微高一点的围栏	77204027			7006		0				30	9999	35	24	2
374103	6		3000		0			成品家具	700603	(test)丘丘人专属栅栏	77204028			7006		0				30	9999	65	47	2
374104	6		3000		0			成品家具	700604	(test)丘丘人带旗子的栅栏	77204029			7006		0				30	9999	65	47	2
373111	6		2200		0			成品家具	700117	(test)丘丘人标靶	77204030			7001		0				60	9999	65	47	3
373112	6		2200		0			成品家具	700118	(test)丘丘人水盆	77204031			7001		0				60	9999	35	24	3
373113	6		2200		0			成品家具	700119	(test)旅行人方向杆	77204032			7001		0				30	9999	65	47	2
374201	6		3100		0			成品家具	700701	(test)木质长椅	77205001			7007		0				30	9999	35	24	2
374202	6		3100		0			成品家具	700702	(test)石质的长椅	77205002			7007		0				30	9999	35	24	2
374308	6		3200		0			成品家具	700208	(test)室外茶桌	77206001			7002		0				60	9999	95	71	3
374309	6		3200		0			成品家具	700209	(test)室外木质饮茶桌	77206002			7002		0				60	9999	95	71	3
373202	6		2300		0			成品家具	700302	(test)木质花坛	77207001			7003		0				60	9999	65	47	3
374105	6		3000		0			成品家具	700605	(test)带草的篱笆栅栏	77207002			7006		0				60	9999	65	65	3
373401	6		2500		0			成品家具	700801	(test)蒙德风格蓝色旗子的路灯	77208001			7008		0				60	9999	115	97	3
373402	6		2500		0			成品家具	700802	(test)木杆子的路灯	77208002			7008		0				30	9999	85	74	2
373403	6		2500		0			成品家具	700803	(test)木质的路灯	77208003			7008		0				60	9999	135	124	3
373404	6		2500		0			成品家具	700804	(test)矮桩的路灯	77208004			7008		0				60	9999	85	74	3
373405	6		2500		0			成品家具	700805	(test)方顶的路灯	77208005			7008		0				60	9999	115	97	3
372401	6		3300		0			成品家具	1000401	(test)菜架子	77210001			7004	3001	0				20	9999	70	70	3
372402	6		1900		0			成品家具	1000402	(test)带花的草丛	77213001			10004		0				20	9999	50	50	3
372403	6		1900		0			成品家具	1000403	(test)空空的草丛	77213002			10004		0				20	9999	50	50	3
372404	6		1900		0			成品家具	1000404	(test)长的灌木	77213003			10004		0				20	9999	50	50	3
372405	6		1900		0			成品家具	1000405	(test)草堆灌木	77213004			10004		0				20	9999	50	50	3
372406	6		1900		0			成品家具	1000406	(test)小树枝灌木	77213005			10004		0				20	9999	50	50	3
372407	6		1900		0			成品家具	1000407	(test)带花的灌木	77213006			10004		0				20	9999	50	50	3
372408	6		1900		0			成品家具	1000408	(test)海岛上的灌木	77213007			10004		0				20	9999	50	50	3
372409	6		1900		0			成品家具	1000409	(test)叶子性灌木	77213008			10004		0				20	9999	50	50	3
372301	6		1800		0			成品家具	1000301	(test)蒙德树	77213009			10003		0				20	9999	150	150	3
372302	6		1800		0			成品家具	1000302	(test)两个树干的椰子树	77213010			10003		0				20	9999	50	50	3
372303	6		1800		0			成品家具	1000303	(test)一个树干的椰子树	77213011			10003		0				20	9999	50	50	3
372304	6		1800		0			成品家具	1000304	(test)枫叶树	77213012			10003		0				20	9999	350	350	3
372305	6		1800		0			成品家具	1000305	(test)弯曲的树	77213013			10003		0				20	9999	50	50	3
372306	6		1800		0			成品家具	1000306	(test)叶子泛黄的树	77213014			10003		0				20	9999	100	100	3
372201	6		1700		0			成品家具	1000201	(test)小型石堆	77214001			10002		0				20	9999	35	24	3
372202	6		1700		0			成品家具	1000202	(test)中型石堆	77214002			10002		0				20	9999	35	24	3
372203	6		1700		0			成品家具	1000203	(test)大块石头	77214003			10002		0				20	9999	35	21	3
373114	6		2200		0			成品家具	700120	(test)旅行人的书堆	77215001			7001		0				60	9999	35	24	3
371202	6		800		0			成品家具	600202	(test)蒙德主建筑庭院大门	77200036			6002		0				90	9999	45	33	4
371203	6		800		0			成品家具	600203	(test)蒙德主建筑庭院围栏收尾	77200037			6002		0				90	9999	35	24	4
371204	6		800		0			成品家具	600204	(test)蒙德主建筑庭院围栏	77200038			6002		0				90	9999	35	24	4
377101	6				0				121212122	(test)套装用家具	77015008					14		7		0	9999	0	0	1
362208	6		2400		0			成品家具	362208	(test)中式大鼓	77104009			4002		0				90	9999	85	64	4
3750102	6		100		0			成品家具	3750102	(test)璃月主建筑	77200040			12001		13		6	2202	750	9999	1440	1440	5
370109	6		1000		0			成品家具	370109	(test)璃月主建筑附属建筑	77200041			13001		0				90	9999	185	79	4
370110	6		1000		0			成品家具	370110	(test)璃月主建筑小亭子	77200042			13001		0				90	9999	185	136	4
371205	6		800		0			成品家具	371205	(test)璃月主建筑过道	77200043			6002		0				90	9999	160	118	4
371206	6		800		0			成品家具	371206	(test)璃月主建筑围墙	77200044			6002		0				90	9999	95	71	4
371207	6		800		0			成品家具	371207	(test)璃月主建筑L型转角墙	77200045			6002		0				90	9999	95	71	4
371208	6		800		0			成品家具	371208	(test)璃月主建筑丁字转角墙	77200046			6002		0				90	9999	95	61	4
371209	6		800		0			成品家具	371209	(test)璃月主建筑十字转角墙	77200047			6002		0				90	9999	95	61	4
