父任务ID	父任务组	任务类型	启用模式	Lua脚本路径	推荐等级	可重复	任务奖励RewardID	章节ID	事件ID	活动类型
11010	2012	2	1	Actor/Quest/LQ11010			111010	2012		
11011	2012	2	1	Actor/Quest/LQ11011			111011	2012		
11012	2012	2	1	Actor/Quest/LQ11012			111012	2012		
11020	2014	2	1	Actor/Quest/LQ11020			111020	2014		
11021	2014	2	1	Actor/Quest/LQ11021			111021	2014		
11022	2014	2	1	Actor/Quest/LQ11022			111022	2014		
11023	2014	2	1	Actor/Quest/LQ11023			111023	2014		
11024	2014	2	1	Actor/Quest/LQ11024			111024	2014		
11025	2014	2	1	Actor/Quest/LQ11025						
11030	2016	2	1	Actor/Quest/LQ11030			111030	2016		
11031	2016	2	1	Actor/Quest/LQ11031			111031	2016		
11032	2016	2	1	Actor/Quest/LQ11032			111032	2016		
11040	2017	2	1	Actor/Quest/LQ11040			111040	2017		
11041	2017	2	1	Actor/Quest/LQ11041			111041	2017		
11042	2017	2	1	Actor/Quest/LQ11042			111042	2017		
11043	2017	2	1	Actor/Quest/LQ11043			111043	2017		
11044	2017	2	1	Actor/Quest/LQ11044			111044	2017		
11045	2017	2	1	Actor/Quest/LQ11045			111045	2017		
11110	11110	2	1	Actor/Quest/LQ11110			111110	2018		
11111	11110	2	1	Actor/Quest/LQ11111			111111	2018		
11112	11110	2	1	Actor/Quest/LQ11112			111112	2018		
11113	11110	2	1	Actor/Quest/LQ11113			111113	2018		
11114	11110	2		Actor/Quest/LQ11114				2018		
11120	1112	2	1	Actor/Quest/LQ11120			111120	2020		
11121	1112	2	1	Actor/Quest/LQ11121			111121	2020		
11122	1112	2	1	Actor/Quest/LQ11122			111122	2020		
11123	1112	2	1	Actor/Quest/LQ11123			111123	2020		
11124	1112	2		Actor/Quest/LQ11124				2020		
11200		2	1	Actor/Quest/LQ11200			111200	2015		
11201		2	1	Actor/Quest/LQ11201			111201	2015		
11202		2	1	Actor/Quest/LQ11202			111202	2015		
12004	2022	2	1	Actor/Quest/LQ12004			112004	2022		
12005	2022	2	1	Actor/Quest/LQ12005			112005	2022		
12006	2022	2	1	Actor/Quest/LQ12006			112006	2022		
12007	2022	2	1	Actor/Quest/LQ12007			112007	2022		
12008	2022	2	1	Actor/Quest/LQ12008			112008	2022		
12010	1201	2	1	Actor/Quest/LQ12010			112010	2021		
12011	1201	2	1	Actor/Quest/LQ12011			112011	2021		
12012	1201	2	1	Actor/Quest/LQ12012			112012	2021		
12013	1201	2	1	Actor/Quest/LQ12013			112013	2021		
12014	1201	2		Actor/Quest/LQ12014				2021		
12015	2023	2	1	Actor/Quest/LQ12015			112015	2023		
12016	2023	2	1	Actor/Quest/LQ12016			112016	2023		
12017	2023	2	1	Actor/Quest/LQ12017			112017	2023		
12018	2023	2	1	Actor/Quest/LQ12018			112018	2023		
12019	2023	2	1	Actor/Quest/LQ12019				2023		
12020	2024	2	1	Actor/Quest/LQ12020			112020	2024		
12021	2024	2	1	Actor/Quest/LQ12021			112021	2024		
12022	2024	2	1	Actor/Quest/LQ12022			112022	2024		
12023	2024	2	1	Actor/Quest/LQ12023			112023	2024		
12024	2024	2	1	Actor/Quest/LQ12024			112024	2024		
18000		7	1	Actor/Quest/WQ18000			118000	1105		
19001	101401	2	1	Actor/Quest/LQ19001				101401		
19002	101401	2	1	Actor/Quest/LQ19002				101401		
19003	101401	2	1	Actor/Quest/LQ19003				101401		
19004	101401	2	1	Actor/Quest/LQ19004				101401		
19005	101401	2	1	Actor/Quest/LQ19005				101401		
19006	101401	2	1	Actor/Quest/LQ19006				101401		
19007	101401	2	1	Actor/Quest/LQ19007				101401		
19008	101401	2	1	Actor/Quest/LQ19008				101401		
19009	101401	2	1	Actor/Quest/LQ19009				101401		
19010	105301	2	1	Actor/Quest/LQ19010				105301		
19012	105301	2	1	Actor/Quest/LQ19012				105301		
19013	105301	2	1	Actor/Quest/LQ19013				105301		
19014	105301	2	1	Actor/Quest/LQ19014				105301		
19015	105301	2	1	Actor/Quest/LQ19015				105301		
19016	105301	2	1	Actor/Quest/LQ19016				105301		
19021	103601	2	1	Actor/Quest/LQ19021				103601		
19022	103601	2	1	Actor/Quest/LQ19022				103601		
19023	103601	2	1	Actor/Quest/LQ19023				103601		
19024	103601	2	1	Actor/Quest/LQ19024				103601		
19025	103601	2	1	Actor/Quest/LQ19025				103601		
19029		2	1	Actor/Quest/LQ19029		1				
19030	103601	2	1	Actor/Quest/LQ19030				103601		
19031	103601	2	1	Actor/Quest/LQ19031				103601		
19032	103601	2	1	Actor/Quest/LQ19032				103601		
19033	103601	2	1	Actor/Quest/LQ19033				103601		
19034	103601	2	1	Actor/Quest/LQ19034				103601		
19035	103601	2	1	Actor/Quest/LQ19035				103601		
19041	103201	2	1	Actor/Quest/LQ19041				103201		
19042	103201	2	1	Actor/Quest/LQ19042				103201		
19043	103201	2	1	Actor/Quest/LQ19043				103201		
19044	103201	2	1	Actor/Quest/LQ19044				103201		
19045	103201	2	1	Actor/Quest/LQ19045				103201		
19046		2	1	Actor/Quest/LQ19046		1				
19061	103401	2	1	Actor/Quest/LQ19061				103401		
19062	103401	2	1	Actor/Quest/LQ19062				103401		
19063	103401	2	1	Actor/Quest/LQ19063				103401		
19064	103401	2	1	Actor/Quest/LQ19064				103401		
19065	103401	2	1	Actor/Quest/LQ19065				103401		
19066	103401	2	1	Actor/Quest/LQ19066				103401		
19067	103401	2	1	Actor/Quest/LQ19067				103401		
19068	103401	2	1	Actor/Quest/LQ19068				103401		
19069	103401	2	1	Actor/Quest/LQ19069				103401		
19070		2	1	Actor/Quest/LQ19070						
19081	103402	2	1	Actor/Quest/LQ19081				103402		
19082	103402	2	1	Actor/Quest/LQ19082				103402		
19083	103402	2	1	Actor/Quest/LQ19083				103402		
19084	103402	2	1	Actor/Quest/LQ19084				103402		
19085	103402	2	1	Actor/Quest/LQ19085				103402		
19086	103402	2	1	Actor/Quest/LQ19086				103402		
19087	103402	2	1	Actor/Quest/LQ19087				103402		
19088		2	1	Actor/Quest/LQ19088						
19089		2	1	Actor/Quest/LQ19089						
19090	103402	2	1	Actor/Quest/LQ19090				103402		
19091	103402	2	1	Actor/Quest/LQ19091				103402		
19092	103402	2	1	Actor/Quest/LQ19092				103402		
19101	103901	2	1	Actor/Quest/LQ19101				103901		
19102	103901	2	1	Actor/Quest/LQ19102				103901		
19103	103901	2	1	Actor/Quest/LQ19103				103901		
19104	103901	2	1	Actor/Quest/LQ19104				103901		
19105	103901	2	1	Actor/Quest/LQ19105				103901		
19106	103901	2	1	Actor/Quest/LQ19106				103901		
19107	103901	2	1	Actor/Quest/LQ19107				103901		
19111	105001	2	1	Actor/Quest/LQ19111				105001		
19112	105001	2	1	Actor/Quest/LQ19112				105001		
19113	105001	2	1	Actor/Quest/LQ19113				105001		
19114	105001	2	1	Actor/Quest/LQ19114				105001		
19115	105001	2	1	Actor/Quest/LQ19115				105001		
19116	105001	2	1	Actor/Quest/LQ19116				105001		
19117	105001	2	1	Actor/Quest/LQ19117				105001		
19118	105001	2	1	Actor/Quest/LQ19118				105001		
19119	105001	2	1	Actor/Quest/LQ19119				105001		
19121	105001	2	1	Actor/Quest/LQ19121				105001		
20068		5		Actor/Quest/IQ20068		1			23100	
20069		5		Actor/Quest/IQ20069		1			28900	
20070		5		Actor/Quest/IQ20070		1			29000	
20071		5		Actor/Quest/IQ20071		1			29001	
20072		5		Actor/Quest/IQ20072		1			29002	
20073		5		Actor/Quest/IQ20073		1			29100	
20104		5		Actor/Quest/IQ20104		1			24200	
20511		5		Actor/Quest/IQ20511		1			24700	
20512		5		Actor/Quest/IQ20512		1			24701	
20513		5		Actor/Quest/IQ20513		1			24702	
20514		5		Actor/Quest/IQ20514		1			24800	
20515		5		Actor/Quest/IQ20515		1			24801	
20516		5		Actor/Quest/IQ20516		1			24802	
20517		5		Actor/Quest/IQ20517		1	0,500140		24900	
20518		5		Actor/Quest/IQ20518		1			24100	
20519		5		Actor/Quest/IQ20519		1			24101	
20520		5		Actor/Quest/IQ20520		1			28800	
20521		5		Actor/Quest/IQ20521		1			29200	
20600		5		Actor/Quest/IQ20600		1	500138		23600	
20601		7	1	Actor/Quest/WQ20601			120601			
20602		7	1	Actor/Quest/WQ20602			120602			
20603		7	1	Actor/Quest/WQ20603			120603			
20700		5		Actor/Quest/IQ20700		1	500126,500127,500128,500129,500130,500131		24300	
20701		5		Actor/Quest/IQ20701		1	500132,500133,500134		24000	
20702		5		Actor/Quest/IQ20702		1	500135,500136,500137		24500	
20703		5		Actor/Quest/IQ20703		1	500143		24600	
20704		7		Actor/Quest/WQ20704		1			27700	
20740		7	1	Actor/Quest/WQ20740			120740			
20741		7	1	Actor/Quest/WQ20741			120741			
20742		7	1	Actor/Quest/WQ20742						
20743		7	1	Actor/Quest/WQ20743			120743			
20744		7		Actor/Quest/WQ20744						
22009		5		Actor/Quest/IQ22009		1			26900	
22010		5		Actor/Quest/IQ22010		1			41010	
22011		5		Actor/Quest/IQ22011		1			41040	
22012		5	1	Actor/Quest/IQ22012		1			41060	
22013		5		Actor/Quest/IQ22013		1			41020	
22014		5		Actor/Quest/IQ22014		1			41130	
22015		5		Actor/Quest/IQ22015		1			41070	
22016		7		Actor/Quest/WQ22016			122016			
22017		5		Actor/Quest/IQ22017		1			41030	
22018		5		Actor/Quest/IQ22018		1			41080	
22019		5		Actor/Quest/IQ22019		1			41090	
22020		5		Actor/Quest/IQ22020		1			41100	
22021		5		Actor/Quest/IQ22021		1			41220	
22022		5		Actor/Quest/IQ22022		1			41200	
22023		5		Actor/Quest/IQ22023		1	500150		41160	
22025		5		Actor/Quest/IQ22025		1	500153		41170	
22026		5		Actor/Quest/IQ22026		1	500154		41210	
22027		5		Actor/Quest/IQ22027		1			41110	
22028		5		Actor/Quest/IQ22028		1			41120	
22029		5		Actor/Quest/IQ22029		1			41140	
22030		5		Actor/Quest/IQ22030		1			41230	
22031		5		Actor/Quest/IQ22031		1			41150	
22032		5		Actor/Quest/IQ22032		1	500151		41161	
22033		5		Actor/Quest/IQ22033		1	500152		41162	
22034		5		Actor/Quest/IQ22034		1			41180	
22035		5		Actor/Quest/IQ22035		1			41190	
22036		5		Actor/Quest/IQ22036		1			41250	
22037		5		Actor/Quest/IQ22037		1			41260	
22038		5		Actor/Quest/IQ22038		1			41240	
22039		5		Actor/Quest/IQ22039		1			41270	
22040		5		Actor/Quest/IQ22040		1			41271	
22041		5		Actor/Quest/IQ22041		1			41290	
22042		5		Actor/Quest/IQ22042		1			41280	
22043		5		Actor/Quest/IQ22043		1			41300	
22044		5		Actor/Quest/IQ22044		1			41310	
22045		5		Actor/Quest/IQ22045		1			41320	
22046		5		Actor/Quest/IQ22046		1			41330	
22047		5		Actor/Quest/IQ22047		1			41350	
22048		5		Actor/Quest/IQ22048		1			41331	
22049		5		Actor/Quest/IQ22049		1			41340	
22050		7	1	Actor/Quest/WQ22050			122050			
22114		5				1	122114		28000	
22200		5		Actor/Quest/IQ22200		1	500141,500142		27500	
22500		5		Actor/Quest/IQ22500		1	500144		28400	
22501		5		Actor/Quest/IQ22501		1			28700	
22701		5		Actor/Quest/IQ22701		1	500145		28500	
31001		7	1							
40000		7	1	Actor/Quest/EQ40000						
40010	10027	3	1	Actor/Quest/EQ40010			140010	10027		1600
40011	10028	3	1	Actor/Quest/EQ40011			140011	10028		1600
40012	10029	3	1	Actor/Quest/EQ40012			140012	10029		1600
40013	10030	3	1	Actor/Quest/EQ40013			140013	10030		1600
40014	10042	3	1	Actor/Quest/EQ40014			140014	10042		2101
40015	10042	3	1	Actor/Quest/EQ40015			140015	10043		2101
40016	10031	3	1	Actor/Quest/EQ40016						1600
40017	10032	3	1	Actor/Quest/EQ40017						1600
40018	10033	3	1	Actor/Quest/EQ40018						1600
40019	10034	3	1	Actor/Quest/EQ40019						1600
40020		3	1	Actor/Quest/EQ40020			140020	10038		2201
40021		3	1	Actor/Quest/EQ40021			140021	10039		2201
40022		3	1	Actor/Quest/EQ40022			140022	10040		2201
40023		3	1	Actor/Quest/EQ40023			140023	10041		2201
40024	10042	3	1				140024			2101
40042		3	1	Actor/Quest/EQ40042			140042			2201
41001		3	1							
41111	10006	3	1	Actor/Quest/EQ41111			141111	10006		1100
41112	10007	3	1	Actor/Quest/EQ41112			141112	10007		1100
41113	10008	3	1	Actor/Quest/EQ41113			141113	10008		1100
41114	10009	3	1	Actor/Quest/EQ41114			141114	10009		1100
41115		3	1	Actor/Quest/EQ41115						
41120		7	1	Actor/Quest/WQ41120			141120			1100
41121		3	1	Actor/Quest/EQ41121			3001011			9
41122		7	1	Actor/Quest/WQ41122			141122			1100
41123		7	1	Actor/Quest/WQ41123			141123			1100
41124		7	1	Actor/Quest/WQ41124			141124			1100
41125		5		Actor/Quest/IQ41125		1			28600	
41126		7	1	Actor/Quest/WQ41126			141126			1100
41127		7	1	Actor/Quest/WQ41127			141127			1100
41130		7	1	Actor/Quest/WQ41130			141130			1100
41131		7	1	Actor/Quest/WQ41131			141131			1100
41135		7	1	Actor/Quest/WQ41135			141135			1100
41141		3	1	Actor/Quest/EQ41141			3001012			9
41142		3	1	Actor/Quest/EQ41142			3001013			9
41143		3	1	Actor/Quest/EQ41143			3001021			9
41144		3	1	Actor/Quest/EQ41144			3001022			9
41145		3	1	Actor/Quest/EQ41145			3001023			9
41146		3	1	Actor/Quest/EQ41146			3001031			9
41147		3	1	Actor/Quest/EQ41147			3001032			9
41148		3	1	Actor/Quest/EQ41148			3001033			9
41149		3	1	Actor/Quest/EQ41149			3001041			9
41150		3	1	Actor/Quest/EQ41150			3001042			9
41151		3	1	Actor/Quest/EQ41151			3001043			9
41152		3	1	Actor/Quest/EQ41152			3001051			9
41153		3	1	Actor/Quest/EQ41153			3001052			9
41154		3	1	Actor/Quest/EQ41154			3001053			9
41155		3	1	Actor/Quest/EQ41155			3001061			9
41156		3	1	Actor/Quest/EQ41156			3001062			9
41157		3	1	Actor/Quest/EQ41157			3001063			9
41158		3	1	Actor/Quest/EQ41158			3001071			9
41159		3	1	Actor/Quest/EQ41159			3001072			9
41160		3	1	Actor/Quest/EQ41160			3001073			9
41170		7	1	Actor/Quest/WQ41170			141170			10
41210	10010	3	1	Actor/Quest/EQ41210			141210	10010		1200
41211	10011	3	1	Actor/Quest/EQ41211			141211	10011		1200
41212	10012	3	1	Actor/Quest/EQ41212			141212	10012		1200
41213	10013	3	1	Actor/Quest/EQ41213			141213	10013		1200
41214	10014	3	1	Actor/Quest/EQ41214			141214	10014		1200
41215		3	1				141215			1200
41311	10018	3	1	Actor/Quest/EQ41311			141311	10018		1302
41312	10018	3	1	Actor/Quest/EQ41312			141312	10019		1302
41313	10018	3	1	Actor/Quest/EQ41313			141313	10020		1302
41316		3	1	Actor/Quest/EQ41316			141316			1302
41317		3	1	Actor/Quest/EQ41317			141317			1302
41331		7		Actor/Quest/WQ41331			141331			1302
41332		7		Actor/Quest/WQ41332			141332			1302
41333		7		Actor/Quest/WQ41333			141333			1302
41334		7		Actor/Quest/WQ41334			141334			1302
41335		7		Actor/Quest/WQ41335			141335			1302
41336		7		Actor/Quest/WQ41336			141336			1302
41337		7		Actor/Quest/WQ41337			141337			1302
41338		7		Actor/Quest/WQ41338			141338			1302
41340		7		Actor/Quest/WQ41340			141340			1302
41341		7		Actor/Quest/WQ41341			141341			1302
41342		7		Actor/Quest/WQ41342			141342			1302
41343		7		Actor/Quest/WQ41343			141343			1302
41357		7		Actor/Quest/WQ41357			141357	10015		1302
41358		7		Actor/Quest/WQ41358			141358	10016		1302
41359		7		Actor/Quest/WQ41359			141359	10017		1302
41401		7	1	Actor/Quest/WQ41401			141401			1300
41402		7	1	Actor/Quest/WQ41402			141402			
41410	10021	3	1	Actor/Quest/EQ41410			141410	10021		1400
41411	10021	3	1	Actor/Quest/EQ41411			141411	10022		1400
41412	10021	3	1	Actor/Quest/EQ41412			141412	10023		1400
41413	10021	3	1	Actor/Quest/EQ41413			141413	10024		1400
41414	10021	3	1	Actor/Quest/EQ41414						1400
41415	10021	3	1	Actor/Quest/EQ41415						1400
41421		7	1	Actor/Quest/WQ41421			141421			1403
41422		7		Actor/Quest/WQ41422			141422			1403
70000		7		Actor/Quest/WQ70000			170000			1400
70001		7		Actor/Quest/WQ70001			170001			1400
70003		7		Actor/Quest/WQ70003			170003			1400
70006		7		Actor/Quest/WQ70006			170006			1505
70007		7		Actor/Quest/WQ70007			170007			1400
70008		7		Actor/Quest/WQ70008			170008			1400
70009		7		Actor/Quest/WQ70009			170009			1400
70010		7		Actor/Quest/WQ70010			170010			1400
70011		7		Actor/Quest/WQ70011			170011			1505
70012		7		Actor/Quest/WQ70012			170012			1505
70013		7		Actor/Quest/WQ70013			170013			1505
70014		7		Actor/Quest/WQ70014			170014			1505
70015		7		Actor/Quest/WQ70015			170015			1505
70016		7		Actor/Quest/WQ70016			170016			1505
70017		7		Actor/Quest/WQ70017			170017			1505
70018		7		Actor/Quest/WQ70018			170018			1505
70019		7		Actor/Quest/WQ70019			170019			1505
70020		7		Actor/Quest/WQ70020			170020			1505
70021		7		Actor/Quest/WQ70021			170021			1505
70022		7		Actor/Quest/WQ70022			170022			1505
70023		7		Actor/Quest/WQ70023			170023			1505
70024		7		Actor/Quest/WQ70024			170024			1505
70025		7		Actor/Quest/WQ70025			170025			1505
70026		7	1	Actor/Quest/WQ70026			170026			2203
70027		7		Actor/Quest/WQ70027			170027			2203
70028		7		Actor/Quest/WQ70028			170028			2203
70029		7		Actor/Quest/WQ70029			170029			2203
70030		7	1	Actor/Quest/WQ70030			170030			2202
70031		7	1	Actor/Quest/WQ70031						
70032		7	1	Actor/Quest/WQ70032						2202
70033		7	1	Actor/Quest/WQ70033						2202
70034		7	1	Actor/Quest/WQ70034						2202
70035		7	1	Actor/Quest/WQ70035						2202
70036		7	1	Actor/Quest/WQ70036						2202
70037		7	1	Actor/Quest/WQ70037						2202
70038		7	1	Actor/Quest/WQ70038						2202
70101		7		Actor/Quest/WQ70101						
70102		7		Actor/Quest/WQ70102			170102			
70103		7		Actor/Quest/WQ70103						
70104		7		Actor/Quest/WQ70104			170104			
70106		7		Actor/Quest/WQ70106			170106			
70107		7		Actor/Quest/WQ70107			170107			
70108		7		Actor/Quest/WQ70108			170108			
70109		7		Actor/Quest/WQ70109						
70110		7		Actor/Quest/WQ70110						
70121		7		Actor/Quest/WQ70121			170121			
70123		7		Actor/Quest/WQ70123			170124			
70124		7		Actor/Quest/WQ70124						
70125		7		Actor/Quest/WQ70125						
70126		7		Actor/Quest/WQ70126						
70127		7		Actor/Quest/WQ70127						
70128		7					170128			
70141		7		Actor/Quest/WQ70141			170141			
70142		7		Actor/Quest/WQ70142						
70143		7		Actor/Quest/WQ70143			170143			
70144		7		Actor/Quest/WQ70144						
70145		7		Actor/Quest/WQ70145						
70500		7	1	Actor/Quest/WQ70500			170500			2101
70501		7	1	Actor/Quest/WQ70501			170501			2101
70650		7	1	Actor/Quest/WQ70650			170650			
70651		7	1	Actor/Quest/WQ70651			170651			
70652		7	1	Actor/Quest/WQ70652			170652			1204
70653		7	1				170653			1301
70654		7	1	Actor/Quest/WQ70654			170654			1400
70655		7	1	Actor/Quest/WQ70655			170655			1402
70656		7	1	Actor/Quest/WQ70656			170656			1400
70657		7	1	Actor/Quest/WQ70657			170657			1400
70658		7	1	Actor/Quest/WQ70658			170658			1400
70659		7		Actor/Quest/WQ70659			170659			1504
70661		7	1	Actor/Quest/WQ70661			170661			
70662		7	1	Actor/Quest/WQ70662			170662			
70700		7	1	Actor/Quest/WQ70700						
70701		7	1	Actor/Quest/WQ70701						
70702		7	1	Actor/Quest/WQ70702						
70703		7	1	Actor/Quest/WQ70703						
70704		7	1	Actor/Quest/WQ70704						
70705		7	1	Actor/Quest/WQ70705						
70706		7	1	Actor/Quest/WQ70706						
70707		7	1	Actor/Quest/WQ70707						
70708		7	1	Actor/Quest/WQ70708						
70709		7	1	Actor/Quest/WQ70709						
70710		7	1	Actor/Quest/WQ70710						
70711		7	1	Actor/Quest/WQ70711						
70712		7	1	Actor/Quest/WQ70712						
70713		7	1	Actor/Quest/WQ70713						
70714		7	1	Actor/Quest/WQ70714						
70800		7		Actor/Quest/WQ70800			170008			1400
70801		7	1	Actor/Quest/WQ70801			170801			
70810		7	1	Actor/Quest/WQ70810			170810			
70811		7	1							
70812		7	1	Actor/Quest/WQ70812			170812			
70813		7	1	Actor/Quest/WQ70813			170813			
70814		7	1	Actor/Quest/WQ70814			170814			
70815		7	1	Actor/Quest/WQ70815			170815			
70816		7	1	Actor/Quest/WQ70816			170816			
70821		7	1	Actor/Quest/WQ70821			170821			
70822		7	1	Actor/Quest/WQ70822			170822			
70823		7	1	Actor/Quest/WQ70823			170823			
70824		7	1	Actor/Quest/WQ70824			170824			
70825		7	1	Actor/Quest/WQ70825			170825			
70901		7	1				552001			
70902		7	1				551009			
70903		7	1				551014			
70904		7	1				551015			
70905		7	1				551001			
70906		7	1				551002			
70907		7	1				551003			
70908		7	1				551036			
70909		7	1				551004			
70910		7	1				551005			
70911		7	1				551006			
70912		7	1				551007			
70913		7	1				551008			
70914		7	1				551010			
70915		7	1				551011			
70916		7	1				551012			
70917		7	1				551013			
70918		7	1				551016			
70919		7	1				551017			
70920		7	1				551018			
70921		7	1				551019			
70922		7	1				551020			
70923		7	1				551021			
70924		7	1				551022			
70925		7	1				551023			
70926		7	1				551024			
70927		7	1				551025			
70928		7	1				551026			
70929		7	1				551027			
70930		7	1				551028			
70931		7	1				551029			
70932		7	1				551030			
70933		7	1				551031			
70934		7	1				551032			
70935		7	1				551033			
70936		7	1				551034			
70937		7	1				551035			
70938		7	1				551037			
70939		7	1				551038			
70940		7	1				551039			
70941		7	1				551040			
70942		7	1				551041			
71000		7	1	Actor/Quest/WQ71000				10015		
71003		7	1	Actor/Quest/WQ71003				10015		
71005		7		Actor/Quest/WQ71005			210002,210001,171005			
71006		7		Actor/Quest/WQ71006			171006			
71007		7		Actor/Quest/WQ71007						
71008		7	1	Actor/Quest/WQ71008			171008			
71010		7		Actor/Quest/WQ71010		1				
71011		7	1	Actor/Quest/WQ71011						
71012		7		Actor/Quest/WQ71012			171012			
71013		7		Actor/Quest/WQ71013						
71014		7	1	Actor/Quest/WQ71014			171014			
71015		7	1	Actor/Quest/WQ71015						
71016		7	1	Actor/Quest/WQ71016			171016			
71017		7	1	Actor/Quest/WQ71017						
71018		7	1	Actor/Quest/WQ71018			171018			
71019		7		Actor/Quest/WQ71019						
71020		7	1	Actor/Quest/WQ71020			171020			
71021		7	1	Actor/Quest/WQ71021	60					
71022		7		Actor/Quest/WQ71022			171022			
71023		7	1	Actor/Quest/WQ71023				10015		
71024		7	1	Actor/Quest/WQ71024				10015		
71025		7	1	Actor/Quest/WQ71025				10016		
71026		7	1	Actor/Quest/WQ71026				10016		
71027		7	1	Actor/Quest/WQ71027				10016		
71028		7	1	Actor/Quest/WQ71028				10016		
71029		7	1	Actor/Quest/WQ71029				10017		
71030		7	1	Actor/Quest/WQ71030				10017		
71031		7	1	Actor/Quest/WQ71031						
71032		7	1	Actor/Quest/WQ71032				10017		
71033	71033	7		Actor/Quest/WQ71033			171033			1302
71034	71033	7		Actor/Quest/WQ71034						
71500		7	1	Actor/Quest/WQ71500			171500			2101
71650		7	1	Actor/Quest/WQ71650			171650			
71651		7	1				171651			1301
71652		7		Actor/Quest/WQ71652			171652			1502
71653		7	1	Actor/Quest/WQ71653			171653			1502
71654		7		Actor/Quest/WQ71654			171654			
71655		7		Actor/Quest/WQ71655			171655			
71656		7	1				171656			1301
71657		7	1				171657			1301
71700		7	1	Actor/Quest/WQ71700						
71701		7	1	Actor/Quest/WQ71701						
71702		7	1	Actor/Quest/WQ71702						
71703		7	1	Actor/Quest/WQ71703						
71704		7	1	Actor/Quest/WQ71704						
71705		7	1	Actor/Quest/WQ71705						
71706		7	1	Actor/Quest/WQ71706						
71707		7	1	Actor/Quest/WQ71707						
71708		7	1	Actor/Quest/WQ71708						
71709		7	1	Actor/Quest/WQ71709						
71710		7	1	Actor/Quest/WQ71710						
71711		7	1	Actor/Quest/WQ71711						
71712		7	1	Actor/Quest/WQ71712						
71713		7	1	Actor/Quest/WQ71713						
71714		7	1	Actor/Quest/WQ71714						
71800		7	1	Actor/Quest/WQ71800			171800			
71801		2	1	Actor/Quest/LQ71801						
71802		7	1	Actor/Quest/WQ71802			171802			
71803		7	1	Actor/Quest/WQ71803			171803			
71804		7	1	Actor/Quest/WQ71804			171804			
71805		7	1	Actor/Quest/WQ71805			171805			
71806		7	1	Actor/Quest/WQ71806						
71807		7	1	Actor/Quest/WQ71807			171807			
71808		7	1	Actor/Quest/WQ71808			171808			
71809		7	1	Actor/Quest/WQ71809			171809			
71810		7	1	Actor/Quest/WQ71810			171810			
71811		7	1	Actor/Quest/WQ71811			171811			
71812		7	1	Actor/Quest/WQ71812			171812			
71813		7	1	Actor/Quest/WQ71813			171813			
71814		7	1	Actor/Quest/WQ71814			171814			
71815		7		Actor/Quest/WQ71815			171815			1302
71816		7		Actor/Quest/WQ71816			171816			1302
71817		7		Actor/Quest/WQ71817			171817			1302
71818		7		Actor/Quest/WQ71818			171818			1302
71819		7		Actor/Quest/WQ71819			171819			1302
71820		7		Actor/Quest/WQ71820			171820			1302
71821		7		Actor/Quest/WQ71821			171821			1302
71822		7		Actor/Quest/WQ71822			171822			1302
71823		7		Actor/Quest/WQ71823			171823			1302
71824		7		Actor/Quest/WQ71824			171824			1302
71825		7					171825			1302
